editors_choice,hotness,time_modified,title,uuid,url,price,picture_url,category,shipping,description,time_published
,3,,Sony PlayStation VR Gran Turismo Bundle,2169608,https://www.dealnews.com/Sony-Play-Station-VR-Gran-Turismo-Bundle-for-200-free-shipping/2169608.html,$200,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/m3nwwk8qkorirdfjz399",ACCESSORIES,free shipping,"Dell Home offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169608"">Sony PlayStation 4 VR Gran Turismo Sport Bundle</a> for <strong>$199.99</strong> with <b>free shipping</b>. That's the lowest price we could find by $58, although we saw it for $21 less two weeks ago. It includes the VR headset, PlayStation camera, and Gran Turismo Sport.",2018-01-01T13:29:27-05:00
True,3,,LEGO Batman Movie Alarm Clock,2169605,https://www.dealnews.com/LEGO-Batman-Movie-Alarm-Clock-for-8-pickup-at-Toys-R-Us/2169605.html,$8,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iz6pykrsuykl1szdrbd8",TOYS & HOBBIES,"pickup at Toys""R""Us","Toys""R""Us offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169605"">LEGO Batman Movie Alarm Clock</a> in Batgirl or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091098,2169605"">Joker</a> for $10.48. Coupon code ""NEWYEARS20"" cuts that to <strong>$8.38</strong>. Opt for in-store <b>pickup</b> where available to dodge the $5.99 shipping charge. That's the lowest price we could find for either character by at least $8 and the best deal we've seen for any Batman Movie alarm clock. (We saw it in Batman for $14 in April.) It measures 9"" tall and requires two AAA batteries (included). Coupon ends January 6.",2018-01-01T13:28:52-05:00
True,5,,Ekobrew 2.0 K-Cup Reusable Coffee Filter,2169611,https://www.dealnews.com/Ekobrew-2.0-K-Cup-Reusable-Coffee-Filter-for-2-pickup-at-Walmart/2169611.html,$2,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ngblnpdr5ci26mafhjob",KITCHEN,pickup at Walmart,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169611"">Ekobrew 2.0 K-Cup Reusable Coffee Filter</a> in Black for <strong>$2.34</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's the best price we could find by $8, and the lowest we've seen for an Ekobrew refillable K-Cup. It's dishwasher safe and compatible with Keurig and K-Cup single serve coffee brewers.",2018-01-01T13:28:18-05:00
,4,,Allen Edmonds Men's Factory 2nd Shoes at eBay,2169593,https://www.dealnews.com/Allen-Edmonds-Mens-Factory-2-nd-Shoes-at-eBay-Deals-from-77-free-shipping/2169593.html,Deals from $77,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gcfst2jryxiv3ainqcep",SHOES,free shipping,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091095,2169593"">Allen Edmonds via eBay</a> discounts a selection of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091017,2169593"">Allen Edmonds men's factory-second shoes</a>, with deals starting at <b>$77</b>. (Prices are as marked.) Plus, all orders bag <strong>free shipping</strong>. Stock and sizes are limited in most styles. A couple of best bets, with comparisons to new pairs:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091020,2169593"">Allen Edmonds Men's Cornwallis Dress Oxfords</a> for <strong>$117</strong> (low by $101)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169593"">Allen Edmonds Men's Brooks Brothers Presidio Shoes</a> for <strong>$149</strong> (pictured, $150 off)
 </li>
</ul>
Note: These shoes may have minor cosmetic blemishes that do not affect the fit, comfort, or durability of the shoes.",2018-01-01T13:19:06-05:00
,4,,DiscountMags Year-End Blowout Sale,2169590,https://www.dealnews.com/Discount-Mags-Year-End-Blowout-Sale-Subs-from-4/2169590.html,Subs from $4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uo5eni880y20vusd3aef",MAGAZINES,,"DiscountMags cuts prices on <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091089,2169590"">hundreds of magazine subscriptions</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091005,2169590"">Year-End Blowout Sale</a>, with prices starting at <strong>$4 / year</strong>. Deal ends January 2. A couple of best bets (scroll down to see them):
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091008,2169590"">Glamour Magazine 1-Year Subscription</a> for <strong>$4.60</strong> (12 issues, low by $5)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169590"">ESPN Magazine 1-Year Subscription</a> for <strong>$4.62</strong> (pictured, 26 issues, low by $14)
 </li>
</ul>",2018-01-01T13:16:48-05:00
True,3,,Crazy 8 Mega Sale,2169602,https://www.dealnews.com/Crazy-8-Mega-Sale-Extra-20-off-free-shipping/2169602.html,Extra 20% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xsepgzzennlw8djtlk8a",KIDS' CLOTHES,free shipping,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169602"">Crazy 8</a> takes an <strong>extra 20% off</strong> sitewide via coupon code ""NEWYEAR"" as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091062,2169602"">Mega Sale</a>, yielding a total savings of <strong>up to 80% off</strong>. Plus, all orders bag <strong>free shipping</strong>. That's a similar discount to the Crazy 8 Cyber Monday sale and the best sitewide coupon we've seen in the past year. (We've seen larger extra discounts, but those applied to clearance only.) Some exclusions may apply. Deal ends January 3.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s2525/Crazy-8/"">Crazy 8 Coupons</a>.</p>",2018-01-01T13:16:25-05:00
,4,,Bike Deals at Walmart,2169587,https://www.dealnews.com/Bike-Deals-at-Walmart-for-209/2169587.html,$209,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jp5sk8pxnu9pqenpfwfh",BICYCLING,,"Walmart discounts a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090981,2169587"">rollback and clearance men's, women's, and kids' bicycles</a>. Plus, most orders receive <strong>free shipping</strong>. (Oversized bikes may incur additional handling charges.) A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090978,2169587"">Schwinn Women's 700c Connection Bike</a> for <strong>$129</strong> ($70 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169587"">Schwinn Men's 700c Kempo Men's Bike</a> for <strong>$208.99</strong> (pictured, $25 off)
 </li>
</ul>",2018-01-01T13:08:11-05:00
,4,,Hugo Boss Men's Aviator Sunglasses,2169581,https://www.dealnews.com/Hugo-Boss-Mens-Aviator-Sunglasses-for-55-free-shipping/2169581.html,$55,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/q5urrxojncocavsp1scl",SUNGLASSES,free shipping,"Luxomo offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169581"">Hugo Boss Men's Aviator Sunglasses</a> in several styles (Matte Blue pictured) for $84.99. Coupon code ""30LUX"" drops it to <b>$55</b>. With <b>free shipping</b>, that's the lowest price we could find by $57. They feature polarized lenses. Deal ends January 5.",2018-01-01T13:07:39-05:00
,5,,Old Navy Epic Clearance Event,2169596,https://www.dealnews.com/Old-Navy-Epic-Clearance-Event-Up-to-75-off-20-off-free-shipping-w-25/2169596.html,Up to 75% off + 20% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gytsotk3hlwhrjqxkq7n",CLOTHING & ACCESSORIES,free shipping w/ $25,"Today only, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169596"">Old Navy</a> takes <strong>up to 75% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091035,2169596"">clearance items</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091038,2169596"">Epic Clearance Event</a>. Even better, an <strong>extra 20% off</strong> applies in-cart. Shipping adds <strong>$7</strong>, but orders of $25 or more receive free shipping via coupon code ""FREESHIP"". Some exclusions may apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s362/Old-Navy/"">Old Navy Coupons</a>.</p>",2018-01-01T13:06:52-05:00
,,,Bank of America® Travel Rewards Credit Card,2168498,"https://www.dealnews.com/lw/click.html?20,2,2168498","20,000 bonus points offer","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bv3urdvfxvmwirwdv9qm",CREDIT CARDS,,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168498"">Bank of America® Travel Rewards credit card</a> and receive <strong>20,000 bonus points</strong> if you make at least $1,000 in purchases in the first 90 days of account opening – that can be redeemed for a <strong>$200 Statement Credit towards travel purchases</strong>. Plus, earn <strong>1.5 points</strong> per $1 spent on all purchases, with <strong>no annual fee</strong> and <strong>no foreign transaction fees</strong>. Redeem points for a statement credit to pay for flights, hotels, vacation packages, cruises, rental cars, or baggage fees with no blackout dates. There's no limit to the total number of points you can earn and points don't expire.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",2017-12-29T15:40:39-05:00
,3,,Stanzino Women's Sherpa Lined Hooded Jacket,2169524,https://www.dealnews.com/Stanzino-Womens-Sherpa-Lined-Hooded-Jacket-for-19-free-shipping/2169524.html,$19,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jn2o5locoovejdn3uklm",SWEATSHIRTS & HOODIES,free shipping,"Stanzino via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169524"">Stanzino Women's Sherpa Lined Extra Thick Hooded Jacket</a> in several colors (Black pictured) for <strong>$18.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $5. It's available in sizes S to XL.",2018-01-01T12:45:00-05:00
,3,,Sof Sole Men's No-Show Cushion Socks 6-Pack,2169578,https://www.dealnews.com/Sof-Sole-Mens-No-Show-Cushion-Socks-6-Pack-for-10-free-shipping/2169578.html,$10,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hdc6thxgwhy78f0mjrkf",SOCKS,free shipping,"Deal Genius offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169578"">six pairs of Sof Sole Men's No-Show Tab Cushion Socks</a> in Dark Grey or White for <strong>$9.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $11. They fit men's shoe sizes 8 to 12.5.<br>
<br>
Also available are <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090924,2169578"">12 pairs of Sof Sole Women's No Show Athletic Performance Socks</a> in assorted colors for <strong>$11.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $9. They fit women's shoe sizes 5 to 10.",2018-01-01T12:37:17-05:00
,3,,Superdry Men's Joggers,2169569,https://www.dealnews.com/Superdry-Mens-Joggers-for-29-free-shipping/2169569.html,$29,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mkolm0hss3mo1ayikqvn",ACTIVEWEAR,free shipping,"Superdry via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169569"">Superdry Men's Joggers</a> in several styles (Trackster Phoenix Grey pictured) for <b>$29</b> with <b>free shipping</b>. That's $31 under the lowest price we could find for a similar pair of Superdry joggers elsewhere. They're available in select sizes from S to XL.",2018-01-01T12:32:11-05:00
,3,,Masione 150ft Security Camera Cable 4-Pack,2169566,https://www.dealnews.com/Masione-150-ft-Security-Camera-Cable-4-Pack-for-30-free-shipping/2169566.html,$30,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/neo3trexpajfqfmax3vv",SECURITY CAMERAS,free shipping,"Happy Tao via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169566"">Masione 150-Foot Security Camera Extension Cable 4-Pack</a> for $37.99. Coupon code ""DPBCRH7L"" cuts that to <strong>$30.39</strong>. With <strong>free shipping</strong>, that's $8 off and the lowest price we could find, although we saw it for $2 less in November. Each cable has BNC connectors and includes two RCA/BNC adapters. Deal ends January 14.",2018-01-01T12:31:30-05:00
