time_published,picture_url,title,category,editors_choice,time_modified,shipping,url,price,uuid,description,hotness
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pzrfaozavttfxebkdrwr",Rockport Men's ActiveFlex Leather Boots,SHOES,,2018-01-06T21:39:27-05:00,free shipping,https://www.dealnews.com/Rockport-Mens-Active-Flex-Leather-Boots-for-42-free-shipping/2173313.html,$42,2173313,"Ending today, Rockport offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173313"">Rockport Men's ActiveFlex RocSports Lite Leather Boots</a> in Grey for $69.99. Coupon code ""BOOT40"" cuts that price to <strong>$41.99</strong>. With <strong>free shipping</strong>, that's $28 off and the lowest price we could find. It's available in medium and wide widths in select sizes from 7 to 14.",5
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gftvrbccuopygbavaskd",Bell Automotive Roadside Emergency Kit,AUTOMOTIVE,,2018-01-06T22:00:57-05:00,free shipping,https://www.dealnews.com/Bell-Automotive-Roadside-Emergency-Kit-for-36-free-shipping/2173319.html,$36,2173319,"Pep Boys via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173319"">Bell Automotive Products Premium Roadside Emergency Kit</a> for <b>$35.99</b> with <b>free shipping</b>. That's $9 under the lowest price we could find for a similar set elsewhere. The kit includes an 8-foot booster cable, tire sealant, LED flashlight, three AAA batteries, glow sticks, multi-tool, slip joint pliers, 2-in-1 screwdriver, 24"" elastic tie down, cable ties, electrical tape, duct tape, shop towel, nitrile gloves, jersey gloves, safety vest, rain poncho, fleece blanket, space blanket, first aid kit, and a help sign.",4
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e6rkfcx7ntkd5lim4vij",Nike Men's Therma Fit KO Crew Shirt,SWEATSHIRTS & HOODIES,,2018-01-06T21:37:54-05:00,free shipping,https://www.dealnews.com/Nike-Mens-Therma-Fit-KO-Crew-Shirt-for-20-free-shipping/2173316.html,$20,2173316,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173316"">Nike Men's Therma Fit KO Crew Shirt</a> in several colors (Black pictured) for <strong>$19.99</strong> with <strong>free shipping</strong>. That's $35 off and the lowest price we could find. It's available in sizes <del>XS</del> L to 3XL.",5
2018-01-06T15:37:17-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o80bnlnxhwobo7shgtxb",Bosch 12V 2-Speed Drill/Driver Kit,POWER TOOLS,,,free shipping,https://www.dealnews.com/Bosch-12-V-2-Speed-Drill-Driver-Kit-for-99-free-shipping/2173322.html,$99,2173322,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173322"">Bosch 12-volt 2-Speed Drill/Driver Kit</a> for <strong>$99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $28. It includes two batteries, charger, and carrying case.",3
2018-01-06T15:09:33-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iacougzosqogop7gkg3e",JOOLA Table Tennis Table Cover,SPORTS & FITNESS,,,pickup at Walmart,https://www.dealnews.com/JOOLA-Table-Tennis-Table-Cover-for-22-pickup-at-Walmart/2173244.html,$22,2173244,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173244"">JOOLA Table Tennis Table Cover</a> for <strong>$21.60</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099045,2173244"">Sears</a> offers it for the same price.) Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's the lowest price we could find by $8. It fits standard 9x5-foot tables.",3
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stnw4aqil99mbir7fkx3",Field & Stream Men's Leather Watch,WATCHES,,2018-01-06T21:59:38-05:00,$7 shipping,https://www.dealnews.com/Field-Stream-Mens-Leather-Watch-for-13-7-s-h/2173307.html,$13,2173307,"Time to Shade offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173307"">Field &amp; Stream Men's Leather Watch</a> for $50. Coupon code ""DNEWS75"" cuts that price to <strong>$12.50</strong>. With around <strong>$7</strong> for shipping (it varies by location), that's $137 off and the lowest price we could find. It features a leather strap, steel bezel, quartz movement, and water resistance to 165 feet.",4
2018-01-06T14:59:39-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hqqqabrhybxjjm846a7b",Casual Home Nolan 4-Shelf Ladder Bookcase,HOME FURNITURE,,,free shipping,https://www.dealnews.com/Casual-Home-Nolan-4-Shelf-Ladder-Bookcase-for-90-free-shipping/2173310.html,$90,2173310,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173310"">Casual Home Nolan 4-Shelf Folding Ladder Bookcase</a> in White for <strong>$89.50</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $49. It measures 60"" x 24"" x 16"". Deal ends January 7.",3
2018-01-06T14:44:41-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tqnorfgryvfslltokcs7","XtremepowerUS 1,500W Infrared Fireplace",HEATERS,,,free shipping,https://www.dealnews.com/Xtremepower-US-1-500-W-Infrared-Fireplace-for-120-free-shipping/2173304.html,$120,2173304,"Id-rack via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173304"">XtremepowerUS 1,500-watt Infrared Fireplace</a> in Honey Oak for <strong>$119.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $7. It features a remote control, timer, and dimmer.",3
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o9clbjwvlwlskdplggte",Under Armour Hustle 3.0 Backpack,BACKPACKS,,2018-01-06T21:58:35-05:00,free shipping,https://www.dealnews.com/Under-Armour-Hustle-3.0-Backpack-for-40-free-shipping/2173298.html,$40,2173298,"Dick's Sporting Goods offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173298"">Under Armour Hustle 3.0 Backpack</a> in several colors (Black/Steel pictured) for <strong>$39.98</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099123,2173298"">Zappos</a> offers it for the same price.) That's the lowest price we could find by $15. It's water repellent and features a laptop sleeve, side pockets, and a shoe pocket.",4
2018-01-06T11:38:28-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gjdssjcn0csrlr3xesii",Allstate Insurance Safe Driver Bonus Checks,FINANCIAL SERVICES,,,,"https://www.dealnews.com/lw/click.html?20,2,2173205",2 per year w/o accidents,2173205,"At <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173205"">Allstate</a>, you can earn <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099018,2173205"">two Safe Driving Bonus Checks</a> for every year you're accident free. Request a quote now and see how much you save.",
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ipcfclygnqntidwm013x",Kathy Ireland Mulholland Swing Arm Floor Lamp,LIGHTING & LAMPS,,2018-01-06T14:22:02-05:00,free shipping,https://www.dealnews.com/Kathy-Ireland-Mulholland-Swing-Arm-Floor-Lamp-for-100-free-shipping/2173301.html,$100,2173301,"Lamps Plus offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173301"">Kathy Ireland Mulholland Swing Arm Floor Lamp</a> for <strong>$99.95</strong> with <strong>free shipping</strong>. That's $100 off and the lowest price we could find. It stands at 61"" tall and features a swing arm. Deal ends January 28.",3
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mpjwfwovmunnwdlmaqiq",G.H. Bass Men's Washed Canvas Oxford Shoes,SHOES,,2018-01-06T21:57:43-05:00,free shipping,https://www.dealnews.com/G.H.-Bass-Mens-Washed-Canvas-Oxford-Shoes-for-35-free-shipping/2173295.html,$35,2173295,"Nashville Shoe Warehouse via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173295"">G.H. Bass &amp; Co. Men's Proctor Premium Washed Canvas Oxford Shoes</a> in Black for <strong>$34.99</strong> with <strong>free shipping</strong>. That's tied with last month's mention and the lowest price we could find by $20. They're available in select sizes from 7 to 13.",4
2018-01-06T14:02:09-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bykbklpqwiuxca9vpa7p",Quest Hard Arm Chair,CAMPING & OUTDOORS,,,$6 shipping,https://www.dealnews.com/Quest-Hard-Arm-Chair-for-15-6-s-h/2173235.html,$15,2173235,"Dick's Sporting Goods offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173235"">Quest Hard Arm Chair</a> in Red for <strong>$14.97</strong> plus <strong>$5.99</strong> for shipping. That's tied with our October mention and the lowest price we could find by $13. It features a beverage holder, carry bag, and weight capacity of 300 lbs.",2
2018-01-06T13:59:29-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/a8wztosdukwaeidihpvc",Joy Mangano Miracle Mop Bucket,CLEANING SUPPLIES,,,free s&h w/beauty item,https://www.dealnews.com/Joy-Mangano-Miracle-Mop-Bucket-for-13-free-s-h-w-beauty-item/2173289.html,$13,2173289,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173289"">Joy Mangano Miracle Mop Bucket</a> in Purple or Fuchsia for $14.99. Coupon code ""WKND"" cuts the price to <strong>$12.74</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099120,2173289"">HSN via eBay</a> charges about the same.) Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099108,2173289"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's the lowest price we could find by $5. It features a 4-gallon capacity, easy-pour spout, and locking handle. Deal ends January 7.",3
2018-01-06T13:53:47-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x0ainugfp3izxogavvp5",Polaris Women's Asymmetrical Hoodie,SWEATSHIRTS & HOODIES,,,free shipping,https://www.dealnews.com/Polaris-Womens-Asymmetrical-Hoodie-for-30-free-shipping/2173283.html,$30,2173283,"Fix_my_toys via eBay offers the OEM <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173283"">Polaris Women's Asymmetrical Sweatshirt Hoodie</a> in Black for <strong>$29.95</strong> with <strong>free shipping</strong>. That's $30 off and the lowest price we could find. It's available in sizes XS to L.",3
2018-01-06T13:50:37-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/l5841o2xtz7post4fpst",Martha Stewart Collection 3-Pc. Zesting Set,KITCHEN,,,free s&h w/beauty item,https://www.dealnews.com/Martha-Stewart-Collection-3-Pc.-Zesting-Set-for-9-free-s-h-w-beauty-item/2173292.html,$9,2173292,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173292"">Martha Stewart Collection 3-Pice Zesting Set</a> for <strong>$9.03</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099111,2173292"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $14 off list and the lowest price we could find. It features a zester, peeler, and paring knife.",3
2018-01-06T13:49:36-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ppsjzszjyya4628rsefo",Kitchenware at Sears,KITCHEN,,,free shipping w/ $25,https://www.dealnews.com/Kitchenware-at-Sears-Extra-10-off-free-shipping-w-25/2173232.html,Extra 10% off,2173232,"Ending today, Sears takes an <strong>extra 10% off</strong> a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173232"">selection of kitchen items</a> via coupon code ""NEWYEAR"". Opt for in-store <strong>pickup</strong> to dodge shipping fees, which start around $3. (Orders of $25 or more bag free shipping.) The discount applies only to items sold directly by Sears, and other exclusions may apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s510/Sears/"">Sears Coupons</a>.</p>",3
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/u8d8dzxont920hmvijgw",Home Decorators Collection East India Buffet,HOME FURNITURE,,2018-01-06T21:57:07-05:00,pickup at Home Depot,https://www.dealnews.com/Home-Decorators-Collection-East-India-Buffet-for-99-pickup-at-Home-Depot/2173286.html,$99,2173286,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173286"">Home Decorators Collection East India Walnut Buffet</a> for <strong>$99.50</strong>. Opt for in-store <strong>pickup</strong> to dodge the $25 shipping charge. That's the lowest price we could find by $50. It measures 21"" x 28"". Deal ends January 7.",4
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ziqwcmobtom9eylspl6a",Greatest Ghost & Horror Stories Kindle eBook,EBOOKS,,2018-01-06T21:36:40-05:00,,https://www.dealnews.com/Greatest-Ghost-Horror-Stories-Kindle-eBook-for-free/2173268.html,free,2173268,"Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173268"">The Greatest Ghost and Horror Stories Ever Written Kindle eBook</a> for <strong>free</strong>. That's the lowest price we could find by a buck. It includes 30 stories by renowned authors such as Edgar Allan Poe, H.P. Lovecraft, H.G. Wells, Franz Kafka, and Bram Stoker.",5
2018-01-06T00:01:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stvamjek2izwihfqpmnd",Soufull Stainless Steel Poultry Scissors,KITCHEN,,,free shipping w/ Prime,https://www.dealnews.com/Soufull-Stainless-Steel-Poultry-Scissors-for-9-free-shipping-w-Prime/2172590.html,$9,2172590,"yichengjin via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172590"">Soufull Multi-Functional Stainless Steel Scissors</a> for $12.88. Coupon code ""black855"" cuts that to <strong>$8.55</strong>. Plus, Prime members bag <strong>free shipping</strong>. Deal ends January 31.",
