editors_choice,url,description,picture_url,time_modified,time_published,uuid,shipping,hotness,category,title,price
True,https://www.dealnews.com/Dell-Kaby-Lake-i7-Dual-14-Laptop-w-256-GB-SSD-for-650-free-shipping/2169695.html,"Dell Small Business offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169695"">Dell Inspiron 14 7000 Series 7460 Intel Kaby Lake Core i7 2.7GHz 14"" 1080p Laptop</a> in Gray for <strong>$649.99</strong> with <strong>free shipping</strong>. That's tied with our mention from three weeks ago, $310 off list, and the lowest price we could find. It features an Intel Kaby Lake Core i7-7500U 2.7GHz dual-core processor, 14"" 1920x1080 (1080p) IPS LED-backlit LCD, 8GB RAM, 256GB SSD, 802.11ac wireless, Bluetooth 4.2, 3-cell battery, McAfee LiveSafe 12-month subscription, and Windows 10 Professional 64-bit. Deal ends January 4.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kmmu1s3jboqj6ufcsyrb",,2018-01-01T16:24:50-05:00,2169695,free shipping,4,LAPTOPS,"Dell Kaby Lake i7 Dual 14"" Laptop w/256GB SSD",$650
True,https://www.dealnews.com/Crayola-180-Piece-Classroom-Activity-Pack-for-21-pickup-at-Walmart/2169692.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169692"">Crayola 180-Piece Ultimate Classroom Activity Pack</a> for <strong>$20.71</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's the lowest price we could find by $27 and the best deal we've seen for this set. It includes a variety of markers, crayons, colored pencils, and construction paper.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/us9jffiy30a88v71dcqd",,2018-01-01T16:11:59-05:00,2169692,pickup at Walmart,4,TOYS & HOBBIES,Crayola 180-Piece Classroom Activity Pack,$21
True,https://www.dealnews.com/Swiss-Gear-Apastron-16-Laptop-Backpack-for-25-free-shipping/2169689.html,"Dell Small Business offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169689"">SwissGear Apastron 16"" Laptop Backpack</a> in Navy Denim for <strong>$24.99</strong> with <strong>free shipping</strong>. That's tied with our mention from two weeks ago and the lowest price we could find today by $35. It features a side-entry TripleProtect padded compartment that accommodates laptops up to 16"", 10"" tablet pocket, file divider, multiple exterior pockets, and adjustable shoulder straps.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vyac4dlghphkr8tcqpwr",,2018-01-01T16:11:24-05:00,2169689,free shipping,3,LAPTOP BAGS,"SwissGear Apastron 16"" Laptop Backpack",$25
True,https://www.dealnews.com/Philips-Light-Therapy-Wake-Up-Light-w-Radio-for-28-pickup-at-Walgreens/2169686.html,"Walgreens offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169686"">Philips Light Therapy Wake-Up Light with Radio</a> in Black for $33.79. Coupon code ""EXTRA18"" cuts that to <strong>$27.71</strong>. Choose ship-to-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's the lowest price we could find by $79 and the best deal we've seen for this light. It's designed to gently wake the user by gradually brightening the room, emulating a sunrise. It features 10 light settings, a choice of natural bird sounds or FM radio alarm, and snooze button. Deal ends January 6.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w8o5elknwobgzj7nyfyg",,2018-01-01T16:00:05-05:00,2169686,pickup at Walgreens,5,LIGHTING & LAMPS,Philips Light Therapy Wake-Up Light w/ Radio,$28
True,https://www.dealnews.com/Honeywell-True-HEPA-Air-Purifier-for-60-free-shipping/2169683.html,"Walgreens offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169683"">Honeywell True HEPA Air Purifier</a> in White for $73.09. Apply coupon code ""EXTRA18"" to cut that to <strong>$59.93</strong>. With <strong>free shipping</strong>, that's $29 under our mention from last March and the lowest price we've seen. (It's the best deal today by $94.) Designed for rooms up to 390 sq. ft., it captures up to 99.97% of particles as small as 0.3 microns. Features include three cleaning levels, a 360° air intake, washable HEPA filter, carbon pre-filter, and electronic filter indicator. Deal ends January 6.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/paq4wi4pl45npx5ymxzv",,2018-01-01T15:59:49-05:00,2169683,free shipping,4,AIR PURIFIERS,Honeywell True HEPA Air Purifier,$60
True,https://www.dealnews.com/Panasonic-Mens-Arc4-4-Blade-Wet-Dry-Shaver-for-54-free-shipping/2169674.html,"Walgreens offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169674"">Panasonic Men's Arc4 Multi-Flex 4-Blade Rechargeable Electric Wet/Dry Shaver</a> in Silver for $65.69. Coupon code ""EXTRA18"" drops that to <strong>$53.87</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $46. It features a backlit LCD screen, flexible active head, multi-fit arc blades, pop-up trimmer, automatic self-cleaning system, and 1-hour full charging (or 5-minute single-shave charging). It comes with a travel case. Deal ends January 6.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lxdbglfkkush4qjpbf80",,2018-01-01T15:50:01-05:00,2169674,free shipping,3,SHAVING & GROOMING,Panasonic Men's Arc4 4-Blade Wet/Dry Shaver,$54
,https://www.dealnews.com/Baz-Star-Crossed-Love-Ticket-in-Las-Vegas-for-47/2169680.html,"Travelzoo offers an <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169680"">Adult Ticket to Baz Luhrmann's Baz: Star Crossed Love</a> at The Palazzo in Las Vegas, NV, bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091365,2169680"">glass of prosecco</a>, with prices starting from <strong>$46.54</strong> via coupon code ""BZTZOOP"". That's a savings of $18 and the lowest price we could find. Additional taxes and fees apply. Book this travel deal by January 31 for shows through March 31, 2018.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r8ipjioarahuazafhejy",,2018-01-01T15:49:21-05:00,2169680,,2,THINGS TO DO,Baz: Star Crossed Love Ticket in Las Vegas,$47
,https://www.dealnews.com/Golds-Gym-Trainer-430-i-Treadmill-w-HRM-for-339-free-shipping/2169665.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169665"">Gold's Gym Trainer 430i Treadmill with Heart Rate Monitor</a> for <b>$339</b> with <b>free shipping</b>. That's $20 under our mention from the week of Black Friday, the best price we've seen, and a low now by $60. It features an LCD display, 16"" x 50"" tread belt, iFit technology, power incline, and a dual-grip heart rate monitor.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fjzz8fdlhgqflzwrankw",,2018-01-01T15:43:58-05:00,2169665,free shipping,3,EXERCISE EQUIPMENT,Gold's Gym Trainer 430i Treadmill w/ HRM,$339
,https://www.dealnews.com/Lumsing-48-W-4-Port-USB-Car-Charger-for-6-free-shipping-w-Prime/2169668.html,"Yangdock E-commerce via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169668"">Lumsing Quick Charge 2.0 48-watt 4-Port USB Car Charger</a> in Black or White for $7.99. Coupon code ""DA656129"" cuts it to <strong>$5.99</strong>. Plus, Prime members bag <strong>free shipping</strong>. That's the lowest price we could find now by a buck. It features Quick Charge 2.0, which provides up to eight hours of battery life from 15 minutes of charging. Deal ends January 14.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aox2wgnc9nqdppjhcera",,2018-01-01T15:43:41-05:00,2169668,free shipping w/ Prime,3,AUTOMOTIVE,Lumsing 48W 4-Port USB Car Charger,$6
,"https://www.dealnews.com/lw/click.html?20,2,2167586","Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167586"">Chase Sapphire Preferred® Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17086874,2167586"">$4,000 or more</a> on purchases in the first three months from account opening – that's $625 toward travel when you redeem through Chase Ultimate Rewards®. Plus, earn <strong>5,000 bonus points</strong> after you add the first authorized user and make a purchase in the first three months from account opening. Also, earn <strong>2 points</strong> for every $1 spent on travel and dining at restaurants both in the U.S. and abroad, and <strong>1 point</strong> for every $1 spent on all other purchases. There's a <strong>$0 Intro Annual Fee</strong> for the first year, then $95 for each additional year, and <strong>no foreign transaction fees</strong> on purchases made outside the United States. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17086877,2167586"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d8ppsk9jlwz1siyg70ap",,2017-12-28T12:11:32-05:00,2167586,,,CREDIT CARDS,Chase Sapphire Preferred® Card,"50,000 bonus points"
,https://www.dealnews.com/Amazon-First-Reads-eBook-Program-free-w-Prime-every-month/2169677.html,"Amazon offers its Prime members <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169677"">one early-release Kindle eBook per month</a> for <strong>free</strong> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091359,2169677"">Amazon First Reads Program</a>. (It costs $1.99 for non-members who sign up for Amazon First Reads monthly emails.) That's $5 under the list prices of these books, which are otherwise only available as preorders. Deal ends January 31.<br>
<br>
Each month, you can choose from one of six new Kindle eBooks that are selected by Amazon's editors in advance of the books' official release dates. This month's titles include Renee Shafransky's <i>Tips for Living</i>, Cheryl Reid's <i>As Good as True</i>, and Scott J. Holliday's <i>Punishment</i> .","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x6yeregodyc72jcvssw2",,2018-01-01T15:43:08-05:00,2169677,,4,EBOOKS,Amazon First Reads eBook Program,free w/ Prime every month
,https://www.dealnews.com/Ironman-Essex-990-Inversion-Table-for-88-free-shipping/2169656.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169656"">Ironman Essex 990 Inversion Table</a> in Gray for <strong>$88</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $16. It inverts to a full 180° and helps relieve back pain and stress and keeps back muscles flexible. Features include a powder-coated 1.5"" steel frame, 3/4"" foam backrest, angle and height adjustability, pin-release ankle holder system, and 275-lb. weight capacity.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gcsrojfivwllrrrzq70u",,2018-01-01T15:14:57-05:00,2169656,free shipping,3,EXERCISE EQUIPMENT,Ironman Essex 990 Inversion Table,$88
,https://www.dealnews.com/Exerpeutic-Aero-Air-Elliptical-for-78-free-shipping/2169659.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169659"">Exerpeutic 260 Aero Air Elliptical</a> for <strong>$78</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091299,2169659"">Amazon</a> charges the same.) That's $2 under our October mention and the lowest price we've seen. (It's the best deal now by $9.) It features an LCD display, tension adjustment, and 260-lb. weight capacity.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/huxu4mod5ini0lh3afse",,2018-01-01T15:14:26-05:00,2169659,free shipping,3,EXERCISE EQUIPMENT,Exerpeutic Aero Air Elliptical,$78
,https://www.dealnews.com/Clarks-Winter-Clearance-Up-to-50-off-20-off-free-shipping/2169647.html,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169647"">Clarks</a> takes <strong>up to 50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091260,2169647"">men's, women's, and kids' shoes</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091263,2169647"">Winter Clearance</a>. (Prices are as marked.) Even better, cut an <strong>extra 20% off</strong> via coupon code ""EXTRA20"". Plus, all orders receive <strong>free shipping</strong>. That beats our mention from last week, which lacked the extra 20% off coupon. Deal ends January 10.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s40475/Clarks/"">Clarks Coupons</a>.</p>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uhuj8l2ur7n62scxrgul",2018-01-01T17:15:32-05:00,,2169647,free shipping,5,SHOES,Clarks Winter Clearance,Up to 50% off + 20% off
,https://www.dealnews.com/Longines-Watches-at-Jomashop-Up-to-50-off-coupons-free-shipping/2169641.html,"Jomashop takes <strong>up to 50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091227,2169641"">Longines men's and women's watches</a>. Plus, cut an <strong>extra $25 off</strong> via coupon code ""NY1825"" or an <strong>extra $50 off</strong> orders of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091224,2169641"">$1,000 or more</a> via ""NY1850"". Plus, all items qualify for <strong>free shipping</strong>. Deal ends January 2. A couple of best bets, with prices after ""NY1825"":
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169641"">Longines Men's La Grande Classique Watch</a> for <strong>$535</strong> (pictured, low by $19)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091218,2169641"">Longines Women's Primaluna Stainless Steel Watch</a> for <strong>$670</strong> (low by $18)
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w6fck8b1qmxsoykkr3m8",,2018-01-01T15:13:53-05:00,2169641,free shipping,4,WATCHES,Longines Watches at Jomashop,Up to 50% off + coupons
,https://www.dealnews.com/Dell-Inspiron-Celeron-1.6-GHz-Dual-12-Laptop-for-147-free-shipping/2169662.html,"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169662"">Dell Inspiron 11 3000 Series Intel Celeron Braswell 1.6GHz 11.6"" Laptop</a> in Alpine White for <strong>$146.99</strong> with <strong>free shipping</strong>. That's tied with our mention from two weeks ago and the lowest price we could find by $53. It features an Intel Celeron N3060 1.6GHz Braswell dual-core processor, 11.6"" 1366x768 (720p) LED-backlit LCD, 2GB RAM, 32GB eMMC storage, 802.11n wireless, Bluetooth 4.2, 2-cell battery, and Windows 10 Home 64-bit.<br>
<br>
Note: Dell pictures it in blue, but this deal is for a white model per the specs.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fz7foatxlsdofrpnolyw",2018-01-01T17:38:23-05:00,,2169662,free shipping,3,LAPTOPS,"Dell Inspiron Celeron 1.6GHz Dual 12"" Laptop",$147
True,https://www.dealnews.com/Biotrue-Contact-Lens-Solution-10-Oz.-2-Pack-for-7-free-shipping/2169650.html,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169650"">Biotrue Multi-Purpose Solution for Soft Contact Lenses 10-Oz. Bottle 2-Pack</a> for <strong>$7.28</strong> with <strong>free shipping</strong> via the steps below. That's $5 under our October mention and $9 less than you'd pay in stores. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091272,2169650"">Biotrue Contact Lens Solution 10-Oz. 2-Pack</a> for $12.93
 </li>
 <li>clip the $5 off coupon on the product page
 </li>
 <li>check out via Subscribe &amp; Save for a final price of <b>$7.28</b> with <b>free shipping</b>
 </li>
</ol>
Note: Be sure to cancel Subscribe & Save after your item ships to avoid being billed for future shipments.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/todyv60r2mhcmltccrlc",2018-01-01T17:26:19-05:00,,2169650,free shipping,4,GLASSES & CONTACT LENSES,Biotrue Contact Lens Solution 10-Oz. 2-Pack,$7
