category,editors_choice,title,hotness,description,shipping,url,picture_url,uuid,price,time_published,time_modified
HOME & GARDEN,,"24"" Stackable Folding Crate",3,"As one of its daily deals, 13 Deals offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169062"">24"" Stackable Folding Crate</a> for <strong>$14.99</strong> with <strong>free shipping</strong>. That's tied with our expired mention from three days ago and the lowest price we could find now by $10. It measures 15.8"" x 23.6"" x 8.8"" and can fold down to less than 1.75"" tall. Deal ends today.<br>
<br>
Stocking up? Buy <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090033,2169062"">three crates</a> for <strong>$35.97</strong> with <strong>free shipping</strong>; that's $11.99 per crate.",free shipping,https://www.dealnews.com/24-Stackable-Folding-Crate-for-15-free-shipping/2169062.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fkndjmu97r7yjiajhnqf",2169062,$15,2017-12-31T09:08:56-05:00,
HOME IMPROVEMENT,,Garage Floor Paint Kits at Home Depot,5,"As one of its daily deals, Home Depot takes <b>up to 20% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090027,2169059"">garage floor paint kits</a>. (Prices are as marked.) Plus, these items qualify for <b>free shipping</b>. Deal ends today. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090030,2169059"">Rust-Oleum Concrete Stain 15-oz. Clear Gloss Sealer 6-Pack</a> for <b>$29.21</b> ($10 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169059"">Rust-Oleum 1-Gallon Basement Floor Coating Kit 2-Pack</a> for <b>$83.25</b> (pictured, low by $34)
 </li>
</ul>",free shipping,https://www.dealnews.com/Garage-Floor-Paint-Kits-at-Home-Depot-Up-to-20-off-free-shipping/2169059.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/biakkunjxmdw0uckxaqr",2169059,Up to 20% off,2017-12-31T08:59:22-05:00,
HOME FURNITURE,,Furinno Pasir 4-Tier Open Shelf,3,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169056"">Furinno Pasir 4-Tier Open Shelf</a> in Steam Beech for <strong>$25</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090021,2169056"">Amazon</a> has it for the same price, while <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090024,2169056"">Home Depot</a> charges a buck more.) Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's the lowest price we could find by $7. It holds up to 25 lbs. per shelf.",pickup at Walmart,https://www.dealnews.com/Furinno-Pasir-4-Tier-Open-Shelf-for-25-pickup-at-Walmart/2169056.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d2jyn2tksx8ss4roy5e8",2169056,$25,2017-12-31T08:02:17-05:00,
BATTERIES,,Panasonic eneloop Pro AAA Battery 4-Pack,4,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169053"">Panasonic eneloop Pro AAA Ni-MH Pre-Charged Rechargeable Battery 4-Pack</a> for <strong>$11.37</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $6.<br>
<br>
Note: It's temporarily out of stock but still available to purchase for this price. (It's expected to be back in stock on January 2.)",free shipping w/ Prime,https://www.dealnews.com/Panasonic-eneloop-Pro-AAA-Battery-4-Pack-for-11-free-shipping-w-Prime/2169053.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bz27zxmyscbklzhgmifq",2169053,$11,2017-12-31T07:48:24-05:00,
EBOOKS,,2017 Best of the Month Kindle eBooks,4,"As one of its daily deals, Amazon discounts a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169050"">2017 Best of the Month Kindle eBooks</a>, with deals starting from <strong>$1.99</strong>. Discounted titles include Amy Tan's <i>Where The Past Begins</i>, Octavia E. Butler's <i>Seed Harvest</i>, and Malcolm Frank's <i>What To Do When Machines Do Everything</i>. Deal ends today.",,https://www.dealnews.com/2017-Best-of-the-Month-Kindle-eBooks-from-2/2169050.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qsocqigasnr3khnhhnlz",2169050,from $2,,2017-12-31T09:06:40-05:00
HOME IMPROVEMENT,True,Google Home Mini w/ $25 Walmart GC,5,"For in-store pickup only, Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169047"">Google Home Mini</a> in Chalk or Charcoal for <strong>$29</strong>. Plus, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090012,2169047"">link your Walmart account to Google</a> and you'll receive a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090015,2169047"">$25 Walmart Credit for a future order via Google Express</a>. Assuming you use the credit, that's tied with our expired mention from three days ago as the lowest price we've seen. (It's the best deal now by $25.) The coupon will be automatically issued when your Walmart account is linked to your Google account. Limit two coupons per household. Coupon expires January 31.",pickup at Walmart,https://www.dealnews.com/Google-Home-Mini-w-25-Walmart-GC-for-29-pickup-at-Walmart/2169047.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/abo7s9skm7lvkgvwxnbn",2169047,$29,,2017-12-31T09:06:18-05:00
HEADPHONES,True,JBL Everest Elite 300 Wireless Headphones,3,"As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169044"">JBL Everest Elite 300 NXTGen Wireless Headphones</a> in White for <strong>$89.99</strong> plus <strong>$5</strong> for shipping. That's $10 less than our October mention and the lowest price we've seen for a new pair. (It's the best deal now by $52.) They feature noise cancelling technology, a frequency response of 10 to 22kHz, Bluetooth 4.0, and a built-in microphone. Deal ends today.",$5 shipping,https://www.dealnews.com/JBL-Everest-Elite-300-Wireless-Headphones-for-90-5-s-h/2169044.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jp1isavh7ulxgqnypu5q",2169044,$90,,2017-12-31T09:14:00-05:00
TOYS & HOBBIES,,Playmobil City Zoo,3,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169041"">Playmobil City Zoo</a> for <strong>$14.39</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $4. This 91-piece set includes several figures.<br>
<br>
Note: It's temporarily out of stock but still available to purchase for this price. (It's expected to be back in stock on January 4.)",free shipping w/ Prime,https://www.dealnews.com/Playmobil-City-Zoo-for-14-free-shipping-w-Prime/2169041.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dtyvfdrdi4jk05xsmr6q",2169041,$14,2017-12-31T05:11:39-05:00,
CAMPING & OUTDOORS,True,Yeti Roadie 20 Cooler,5,"As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169038"">Yeti Roadie 20 Cooler</a> in Ice Blue for <strong>$139.99</strong> plus <strong>$5</strong> for shipping. That's the lowest outright price we've seen and the best deal we could find now by $55. (For further comparison, we saw it bundled with a $75 Academy Sports gift card for $200 three weeks ago.) It features a ColdLock gasket, lid latches, tie-down slots, and Vortex drain system. Deal ends today.",$5 shipping,https://www.dealnews.com/Yeti-Roadie-20-Cooler-for-140-5-s-h/2169038.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ckgkbdcfksyvh4zugbgx",2169038,$140,,2017-12-31T09:05:25-05:00
CREDIT CARDS,,Marriott Rewards® Premier Credit Card,,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168612"">Marriott Rewards® Premier Credit Card</a> and <strong>earn 80,000 Bonus Points</strong> after you <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089679,2168612"">spend $3,000 on purchases</a> in the first 3 months from account opening. Plus, <strong>earn 7,500 Bonus Points</strong> when you add the first authorized user and make a purchase in the first 3 months from account opening. You'll also <strong>earn 5 points</strong> for every $1 spent at 5,700 Marriott locations, <strong>2 points</strong> for every $1 spent on airline tickets purchased directly with the airline, at car rental agencies, and restaurants, and <strong>1 point</strong> everywhere else. Other card features include <strong>1 Free Night Stay</strong> at a Category 1-5 location every year after your account anniversary date, <strong>15 credits</strong> toward your next Elite membership level after account approval and every year after account anniversary, and <strong>1 Elite Credit</strong> for every $3,000 spent on purchases. An $85 annual fee applies. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089682,2168612"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,"https://www.dealnews.com/lw/click.html?20,2,2168612","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aqgroaw40es5ego2zmp5",2168612,"Earn 80,000 Bonus Points",2017-12-31T00:01:00-05:00,
PETS,,"Go Pet Club 47"" Kitten Tree",4,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169035"">Go Pet Club 47"" Kitten Tree</a> for $29.99. Clip the 10% off coupon to cut that to <b>$26.99</b>. With <strong>free shipping</strong>, that's the lowest price we could find by $8. It measures 29"" x 23"" x 46.75""and is covered in faux fur.<br>
<br>
<i>Update</i>: Note that this item is temporarily out of stock, but can still be ordered at this price for delivery when available.",free shipping,https://www.dealnews.com/Go-Pet-Club-47-Kitten-Tree-for-27-free-shipping/2169035.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/virm11wapscj9xgstk4v",2169035,$27,,2017-12-31T09:26:43-05:00
TOYS & HOBBIES,,Precious Moments Kermit Porcelain Figurine,3,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169032"">Precious Moments Disney The Muppets <i>Music Is What Friendship Sounds Like</i> Porcelain Kermit Figurine</a> for <strong>$28.06</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $22. It measures approximately 4.5"".",free shipping w/ Prime,https://www.dealnews.com/Precious-Moments-Kermit-Porcelain-Figurine-for-28-free-shipping-w-Prime/2169032.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j48y5kmqlarkzrvygmrm",2169032,$28,2017-12-31T01:52:49-05:00,
TOYS & HOBBIES,True,Mega Construx Despicable Me Waterski Set,3,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169029"">Mega Construx Despicable Me Wild Waterski Bike Building Set</a> for <b>$4.20</b>. That's the lowest price we could find by $15. It features three buildable Minion figures with ""water splash"" details and interchangeable parts, including overalls, goggles, arms, and feet.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with an order of $25 or more.",pickup at Walmart,https://www.dealnews.com/Mega-Construx-Despicable-Me-Waterski-Set-for-4-w-25-purchase-pickup-at-Walmart/2169029.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xq23edbgqftbgflby31l",2169029,$4 w/ $25 purchase,,2017-12-31T09:13:08-05:00
KITCHEN,,Fred & Friends Taco Truck Taco Holder 2-Pack,3,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169026"">Fred &amp; Friends Taco Truck Taco Holder 2-Pack</a> for <strong>$7.72</strong> with <strong>free shipping</strong> for Prime members. That's the lowest total price we could find by $8. It includes one salsa red truck and one guacamole green truck.",free shipping w/ Prime,https://www.dealnews.com/Fred-Friends-Taco-Truck-Taco-Holder-2-Pack-for-8-free-shipping-w-Prime/2169026.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wxklaz9gwxobj3wwm4sl",2169026,$8,,2017-12-31T09:42:54-05:00
KITCHEN,,Fred & Friends Deep Tea Diver Tea Infuser,4,"L & P Leading Trend via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169023"">Fred &amp; Friends Deep Tea Diver Silicone Tea Infuser</a> for <strong>$8.25</strong> with <strong>free shipping</strong> for Prime members. That's the lowest total price we could find by $8. It's dishwasher- and microwave-safe and features a stainless steel ""air tank"" serves as a counterweight for the infuser.",free shipping w/ Prime,https://www.dealnews.com/Fred-Friends-Deep-Tea-Diver-Tea-Infuser-for-8-free-shipping-w-Prime/2169023.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/b91argsljazzobbxv9lg",2169023,$8,,2017-12-31T09:25:16-05:00
BATTERY BACKUPS/UPSS,True,APC UPS Connect 84VA Battery Back-Up System,4,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169014"">APC UPS Connect 84VA Battery Back-Up System</a> for $44.05. Clip the $13 off coupon to cut that to <b>$31.05</b>. With <strong>free shipping</strong>, that's the lowest price we could find by $40, although it was a buck less three weeks ago. It features over two hours of network backup power, two surge-protected outlets, a removable battery pack for smartphone charging, and three USB ports.",free shipping,https://www.dealnews.com/APC-UPS-Connect-84-VA-Battery-Back-Up-System-for-31-free-shipping/2169014.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fstiudygo8w7cjvrslbh",2169014,$31,,2017-12-31T09:10:42-05:00
