title,time_modified,category,uuid,description,picture_url,url,price,shipping,time_published,hotness,editors_choice
Fizzics Waytap Beer Dispenser,,SMALL APPLIANCES,2168531,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168531"">Fizzics Waytap Draft Beer System</a> in Black for <strong>$84.99</strong> with <strong>free shipping</strong>. That's $1 under our March mention and the lowest price we could find by $15. It's compatible with 12-oz. to 25-oz. cans and 12-oz. bottles and requires four AA batteries (not included.)","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mku1dbgeqcchgn7ec1zz",https://www.dealnews.com/Fizzics-Waytap-Beer-Dispenser-for-85-free-shipping/2168531.html,$85,free shipping,2017-12-29T20:51:43-05:00,4,
Nike Men's Lebron XIV Low Basketball Shoes,,SHOES,2168678,"Nike offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168678"">Nike Men's Lebron XIV Low Basketball Shoes</a> in Stucco or Black for $89.97. In cart, that drops to <strong>$67.48</strong>. Plus, Nike+ members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089730,2168678"">join</a>.) That's the lowest price we could find by $7, although most stores charge at least $90 (if not closer to list price). They're available in select sizes from 7 to 18.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rwbovsbsusejhuwylxj7",https://www.dealnews.com/Nike-Mens-Lebron-XIV-Low-Basketball-Shoes-for-67-free-shipping/2168678.html,$67,free shipping,2017-12-29T20:48:30-05:00,4,
"GreCute 18"" x 30"" Doormat",,DECOR,2168495,"Nomi Park via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168495"">GreCute 18"" x 30"" Doormat</a> in Black for <strong>$5.09</strong>. Plus, Prime members get <strong>free shipping</strong>. That's $3 under our October mention, $5 off, and the lowest price we could find. It features vinyl backing.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/n6ikdhmmzqc6e0cty5ci",https://www.dealnews.com/Gre-Cute-18-x-30-Doormat-for-5-free-shipping-w-Prime/2168495.html,$5,free shipping w/ Prime,2017-12-29T20:47:50-05:00,3,
Nike Men's Jordan Ultra.Fly 2 Shoes,2017-12-29T20:45:35-05:00,SHOES,2168672,"Nike offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168672"">Nike Men's Jordan Ultra.Fly 2 Basketball Shoes</a> in several colors (Black/Anthracite pictured) for $79.97. In cart, that drops to <strong>$59.98</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089733,2168672"">Villa</a> charges the same in Black/Red.) Plus, Nike+ members receive <b>free shipping</b>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089724,2168672"">join</a>.) That's the lowest price we could find by $7. They're available in select sizes from 9 to 13.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/m0llhlqluwluva1faedx",https://www.dealnews.com/Nike-Mens-Jordan-Ultra.Fly-2-Shoes-for-60-free-shipping/2168672.html,$60,free shipping,,5,
Rubbermaid TakeAlongs 40pc Food Storage Set,,KITCHEN,2168486,"Target offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168486"">Rubbermaid TakeAlongs 40-Piece Food Storage Container Set</a> for <strong>$8.99</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089463,2168486"">Amazon</a> has it for the same with a $25 order.) Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's a buck under our July mention and the best price we could find by $3. It includes four mini square containers, two mini round containers, four square containers, four bowl containers, two large bowls, and four square containers.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mrvv4uoewebgcsby5lm0",https://www.dealnews.com/Rubbermaid-Take-Alongs-40-pc-Food-Storage-Set-for-9-pickup-at-Target/2168486.html,$9,pickup at Target,2017-12-29T20:07:37-05:00,3,
Halo WiFi Smart LED Recessed Ceiling Fixture,,LIGHTING & LAMPS,2168657,"As one of its daily deals, Home depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168657"">Halo RL 5"" and 6"" Wireless Smart Integrated LED Recessed Downlight Ceiling Fixture</a> in White for <strong>$19.58</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $8. It can be automated and controlled remotely with your smart device and has a selectable color temperature range (2700K to 5000K). It's also compatible with Wink and Samsung SmartThings hubs. Deal ends December 30 at 4 am ET.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jpdan2yj6reixei2p2qz",https://www.dealnews.com/Halo-Wi-Fi-Smart-LED-Recessed-Ceiling-Fixture-for-20-free-shipping/2168657.html,$20,free shipping,2017-12-29T20:03:12-05:00,4,
Society Den Emery Upholstered Platform Bed,,BED & BATH,2168636,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168636"">Society Den Emery Upholstered Twin Platform Bed</a> in several colors (Teal pictured) for <strong>$162.88</strong> with <strong>free shipping</strong>. (Non-members pay an additional $16.29.) That's the lowest price we could find by $23. It features a chrome silver nailhead trim.<br>
<br>
It's also available in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089703,2168636"">Full</a> for <strong>$199.88</strong> with <strong>free shipping</strong>. (Non-members pay an additional $19.99.) That's the lowest price we could find by $10.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/czeaipyeyabugq3ofkeu",https://www.dealnews.com/Society-Den-Emery-Upholstered-Platform-Bed-from-163-free-shipping/2168636.html,from $163,free shipping,2017-12-29T19:56:00-05:00,3,
Metal/Glass Console Table,,TABLES,2168606,"Sam's Club offers its members this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168606"">Metal/Glass Console Table</a> for <b>$69.99</b> with <b>free shipping</b>. (Non-members must pay a $7 surcharge.) That's $30 off list and the lowest price we could find. It measures 43"" x 15"" x 30"".","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pmomuazsjfigzg6urrw4",https://www.dealnews.com/Metal-Glass-Console-Table-for-70-free-shipping/2168606.html,$70,free shipping,2017-12-29T18:45:41-05:00,3,
GoPro HERO6 Black 4K Action Camera,,DIGITAL CAMCORDERS,2168630,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168630"">GoPro HERO6 Black 4K Action Camera</a> for <strong>$399.99</strong> with <strong>free shipping</strong>. That's $49 under our Cyber Monday mention (although that included a $75 B&H gift card) and the lowest outright price we've seen. (It's the best deal now by $59, although most retailers charge upwards of $479.) It's waterproof to 33 feet <i>without</i> a housing and features a 2"" touchscreen LCD, up to 4K video recording at 60fps, 12-megapixel still image resolution, three microphones, 5GHz WiFi, Bluetooth, GPS (with data overlay via the free Quik desktop app), microSDXC card slot, micro HDMI, and rechargeable Li-ion battery.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bcbjeoyylhwq8gsjlxoa",https://www.dealnews.com/Go-Pro-HERO6-Black-4-K-Action-Camera-for-400-free-shipping/2168630.html,$400,free shipping,2017-12-29T18:10:38-05:00,3,
"Pogo Pass to Las Vegas, Dallas, Austin, more",,THINGS TO DO,2168519,"DestinationCoupons continues to take <b>60% off</b> a selection of Pogo Passes for select cities via coupon code ""DEST"", as listed below. (Click ""Buy Now"" next to your desired location; the coupon may apply automatically.) It offers discounts on local attractions, amusement parks, sporting events, zoos, and more. Each Pogo Pass is good for one year and is non-transferable. This travel deal ends December 31. The deals:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168519"">Las Vegas Pogo Pass</a> for <b>$39.98</b> ($60 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089508,2168519"">Austin Pogo Pass</a> for <b>$39.98</b> ($60 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089511,2168519"">Dallas Pogo Pass</a> for <b>$39.98</b> ($60 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089514,2168519"">San Antonio Pogo Pass</a> for <b>$39.98</b> ($60 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089517,2168519"">Phoenix and Tucson Pogo Pass</a> for <b>$49.98</b> ($60 off)
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kbb4mkkya2esnxelebmi",https://www.dealnews.com/Pogo-Pass-to-Las-Vegas-Dallas-Austin-more-60-off-from-40/2168519.html,"60% off, from $40",,2017-12-29T16:01:57-05:00,,
Serta Luxury Hybrid Shoreway Mattress Set,,MATTRESSES,2168582,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168582"">Serta Ultra Luxury Hybrid Shoreway Plush Mattress Queen Set</a> with 5.75"" or 9"" boxspring for <b>$699</b> with <b>free white glove delivery</b>. (Delivery includes basic set-up and haul-away. Non-members pay an additional $69.90, so it's better to buy a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089643,2168582"">1-Year Membership</a> for $45.) That's $600 off and the lowest price we could find, although we saw it for $100 less last week. This smooth-top mattress features a 14.75"" profile and hybrid gel memory foam / individually-wrapped coil design. It's compatible with Serta adjustable foundations (sold separately).<br>
<br>
It's also available in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089646,2168582"">King</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089649,2168582"">California King</a> for <b>$999</b> with <b>free shipping</b>. (As above, non-members should purchase a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089643,2168582"">1-Year Membership</a> for $45 to avoid the $99.90 surcharge.) That's also a tie from three weeks ago, $700 off, and the lowest price we could find.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hjztd46vih4mntti82up",https://www.dealnews.com/Serta-Luxury-Hybrid-Shoreway-Mattress-Set-from-699-free-shipping/2168582.html,from $699,free shipping,2017-12-29T18:10:30-05:00,3,
Sperry Men's Star Wars Cloud Duel Shoes,,SHOES,2168555,"Sperry offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168555"">Sperry Men's Star Wars Cloud Duel Slip-On Shoes</a> for <b>$37.48</b> with <b>free shipping</b>. That's $37 off list and the lowest price we could find. They're available in sizes 7 to 13.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uvxwtwkyzlvvtec6bcxw",https://www.dealnews.com/Sperry-Mens-Star-Wars-Cloud-Duel-Shoes-for-37-free-shipping/2168555.html,$37,free shipping,2017-12-29T17:34:19-05:00,3,
Remington Shortcut Pro Self-Haircut Kit,2017-12-29T20:36:59-05:00,HAIR CARE,2168585,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168585"">Remington Shortcut Pro Self-Haircut Kit</a> for $38.49. Clip the $10 off coupon on the product page to cut that to <strong>$28.49</strong>. With <strong>free shipping</strong>, that's tied with our mention from last week as the lowest price we've seen. (It's the best deal now by $10.) This 13-piece kit includes a hand-held clipper, nine length-adjusting combs, a cleaning brush, storage/travel pouch, oil, and a charger.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lnluxboxddrq5mlp6biv",https://www.dealnews.com/Remington-Shortcut-Pro-Self-Haircut-Kit-for-28-free-shipping/2168585.html,$28,free shipping,,4,True
Emery Upholstered Chair,,CHAIRS,2168588,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168588"">Emery Upholstered Chair</a> in several colors (Natural pictured) for <b>$199.98</b> with <b>free shipping</b>. (Non-members pay a $20 surcharge.) That's the lowest price we could find by $27. It features straight edge arms and nailhead trim.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sanlalnxqycpl7beksld",https://www.dealnews.com/Emery-Upholstered-Chair-from-200-free-shipping/2168588.html,from $200,free shipping,2017-12-29T17:27:16-05:00,3,
Mars Halloween Candy 250-Piece Bag,,GROCERIES,2168597,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168597"">Mars Chocolate and More Favorites Halloween Candy Variety Mix 95.1-oz. 250-Piece Bag</a> for <strong>$7.80</strong> with <strong>free shipping</strong>. Provided you've got some other shopping to do at Amazon, that's $8 under our October mention and the lowest price we could find now by $6. It includes fun- and mini-sized Starburst, Skittles, 3 Musketeers, Snickers, and Snickers Peanut Butter Squared candies.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with an order of $25 or more.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eotxhpehnz9uv7eu8nfp",https://www.dealnews.com/Mars-Halloween-Candy-250-Piece-Bag-for-8-w-25-purchase-free-shipping/2168597.html,$8 w/ $25 purchase,free shipping,2017-12-29T17:21:03-05:00,4,
Optimum Nutrition Protein Powder 5-lb. Jar,,SUPPLEMENTS,2168573,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168573"">Optimum Nutrition 100% Whey Gold Standard Protein Powder 5-lb. Jar</a> in several flavors (Chocolate Mint pictured) for <strong>$39.99</strong> with <b>free shipping</b> via the steps below. That's $2 below our mention from Black Friday weeked and the lowest price we could find by $8. It delivers 24g of whey protein per serving. To get this deal:
<ol>
 <li>Select a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168573"">Optimum Nutrition 100% Whey Gold Standard Protein Powder 5-lb. Jar</a> in flavor for $49.99
 </li>
 <li>clip the 15% off coupon on the product page
 </li>
 <li>order via Subscribe &amp; Save to drop it to <b>$39.99</b>
 </li>
</ol>
Note: Be sure to cancel your subscription once your order ships to avoid being billed for further shipments.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hov7g1focbwcbycjvgfx",https://www.dealnews.com/Optimum-Nutrition-Protein-Powder-5-lb.-Jar-for-40-free-shipping/2168573.html,$40,free shipping,2017-12-29T17:16:31-05:00,3,
Alder Creek Executive Gourmet Gift Basket,,CHOCOLATES,2168570,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168570"">Alder Creek Executive Gourmet Gift Basket</a> for <b>$64.91</b> with <b>free shipping</b>. (Non-members pay a $6.49 surcharge.) That's $20 off list and the lowest price we could find. The basket includes Portlock salmon, Jack Allen Chocolate Eclairs, Lindt Truffles Truffle Cookies, Olli Salumeria Mild Genoa Salami, and more.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nh60fftynwzkngzszdeb",https://www.dealnews.com/Alder-Creek-Executive-Gourmet-Gift-Basket-from-65-free-shipping/2168570.html,from $65,free shipping,2017-12-29T17:04:39-05:00,2,
