shipping,price,url,description,editors_choice,time_published,hotness,uuid,title,category,picture_url,time_modified
free shipping,$77,https://www.dealnews.com/48-Quest-Protein-Cookies-for-77-free-shipping/2172257.html,"Ending today, Vitamin Shoppe offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172257"">12 Quest Protein Cookies</a> in several flavors (Double Chocolate Chip pictured) for $23.99. Add <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097347,2172257"">four</a> to your cart and apply coupon code ""NEWYEAR8"" for a final price of <strong>$76.77</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $23. Each cookie includes 15g of protein, 10g of fiber, and 1g of sugar.",,2018-01-05T01:32:15-05:00,3,2172257,48 Quest Protein Cookies,GROCERIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/flvnwnbtkqvehjjnw6vg",
free shipping w/ Prime,$10,https://www.dealnews.com/Sungait-Mens-Polarized-Sunglasses-for-10-free-shipping-w-Prime/2172245.html,"Sungait via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172245"">Sungait Men's Ultra Lightweight Rectangular Polarized Sunglasses</a> in Black or Gunmetal for $14.99. Coupon code ""BSRM2I39"" cuts them to <strong>$9.99</strong>. With <strong>free shipping</strong>, that's $5 off and tied with last week's mention as the lowest price we could find. They feature 100% UV protection. Deal ends January 6.",,2018-01-05T01:19:51-05:00,3,2172245,Sungait Men's Polarized Sunglasses,SUNGLASSES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h3mdeijx7docvirajbst",
free shipping,$33,https://www.dealnews.com/Lavany-Portable-Facial-Cleansing-Brush-for-33-free-shipping/2172251.html,"Jerrybox via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172251"">Lavany Portable Facial Cleansing Brush</a> for $39.99. Coupon code ""4SWWTBQ8"" cuts it to <strong>$32.99</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $13. It features UV light sterilization and two brush speeds.",,2018-01-05T01:17:16-05:00,2,2172251,Lavany Portable Facial Cleansing Brush,SKIN CARE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uqyez6zbg1ue2crgdtth",
free shipping w/ $50,40% off + 20% off,https://www.dealnews.com/Original-Penguin-Sale-40-off-20-off-free-shipping-w-50/2172248.html,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172248"">Original Penguin</a> takes an <strong>extra 40% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097341,2172248"">sale styles</a>. (Add items to cart to see this discount.) Plus, take an <strong>extra 20% off</strong> via coupon code ""OFFEROP20"". Shipping adds <strong>$7</strong>, although orders over $50 get free shipping when you join the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097344,2172248"">Original Rewards Program</a>. Some exclusions apply. Deal ends January 9.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s2767/Original-Penguin/"">Original Penguin Coupons</a>.</p>",,2018-01-05T00:50:14-05:00,3,2172248,Original Penguin Sale,CLOTHING & ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mhh2xbs9mk8oixy4zgvk",
free shipping w/ Prime,$10,https://www.dealnews.com/Amazon-Basics-AAA-Rechargeable-Battery-8-Pack-for-10-free-shipping-w-Prime/2172239.html,"Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172239"">AmazonBasics AAA Rechargeable Batteries 8-Pack</a> for <strong>$9.99</strong> with <b>free shipping</b> for Prime members. That's $2 off list and tied with last week's mention as the lowest price we could find. They come pre-charged and last through a purported 1,000 recharge cycles.",,2018-01-05T00:24:11-05:00,4,2172239,AmazonBasics AAA Rechargeable Battery 8-Pack,BATTERIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ohxau5i4iiudxjuvq1rc",
,free w/ membership,https://www.dealnews.com/15-Sams-Club-eGift-Card-free-w-membership/2172065.html,"At Sam's Club, Dealnews readers get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172065"">$15 Sam's Club eGift Card</a>, together with additional <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097137,2172065"">instant savings</a>, when you buy a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097140,2172065"">Sam's Club 1-Year Membership</a>. Deal ends January 31.",,2018-01-05T00:01:00-05:00,,2172065,$15 Sam's Club eGift Card,SAM'S CLUB COUPONS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wd6ddotvsrsrevyypoev",
free shipping,$16,https://www.dealnews.com/Gap-Mens-Slim-Fit-Cargo-Pants-for-16-free-shipping/2172242.html,"Gap offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172242"">Gap Men's Slim Fit Cargo Pants</a> in Surplus for $26.99. Coupon code ""HAPPY"" cuts the price to <strong>$16.19</strong>. Plus, get <strong>free shipping</strong> via coupon code ""ITSFREE"". That's $54 off list and the lowest price we could find. They're available in select sizes 29 to 32 <del>34</del> and lengths 32 to 34. Deal ends January 8.",True,,5,2172242,Gap Men's Slim Fit Cargo Pants,PANTS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yzdzinndgxoqtsaahyw3",2018-01-05T03:29:55-05:00
pickup at Home Depot,$287,https://www.dealnews.com/Home-Decorators-Collection-Open-Bookcase-for-287-pickup-at-Home-Depot/2172236.html,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172236"">Home Decorators Collection Oxford Storage Open Bookcase</a> in Walnut for <strong>$287.40</strong>. Opt for in-store <strong>pickup</strong> to dodge the $55 shipping fee. That's $192 off list and the lowest price we could find. It measures 72"" x 64"" x 13.5"" and features adjustable shelves. Deal ends January 7.",,2018-01-05T00:19:40-05:00,4,2172236,Home Decorators Collection Open Bookcase,HOME FURNITURE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wskbmbsxoyblabcyv7nk",
free shipping w/ Prime,from $12,https://www.dealnews.com/White-Sierra-Mens-Cloud-Rest-Full-Zip-Fleece-from-12-free-shipping-w-Prime/2172230.html,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172230"">White Sierra Men's Cloud Rest Full Zip Fleece Jacket</a> in several colors (Caviar pictured) from <s>$11</s> <strong>$11.58</strong> with <strong>free shipping</strong> for Prime members. That's the lowest price we could find by $36. It's available in sizes M to XXL.",True,,4,2172230,White Sierra Men's Cloud Rest Full Zip Fleece,COATS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/axdraen9dwotnlccujye",2018-01-05T03:28:23-05:00
$5 shipping,$24,https://www.dealnews.com/Original-Penguin-Mens-Jaspe-Hoodie-for-24-5-s-h/2172224.html,"Original Penguin offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172224"">Original Penguin Men's Jaspe Hoodie</a> in Dark Sapphire for <strong>$23.99</strong> plus <strong>$5</strong> for shipping via the steps below. That's $65 off list and the lowest price we could find, although we saw it for $4 less three weeks ago. Deal ends January 9. It's available in sizes S to XXL. To get this price:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172224"">Original Penguin Men's Jaspe Hoodie</a> for $49.99
 </li>
 <li>add it to your cart to drop that to $29.99
 </li>
 <li>apply coupon code ""OFFEROP20"" for a final price of <strong>$23.99</strong>
 </li>
</ol>",,2018-01-04T23:51:38-05:00,4,2172224,Original Penguin Men's Jaspe Hoodie,SWEATSHIRTS & HOODIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zd2wtcfmce31uourpszf",
free shipping,$90,https://www.dealnews.com/Craftsman-Router-and-Router-Table-Combo-for-90-free-shipping/2172218.html,"Sears offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172218"">Craftsman Router and Router Table Combo</a> for <strong>$89.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $14. It features a 334-square inch working surface, cast aluminum base, and 1-3/4-horsepower motor.",,2018-01-04T23:28:56-05:00,4,2172218,Craftsman Router and Router Table Combo,POWER TOOLS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gboqygacr9uj3mowrqsb",
pickup at Sears,$23,https://www.dealnews.com/Reebok-Mens-Train-Fusion-Athletic-Shoes-for-23-pickup-at-Sears/2172215.html,"Sears offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172215"">Reebok Men's Train Fusion Athletic Shoes</a> in Navy for $26.99. Coupon code ""NEWYEAR"" cuts the price to <strong>$22.94</strong>. Opt for in-store <strong>pickup</strong> to avoid the $4.49 shipping charge. That's $2 under our July mention and the lowest price we could find by $9. They're available in sizes 7 to 13.",,2018-01-04T23:13:11-05:00,4,2172215,Reebok Men's Train Fusion Athletic Shoes,SHOES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kclwjdwlqosebgb55cw3",
free shipping,$116,https://www.dealnews.com/Decor-Flame-Acadia-42-Media-Fireplace-for-116-free-shipping/2172212.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172212"">Décor Flame Acadia 42"" Media Fireplace</a> for <strong>$115.99</strong> with <b>free shipping</b>. That's $73 under our April mention and the lowest price we could find now by $49. It features a 3,750 BTU heater and will hold televisions up to 50"". It measures 43"" x 16"" x 30"".",,2018-01-04T22:51:45-05:00,3,2172212,"Decor Flame Acadia 42"" Media Fireplace",TV STANDS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gkxy79cxef7xbxrmkr7u",
pickup at Home Depot,$288,https://www.dealnews.com/Closet-Maid-Selectives-Basic-Closet-System-for-288-pickup-at-Home-Depot/2172209.html,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172209"">ClosetMaid Selectives Basic Plus Closet System</a> in White for <strong>$288.15</strong>. Opt for in-store <strong>pickup</strong> to avoid the $55 shipping charge. That's $51 off list and the lowest price we could find. It measures approximately 83"" x 120"" x 14.5"" and features 10 feet of shelf space, 12 feet of hanging space, and three expandable hanging rods. Deal ends January 31.",,2018-01-04T22:49:53-05:00,3,2172209,ClosetMaid Selectives Basic Closet System,HOME FURNITURE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ev9zkoq4rtii0fkhkuw3",
free shipping,$550,https://www.dealnews.com/Refurb-iRobot-Roomba-980-Wi-Fi-Robot-Vacuum-for-550-free-shipping/2172206.html,"Call of Deals via eBay offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172206"">iRobot Roomba 980 WiFi Robot Vacuum</a> for <strong>$549.99</strong> with <strong>free shipping</strong>. That's $250 below our October mention of a new unit and the best price we've seen. (It's also $349 under the lowest price we could find for a new unit today.) Features include an AeroForce cleaning system with Carpet Boost to increase power on carpets, AeroForce high-efficiency filter, and iRobot Home app for scheduling. Deal ends January 10.<br>
<br>
Note: A 1-year warranty applies, but it's unclear who backs it.",True,2018-01-04T22:07:22-05:00,3,2172206,Refurb iRobot Roomba 980 WiFi Robot Vacuum,VACUUM CLEANERS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/akk3dlf8oprje012u09i",
