description,uuid,title,category,price,picture_url,shipping,editors_choice,time_published,time_modified,url,hotness
"Dell Home offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170898"">LG 48.5"" 4K HDR IPS LED-Backlit LCD Ultra HD Smart Television</a>, model no. 49UJ6300, for <b>$399.99</b> with <strong>free shipping</strong>. That's the lowest price we could find by $10, with many stores charging at least $500, although we saw it for $400 bundled with a $50 Dell gift card last month. It features a 3840x2160 (2160p, 4K) native resolution, 4K upscaling, active HDR, 802.11ac wireless, webOS 3.5 (with access to Netflix, Hulu Plus, YouTube, more), USB, and three HDMI inputs.",2170898,"LG 49"" 4K HDR LED UHD Smart TV",TVS,$400,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zxzvpu1rn412yiwcl9ty",free shipping,,2018-01-03T09:40:10-05:00,,https://www.dealnews.com/LG-49-4-K-HDR-LED-UHD-Smart-TV-for-400-free-shipping/2170898.html,0
"For in-store pickup only, Micro Center offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170901"">Under Armour HealthBox Connected Fitness System</a> for <strong>$49.99</strong>. That's the lowest price we could find by $110 and the best we've seen by far. It includes a UA Band, UA Scale, and UA Heart Rate.",2170901,Under Armour HealthBox Fitness System,SPORTS & FITNESS,$50,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wrv4uyvcx24h66suskdf",pickup at Micro Center,True,2018-01-03T09:34:55-05:00,,https://www.dealnews.com/Under-Armour-Health-Box-Fitness-System-for-50-pickup-at-Micro-Center/2170901.html,0
"For in-store pickup only, Micro Center offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170886"">Tile Slim Bluetooth Item Finder 4-Pack</a> for <strong>$39.99</strong>. That's $10 under our mention from last February and the lowest price we could find by $60. It creates an audible alarm at the push of a button, allowing you to find any item it's attached to.",2170886,Tile Slim Bluetooth Tracker 4-Pack,GADGETS,$40,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jc0l2l2qktyhbp9xpmff",pickup at Micro Center,,,2018-01-03T09:15:05-05:00,https://www.dealnews.com/Tile-Slim-Bluetooth-Tracker-4-Pack-for-40-pickup-at-Micro-Center/2170886.html,3
"B&H Photo Video offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170883"">SanDisk 240GB SSD Plus 2.5"" Serial ATA 6Gb/s Internal SSD</a> for <strong>$69.50</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093846,2170883"">Newegg</a>, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093849,2170883"">Best Buy</a>, and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093852,2170883"">Adorama</a> charge the same.) That's $3 under our August mention and the lowest price we could find by $10. It features read speeds of up to 530MB/s and write speeds of up to 440MB/s. Deal ends January 6.",2170883,SanDisk 240GB Plus SATA 6Gbps Internal SSD,INTERNAL HARD DRIVES,$70,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jmxjtxyzmzjqxkwwqi8z",free shipping,,2018-01-03T09:07:34-05:00,,https://www.dealnews.com/San-Disk-240-GB-Plus-SATA-6-Gbps-Internal-SSD-for-70-free-shipping/2170883.html,3
"Joe's New Balance Outlet offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170874"">New Balance Men's 410v5 Trail Running Shoes</a> in Charcoal for $38.99. Coupon code ""FLASH410"" drops it to <b>$34.99</b>. With <b>free shipping</b>, that's tied last month's mention and the lowest price we could find by $10. They're available in sizes 7 to 13. Deal ends January 5.",2170874,New Balance Men's 410v5 Trail Running Shoes,SHOES,$35,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eczvoa7yr5kjl70levmo",free shipping,,2018-01-03T09:06:59-05:00,,https://www.dealnews.com/New-Balance-Mens-410-v5-Trail-Running-Shoes-for-35-free-shipping/2170874.html,3
"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170880"">Dell XPS 8930 Intel Coffee Lake Core i3 3.6GHz Desktop</a> for <strong>$489.99</strong> with <strong>free shipping</strong>. That's $60 off list and the lowest price we could find. Features include:
<ul>
 <li>Intel Core i3-8100 3.6GHz Coffee Lake quad-core processor
 </li>
 <li>8GB RAM
 </li>
 <li>1TB 7200 rpm hard drive
 </li>
 <li>DVD burner
 </li>
 <li>Windows 10 Home 64-bit
 </li>
</ul>",2170880,Dell XPS 8930 Coffee Lake Core i3 Quad PC,DESKTOPS,$490,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pctuccrfwvirja3bfsgw",free shipping,,2018-01-03T09:04:39-05:00,,https://www.dealnews.com/Dell-XPS-8930-Coffee-Lake-Core-i3-Quad-PC-for-490-free-shipping/2170880.html,2
"Dell Home, via its Member Purchase Program, offers its 4.9-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170871"">Dell Inspiron 15 5000 Series 5570 Intel Kaby Lake R Core i7 1.8GHz 15.6"" 1080p Laptop</a> in Platinum Silver for $734.99. Coupon code ""50OFF699"" drops that to <strong>$685.99</strong>. With <strong>free shipping</strong>, that's tied with our mention from two weeks ago and the lowest price we could find now by $64.<br>
<br>
It features an Intel Core i7-8550U 1.8GHz Kaby Lake R quad-core processor, 15.6"" 1920x1080 (1080p) LED-backlit LCD, 8GB RAM, 1TB hard drive with 128GB SSD, DVD burner, 802.11ac wireless, Bluetooth 4.2, USB 3.1, HDMI, backlit keyboard, 3-cell battery, McAfee LiveSafe 12-month subscription, and Windows 10 Home 64-bit.",2170871,"Dell Kaby Lake R i7 16"" Laptop w/ 128GB SSD",LAPTOPS,$686,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cbamvb3gzycslmihvhst",free shipping,,2018-01-03T09:04:06-05:00,,https://www.dealnews.com/Dell-Kaby-Lake-R-i7-16-Laptop-w-128-GB-SSD-for-686-free-shipping/2170871.html,2
"Sperry offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170790"">Sperry Women's Crest Ebb Sandwash Sneakers</a> in Rose for <strong>$19.98</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093756,2170790"">Wolverine World Wide via Amazon</a> charges the same.) That's $10 under our mention from last May and the lowest price we could find in any style by $28. They're available in sizes 5 to 10.",2170790,Sperry Women's Crest Ebb Sandwash Sneakers,SHOES,$20,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mh066nqvsr6z00xjzdur",free shipping,,2018-01-03T08:56:16-05:00,,https://www.dealnews.com/Sperry-Womens-Crest-Ebb-Sandwash-Sneakers-for-20-free-shipping/2170790.html,3
"Alaska Airlines via DealBase offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170865"">1-Way Nationwide Fares</a> with prices starting from <strong>$36.31</strong>. (On the DealBase landing page, click ""Alaska Airlines"" in the top line to see this sale.) This price is valid on flights departing from Burbank, CA, (BUR) with arrival in San Jose, CA, (SJC) on February 6. That's the lowest price we could find for select routes by at least $46. Book this travel deal by January 4 for travel from January 16 through March 14.<br>
<br>
Prices, dates, and booking details were valid at the time of publication.",2170865,Alaska Airlines Nationwide Fares,AIRFARE,from $36 1-way,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jm7gqccfov460z7z8ooj",,,2018-01-03T08:53:30-05:00,,https://www.dealnews.com/Alaska-Airlines-Nationwide-Fares-from-36-1-way/2170865.html,3
"Jos. A. Bank discounts <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093396,2170382"">men's suits, sportshirts, polos, sportcoats, sweaters, outerwear, and dress shirts</a>, with prices starting at <b>$15</b>, as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170382"">Clearance Blowout Deals event</a>. Plus, all orders receive <strong>free shipping</strong>. Deal ends January 11.",2170382,Jos. A. Bank Clearance Blowout Deals,CLOTHING & ACCESSORIES,from $16,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/a7xeamme77qdcwnyrzth",free shipping,,2018-01-03T00:01:00-05:00,,https://www.dealnews.com/Jos.-A.-Bank-Clearance-Blowout-Deals-from-16-free-shipping/2170382.html,
"Exclusively for its members, Costco takes <strong>$70 off</strong> any <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170862"">set of four Michelin tires</a>. (Click through the sale banner and find a set at your local warehouse; all discounts automatically apply in cart.) Additionally, you'll pay just <strong>1 cent per tire</strong> for installation. (Installation normally costs $15 per tire.) Combined, that matches our mention from a month ago and represents a savings of $130 on your next tire purchase. Deal ends January 12.<br>
<br>
Note: Additional service and disposal fees may apply, varying by state.",2170862,Set of 4 Michelin Tires at Costco,AUTOMOTIVE,$70 off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kjwugwwm5l1frxur1c5a",4-cent installation,,2018-01-03T08:52:29-05:00,,https://www.dealnews.com/Set-of-4-Michelin-Tires-at-Costco-70-off-4-cent-installation/2170862.html,4
"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170772"">Macy's</a> takes <strong>25% to 60% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093819,2170772"">apparel, shoes, accessories, jewelry, home items, and more</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093744,2170772"">New Year Styles Sale</a>. (Prices are as marked.) Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093747,2170772"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. (Orders of $99 or more also bag free shipping.)",2170772,Macy's New Year Styles Sale,MACY'S COUPONS,25% to 60% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d3cbz2ojuolwgxfiw0gi",free shipping w/ $99,,2018-01-03T08:49:34-05:00,,https://www.dealnews.com/Macys-New-Year-Styles-Sale-25-to-60-off-free-shipping-w-99/2170772.html,4
"Today you can take advantage of the best extra discount on Nike sale items in over a year. Check out this offer and more in our roundup of the top five <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/morning-jolt/"">Editors' Choice deals</a> we found last night and this morning.",2170856,Top 5 Deals You Need to Know This Morning: Nike's Best Sale Discount in Over a Year!,MORNING JOLT,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dq0tytquvkcrjkytgtxv",,,2018-01-03T08:48:38-05:00,,https://www.dealnews.com/features/morning-jolt/,
"Funnyhome-US via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170853"">Aicok Slow Masticating Juicer</a> for $98.99. Coupon code ""L9V73DDF"" cuts it to <strong>$68.30</strong>. With <strong>free shipping</strong>, that's $9 under our Cyber Week mention and the lowest price we could find now by $57. It features an 80 RPM low speed rate designed to reduce oxidation, auto-pulp ejection, and jug. Deal ends January 7.",2170853,Aicok Slow Masticating Juicer,SMALL APPLIANCES,$68,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wcmcyjxwfeuvl5pweqfl",free shipping,,2018-01-03T08:46:35-05:00,,https://www.dealnews.com/Aicok-Slow-Masticating-Juicer-for-68-free-shipping/2170853.html,2
"Tanga offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170832"">Zone Tech Emergency Escape Tool 2-Pack</a> for <strong>$7.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $1. The tool works as a seatbelt cutter or window breaker, and features a blade and a hammer.",2170832,Zone Tech Emergency Escape Tool 2-Pack,HAND TOOLS,$8,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hicixzefpm4tl4tuxogr",free shipping,,2018-01-03T08:45:06-05:00,,https://www.dealnews.com/Zone-Tech-Emergency-Escape-Tool-2-Pack-for-8-free-shipping/2170832.html,2
"Dell Home offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170835"">Dell XPS 15 Intel Kaby Lake Core i7 2.8GHz 15.6"" 4K Touch Laptop</a> for <strong>$1,499</strong> with <strong>free shipping</strong>. That's $101 under our mention from two weeks ago, $251 off, and the lowest price we've seen for this build.<br>
<br>
Features include an Intel Core i7-7700HQ 2.8GHz Kaby Lake quad-core processor, 15.6"" 3840x2160 IPS LED-backlit display, 16GB RAM, 512GB SSD, Nvidia GeForce GTX 1050 4GB video card, 802.11ac wireless, Bluetooth 4.2, McAfee LiveSafe 12-Month subscription, and Windows 10 Home 64-bit.",2170835,"Dell Kaby Lake i7 16"" 4K Laptop w/ 4GB GPU",LAPTOPS,"$1,499","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iscuarf0npk6wdjvsjrt",free shipping,,2018-01-03T08:39:53-05:00,,https://www.dealnews.com/Dell-Kaby-Lake-i7-16-4-K-Laptop-w-4-GB-GPU-for-1-499-free-shipping/2170835.html,1
"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170841"">Magic Chef 2.1-Cubic Foot Topload Compact Washer</a> for <b>$234.39</b> with <b>free shipping</b>. That's $56 under our August mention and the lowest price we could find by $62. It features six wash programs, three wash speeds, and electronic controls.",2170841,Magic Chef 2.1-Cu. Ft. Topload Compact Washer,WASHERS / WASHING MACHINES,$234,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zjjle1i8zslk3xrtivdc",free shipping,,2018-01-03T08:38:39-05:00,,https://www.dealnews.com/Magic-Chef-2.1-Cu.-Ft.-Topload-Compact-Washer-for-234-free-shipping/2170841.html,3
"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170820"">Levi's</a> cuts <strong>up to 75% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093786,2170820"">sale items</a>. Plus, cut an <strong>extra 40% off</strong> via coupon code ""SALE40"". Shipping adds <strong>$7.50</strong>, but orders of $100 or more get free shipping. Some exclusions apply. Deal ends January 9.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1491/Levis/"">Levi's Coupons</a>.</p>",2170820,Levi's Sale,CLOTHING & ACCESSORIES,Up to 75% off + 40% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ns6x4mayxb9wabwo20ch",free shipping w/ $100,,2018-01-03T08:36:37-05:00,,https://www.dealnews.com/Levis-Sale-Up-to-75-off-40-off-free-shipping-w-100/2170820.html,5
"Dell Home offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170826"">Dell Inspiron 20 3000 Series Intel Pentium Braswell 1.6GHz 19.5"" Touchscreen All-in-One Desktop PC</a> for <strong>$349.99</strong> with <b>free shipping</b>. That's the lowest price we could find by $48, although we saw it for $50 less on Cyber Monday.<br>
<br>
It features an Intel Pentium J3710 1.6GHz Braswell quad-core processor, 19.5"" 1600x900 LED-backlit touchscreen LCD, 4GB RAM, 1TB hard drive, DVD burner, 802.11n wireless, Bluetooth 4.0, McAfee LiveSafe 12-month subscription, and Windows 10 Home 64-bit.",2170826,"Dell Inspiron Pentium Quad 20"" Touch AIO PC",DESKTOPS,$350,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zdwnwlr5ln18aeacnmlu",free shipping,,2018-01-03T08:30:57-05:00,,https://www.dealnews.com/Dell-Inspiron-Pentium-Quad-20-Touch-AIO-PC-for-350-free-shipping/2170826.html,2
"Tanga offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170427"">Monoprice Select Ergonomic Wireless Mouse</a> for <b>$8.99</b> with <b>free shipping</b>. It features a contoured design, optical tracking, and a wireless dongle. Deal ends January 4.",2170427,Monoprice Select Ergonomic Wireless Mouse,MICE/TRACKBALLS,$9,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fbyr1v4gwzevxiyl1ra8",free shipping,,2018-01-03T00:01:00-05:00,,https://www.dealnews.com/Monoprice-Select-Ergonomic-Wireless-Mouse-for-9-free-shipping/2170427.html,
"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170829"">Crayola Creativity Tub</a> for <strong>$9.99</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the lowest price we could find by $5. It includes over 80 art supplies, including crayons, chalk, colored pencils, and construction paper.",2170829,Crayola Creativity Tub,TOYS & HOBBIES,$10,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rxccjeka7kbqoio4xbcw",pickup at Walmart,,2018-01-03T08:30:25-05:00,,https://www.dealnews.com/Crayola-Creativity-Tub-for-10-pickup-at-Walmart/2170829.html,3
