price,title,editors_choice,time_published,url,time_modified,hotness,category,uuid,description,picture_url,shipping
$26,New Balance Men's 410v5 Trail Running Shoes,,2018-01-04T20:45:19-05:00,https://www.dealnews.com/New-Balance-Mens-410-v5-Trail-Running-Shoes-for-26-free-shipping/2172110.html,,4,SHOES,2172110,"Joe's New Balance Outlet offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172110"">New Balance Men's 410v5 Trail Running Shoes</a> in Charcoal for $38.99. Coupon code ""NEWYEAR"" drops it to <b>$26</b> and unlocks <b>free shipping</b>. That's $9 under yesterday's mention and the lowest price we could find by $19. They're available in sizes 7 to 11.5.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eczvoa7yr5kjl70levmo",free shipping
Up to 50% off,Sorel Women's Boots,,2018-01-04T20:40:57-05:00,https://www.dealnews.com/Sorel-Womens-Boots-Up-to-50-off-free-shipping-w-150/2172182.html,,4,SHOES,2172182,"Sorel takes <b>up to 50% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172182"">women's boots</a> via coupon code ""SORHNY50"" as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097293,2172182"">Web Specials</a>. (The coupon takes 50% off full-price styles and an extra 25% off sale styles.) Shipping adds a flat <b>$6</b>, although orders of $150 or more bag free shipping.Some exclusions may apply. Deal ends January 30<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s7653/Sorel/"">Sorel Coupons</a>.</p>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ghiciyfomviolojf0dwp",free shipping w/ $150
$20,Jawbone UP3 Sleep/Activity Monitor Wristband,True,2018-01-04T20:29:58-05:00,https://www.dealnews.com/Jawbone-UP3-Sleep-Activity-Monitor-Wristband-for-20-free-shipping/2172185.html,,4,SPORTS & FITNESS,2172185,"Always Deals via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172185"">Jawbone UP3 Sleep/Activity Monitor Wristband</a> in several colors (Twilight pictured) for <strong>$19.99</strong> with <strong>free shipping</strong>. That's $5 under our mention from last February and the lowest price we've seen. (It's the best deal now by $16.) Tracked categories include heart rate, steps, distance, calories burned, hours slept, and calories consumed.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ch3viju4x8ddfx8qj8df",free shipping
$6,Swix Nordic Ski Hard Wax 45g Jar,,2018-01-04T20:27:15-05:00,https://www.dealnews.com/Swix-Nordic-Ski-Hard-Wax-45-g-Jar-for-6-pickup-at-REI/2172131.html,,1,CAMPING & OUTDOORS,2172131,"REI offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172131"">Swix Nordic Ski Hard Wax 45-Gram Jar</a> in V60 Red/Silver or V50 Violet for <strong>$5.93</strong>. Choose in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's tied with our November mention and the lowest price we could find now by $4. The V60 is intended for use with 37°F to 32°F new fallen snow and 34°F to 30°F transformed fine grained snow, and the V50 with 32°F new fallen snow and 30°F to 27°F transformed fine grained snow.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vnsue4lnlxqfqbk4eule",pickup at REI
$2,DC Batman Toothbrush 3-Piece Gift Set,,2018-01-04T20:23:47-05:00,https://www.dealnews.com/DC-Batman-Toothbrush-3-Piece-Gift-Set-for-2-pickup-at-Walmart/2172020.html,,3,TOOTHBRUSHES,2172020,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172020"">DC Batman Toothbrush 3-Piece Gift Set</a> for <strong>$2.44</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's $2 off and the lowest price we could find. It includes a toothbrush holder, toothbrush, and rinse cup.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ej00ukmyb3bynltyzsro",pickup at Walmart
$6,Justin Case 12-Foot 10G Booster Cable,,2018-01-04T20:22:16-05:00,https://www.dealnews.com/Justin-Case-12-Foot-10-G-Booster-Cable-for-6-pickup-at-Walmart/2172179.html,,4,AUTOMOTIVE,2172179,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172179"">Justin Case 12-Foot 10G Booster Cable</a> for $6.59. Opt for in-store <strong>pickup</strong> to drop it to <strong>$6.21</strong> and avoid the $5.99 shipping fee. That's $5 under the lowest price we could find for a similar cable. It fits top and side mount battery posts.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fpb5uhqssz8jhjatrosl",pickup at Walmart
$16,Cotton Econ Hotel Wash Cloths 48-Pack,,2018-01-04T20:12:01-05:00,https://www.dealnews.com/Cotton-Econ-Hotel-Wash-Cloths-48-Pack-for-16-free-shipping/2172002.html,,3,TOWELS,2172002,"Georgia Towels via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172002"">Cotton Econ Hotel Wash Cloths 48-Pack</a> in White for <strong>$15.89</strong> with <strong>free shipping</strong>. That's the lowest price we could find for similar wash cloths by a buck. They measure 12"" x 12""","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/drpkhogphaq1alpc0p4w",free shipping
Deals from $2,Pet Pillow Clearance,,2018-01-04T20:07:01-05:00,https://www.dealnews.com/Pet-Pillow-Clearance-Deals-from-2-6-s-h/2172176.html,,4,DECOR,2172176,"Walmart discounts a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172176"">Pet Pillows</a>, with prices starting from <strong>$2</strong>. Opt for in-store <strong>pickup</strong> where available to avoid the $5.99 shipping fee. That beats our mention from two weeks ago (which saw them all for $3 with no pickup available) and is a savings of up to $7 off list price.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/l9yzwlhxtmpdahvcyrew",$6 shipping
$87,Rockland Hardside Spinner 3-Piece Luggage Set,,2018-01-04T20:04:40-05:00,https://www.dealnews.com/Rockland-Hardside-Spinner-3-Piece-Luggage-Set-for-87-free-shipping/2172140.html,,4,LUGGAGE & TRAVEL GEAR,2172140,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172140"">Rockland Hardside Spinner 3-Piece Luggage Set</a> in Black for <strong>$87.02</strong> with <strong>free shipping</strong>. That's $18 under last month's mention, $47 off, and the lowest price we could find. It includes 20"", 24"", and 28"" spinner cases.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tzrpm6yak0hnswbjrxx8",free shipping
$15,Ozero Unisex Winter Gloves,,2018-01-04T00:01:00-05:00,https://www.dealnews.com/Ozero-Unisex-Winter-Gloves-for-15-free-shipping-w-Prime/2170847.html,,,ACCESSORIES,2170847,"Ozero Gloves via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170847"">Ozero Unisex Winter Gloves</a> in several colors (Denim Black pictured) for $18.99. Coupon code ""198ZQNMX"" cuts it to <strong>$15.38</strong>. (Limit one redemption per customer.) Plus, Prime members bag <strong>free shipping.</strong> They're windproof and water-resistant. Deal ends January 4.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pikek4cdo1itbsstvjju",free shipping w/ Prime
free w/ Buffalo Tenders,Arby's Small Fry and Soft Drink,,2018-01-04T20:00:57-05:00,https://www.dealnews.com/Arbys-Small-Fry-and-Soft-Drink-free-w-Buffalo-Tenders/2172113.html,,3,RESTAURANTS,2172113,"At participating Arby's locations, buy <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172113"">Buffalo Chicken Tenders</a> at full price and get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097245,2172113"">small fry and soft drink</a> for <strong>free</strong> via this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097248,2172113"">printable coupon</a>. (You'll get the coupon when you fill out your name and click ""Get this deal"".) <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097242,2172113"">Click here</a> to find a location near you. Deal ends January 9.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/n8e626a8klonz9krwtp6",
$6,Coleman 70-Hour Citronella Candle Lantern,,2018-01-04T19:57:46-05:00,https://www.dealnews.com/Coleman-70-Hour-Citronella-Candle-Lantern-for-6-pickup-at-Walmart/2172173.html,,3,CAMPING & OUTDOORS,2172173,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172173"">Coleman 70-Hour Citronella Candle Lantern</a> for <strong>$5.86</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's tied with our mention from ten days ago and the lowest price we could find by $1. It's designed to repel mosquitoes.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lqpkv4wuk94qb8i2uyz7",pickup at Walmart
from $11,Cetaphil 20-oz. and 9-oz. Moisturizing Creams,,2018-01-04T19:51:52-05:00,https://www.dealnews.com/Cetaphil-20-oz.-and-9-oz.-Moisturizing-Creams-from-11-free-shipping/2172146.html,,3,SKIN CARE,2172146,"Costco offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172146"">Cetaphil 20-oz. Moisturizing Cream</a> bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097281,2172146"">Cetaphil 8.8-oz. Moisturizing Cream</a> for <strong>$10.99</strong> with <strong>free shipping</strong>. (Non-members pay an additional 80 cents.) That's the lowest price we could find for this bundle by $4. (Most local stores charge about this price for just a 16-oz. jar.) Deal ends January 28.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uetsbzphlcksaaugnjjq",free shipping
$39,Ski Retriever Tag Kit,,2018-01-04T19:47:44-05:00,https://www.dealnews.com/Ski-Retriever-Tag-Kit-for-39-pickup-at-REI/2172089.html,,3,SPORTS & FITNESS,2172089,"REI offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172089"">Ski Retriever Tag Kit</a> for <b>$38.83</b>. Opt for in-store <b>pickup</b> to dodge the $5.99 shipping charge. That's $59 off list and the lowest price we could find. The set includes two homing tags.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aznnh3udu9pmc04xk7bb",pickup at REI
$17,Blue Ribbon 45-Piece Care Package,,2018-01-04T19:45:19-05:00,https://www.dealnews.com/Blue-Ribbon-45-Piece-Care-Package-for-17-free-shipping/2172053.html,,4,GROCERIES,2172053,"The New Mall via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172053"">Blue Ribbon 45-Piece Care Package</a> for $17.99. Checkout via Subscribe & Save for a final price of <b>$17.09</b>. With <b>free shipping</b>, that's the lowest price we could find by $5, although we saw it for pennies less in October. It includes a variety of snacks, including Oreos, Cheez It Crackers, and Planter's Peanuts.<br>
<br>
Note: Be sure to cancel Subscribe & Save after your item ships to avoid being billed for future shipments.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sj4matjgirzgl5rxrdij",free shipping
$175,Dyson DC59 Slim Cordless Stick Vacuum,True,2018-01-04T19:42:13-05:00,https://www.dealnews.com/Dyson-DC59-Slim-Cordless-Stick-Vacuum-for-175-free-shipping/2172170.html,,3,VACUUM CLEANERS,2172170,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172170"">Dyson DC59 Slim Cordless Stick Vacuum</a> in Yellow for <b>$175</b> with <b>free shipping</b>. That's tied with our mention from two weeks ago as the lowest price we've seen. (It's the best deal now by $75.) It features a V6 motor, motorized cleaner head, push-button canister empty, and handheld mode.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jwaxa1lyryz8mhbjk9ln",free shipping
$12...or less,Martha Stewart Stainless Steel Turkey Lifters,,2018-01-04T19:36:45-05:00,https://www.dealnews.com/Martha-Stewart-Stainless-Steel-Turkey-Lifters-for-12...or-less-free-s-h-w-beauty-item/2172047.html,,2,KITCHEN,2172047,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172047"">Martha Stewart Collection Stainless Steel Turkey Lifters</a> for <b>$11.53</b>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097092,2172047"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95.<br>
<br>
Don't need Martha's seal of approval? <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097287,2172047"">Bed Bath &amp; Beyond</a> offers this similar set for $7.99 with free in-store pickup.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vjd6qzh1fxhtob5efdkt",free s&h w/beauty item
$150,Husky 3-Foot Mobile Solid Wood Top Workbench,,2018-01-04T19:22:10-05:00,https://www.dealnews.com/Husky-3-Foot-Mobile-Solid-Wood-Top-Workbench-for-150-pickup-at-Home-Depot/2172122.html,,3,TOOLS & HARDWARE,2172122,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172122"">Husky 3-Foot Mobile Solid Wood Top Workbench</a> for <strong>$149.50</strong>. Opt for in-store <strong>pickup</strong> to dodge the $22.49 shipping charge. That's $150 off list and the lowest price we could find, although we saw it for $11 less last October. It features a 600-lb. weight capacity, heavy duty steel legs, solid wood top, four swivel casters (two with brakes), and bottom storage tray. Deal ends March 18.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hypl9kuaxoct8jxclsdo",pickup at Home Depot
