shipping,url,category,time_published,uuid,time_modified,title,picture_url,price,description,hotness,editors_choice
free shipping,https://www.dealnews.com/Depstech-16.5-Foot-Wireless-Endoscope-for-27-free-shipping/2168084.html,CELL PHONE ACCESSORIES,2017-12-29T06:17:36-05:00,2168084,,Depstech 16.5-Foot Wireless Endoscope,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/io1sk1ouhvbhmkxj0hcr",$27,"Depstech via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168084"">Depstech 16.5-Foot Wireless Endoscope</a> for $42.99. Coupon code ""QT5FCA6W"" cuts that to <strong>$27.49</strong>. (It doesn't stack with the clippable coupon on the product page.) With <strong>free shipping</strong>, that's tied with last month's mention, $16 off list, and the lowest price we could find. It's compatible with Android and iOS and features three adjustable resolutions (up to 720p) and a 2-megapixel camera. Deal ends January 25.",3,
free shipping w/ Prime,https://www.dealnews.com/NHL-Cold-Weather-Apparel-at-Amazon-Up-to-40-off-from-4-free-shipping-w-Prime/2168081.html,CLOTHING & ACCESSORIES,2017-12-29T06:05:35-05:00,2168081,,NHL Cold-Weather Apparel at Amazon,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d5bisfubhcsisgtxkiz0","Up to 40% off, from $4","As one of its daily deals, Amazon takes <strong>up to 40% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088050,2168081"">NHL cold-weather apparel</a>, with prices starting from <strong>$3.53</strong>. Plus, Prime members receive <strong>free shipping</strong>. Deal ends today. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088044,2168081"">adidas Men's NHL Authentic Pullover Hoodie</a> from <strong>$30</strong> (low by $19)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168081"">adidas Men's NHL CCM Pullover Jersey Hoodie</a> from <strong>$30</strong> (Calgary Flames pictured, low by $55)
 </li>
</ul>",5,
pickup at Walmart,https://www.dealnews.com/Stansport-Emergency-Campers-Multi-Tool-for-8-pickup-at-Walmart/2168069.html,TOOLS & HARDWARE,2017-12-29T06:03:35-05:00,2168069,,Stansport Emergency Camper's Multi Tool,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ri69zcyh3fdubonphwis",$8,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168069"">Stansport Emergency Camper's Multi Tool</a> for <strong>$7.53</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088047,2168069"">Amazon</a> charges the same price, for Prime members only.) Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the lowest price we could find by $10. It features an axe, hammer, knife, saw, blades, screwdrivers, file and more.",4,
free shipping,https://www.dealnews.com/Elechomes-1.7-L-Keep-Warm-Electric-Kettle-for-20-free-shipping/2168078.html,SMALL APPLIANCES,2017-12-29T06:02:20-05:00,2168078,,Elechomes 1.7L Keep Warm Electric Kettle,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r5kqixtzzpqho4uxxhbn",$20,"SkySeaCloud via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168078"">Elechomes 1.7-Liter Smart Keep Warm Electric Kettle</a> in Black for $29.99. Coupon code ""Q8M8TJQU"" cuts it to <strong>$19.99</strong>. With <strong>free shipping</strong>, that's $4 less than last week's mention, $10 off list, and the lowest price we've seen. Deal ends December 31.",3,
free shipping,https://www.dealnews.com/Lighting-and-Light-Bulbs-at-Home-Depot-Up-to-60-off-free-shipping/2168075.html,LIGHTING & LAMPS,2017-12-29T05:54:57-05:00,2168075,,Lighting and Light Bulbs at Home Depot,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lsv0e7c3zk8jab7nckl6",Up to 60% off,"As one of its daily deals, Home Depot takes <strong>up to 60% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168075"">lighting and light bulbs</a>. (Prices are as marked.) Plus, all orders receive <strong>free shipping</strong>. Deal ends today.",5,
,https://www.dealnews.com/Prey-for-PC-w-DLC-for-13/2168072.html,PC GAMES,2017-12-29T05:44:44-05:00,2168072,,Prey for PC w/ DLC,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ok90ayz0qmswkq0ybbz2",$13,"CDKeys offers Steam downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168072"">Prey for Windows</a> bundled with the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088023,2168072"">Cosmonaut Shotgun Pack DLC</a> for <strong>$13.49</strong>. That's $3 under our September mention and the lowest price we've seen. (It's now $3 under the best price for the base game alone.) It's this editor's Game of the Year, and I'm <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088026,2168072"">not alone</a>.<br>
<br>
Note: New customers can provide an email address on the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088029,2168072"">CDKeys Facebook page</a> to get a unique coupon code that cuts an extra 5% off.<br>
<br>
Still undecided? A trial is available for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088032,2168072"">Windows, PS4, and Xbox One</a>, which allows you to carry over your progress should you decide to buy the game.",2,True
free shipping,https://www.dealnews.com/Elechomes-1-600-W-68-oz.-High-Speed-Blender-for-90-free-shipping/2168060.html,SMALL APPLIANCES,2017-12-29T05:38:29-05:00,2168060,,"Elechomes 1,600W 68-oz. High Speed Blender","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rttw1lhu5yz7bgs8llau",$90,"SkySeaCloud via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168060"">Elechomes 1,600-watt 68-oz. High Speed Blender</a> for $129.99. Coupon code ""5PBVKPP4"" cuts that to <strong>$89.99</strong>. With <strong>free shipping</strong>, that's $9 less than last week's mention, $410 off list, and the lowest price we could. It features ten speeds up to 30,000 RPM, an LED display, and measuring cup. Deal ends December 31.",3,
,https://www.dealnews.com/Out-of-the-Park-Baseball-17-for-PC-Mac-Linux-for-49-cents/2168066.html,PC GAMES,2017-12-29T05:38:18-05:00,2168066,,Out of the Park Baseball 17 for PC/Mac/Linux,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hqatso78igpsnlborfcg",49 cents,"Ending today at 11 am ET, Fanatical offers Steam downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168066"">Out of the Park Baseball 17 for Windows / Mac / Linux</a> for <strong>49 cents</strong>. That's the lowest price we could find by $10.",3,True
,https://www.dealnews.com/Amazon-Digital-Day-Sale-Up-to-80-off/2168063.html,AMAZON COUPONS,2017-12-29T05:35:12-05:00,2168063,,Amazon Digital Day Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/z4bg6edul1hfbfhfr87x",Up to 80% off,"Today only, Amazon takes <strong>up to 80% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088020,2168063"">software, music, movies, apps, games, eBooks, and more</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168063"">Digital Day Sale</a>. (Prices are as marked.)",5,
,https://www.dealnews.com/Sportsmans-Guide-15-off-your-first-order/2167727.html,CAMPING & OUTDOORS,2017-12-29T00:01:00-05:00,2167727,,Sportsman's Guide,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vdukbubkptbcloenefkn",15% off your first order,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167727"">Sportsman's Guide</a> takes <b>15% off</b> of your first order, including ammo, via coupon code ""TAKEOFF15"". Shipping starts at <b>$5.99</b>. Deal ends December 31.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s742/Sportsmans-Guide/"">Sportsman's Guide Coupons</a>.</p>",,
,https://www.dealnews.com/1-Month-HBO-Now-Sub.-w-10-Amazon-Credit-for-free/2168057.html,VIDEO DOWNLOADS,2017-12-29T05:25:39-05:00,2168057,,1-Month HBO Now Sub. w/ $10 Amazon Credit,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gmbotanngvgufy1fp8ut",free,"Today only, for new HBO customers, Amazon offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168057"">1-month HBO Now Subscription</a> bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088014,2168057"">$10 Amazon Credit</a> for <strong>free</strong>, when you download the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088017,2168057"">HBO app</a>. That's a total savings of $25 and the first time we've seen such an offer.<br>
<br>
Note: Be sure to cancel your subscription before the trial finishes to avoid the subsequent $14.99 monthly charge.",5,True
free shipping w/ Prime,https://www.dealnews.com/Pisen-2-in-1-Flashlight-Power-Bank-for-10-free-shipping-w-Prime/2168036.html,PORTABLE POWER BANKS,2017-12-29T05:14:55-05:00,2168036,,Pisen 2-in-1 Flashlight / Power Bank,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hvtcfyraa0wwin6cgirg",$10,"Pisen Electronics via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168036"">Pisen 2-in-1 Waterproof Flashlight / 5,000mAh Portable Battery Pack</a> for $15.99. Coupon code ""KOAKWHNV"" cuts that to <strong>$9.91</strong>. Plus, Prime members bag <strong>free shipping</strong>. That's a buck under last week's mention, $6 off, and the best price we could find. It features three adjustable brightness levels. Deal ends December 31. Deal ends January 10.",3,
free shipping,https://www.dealnews.com/Elechomes-Touch-16-Mode-10-Cup-Rice-Cooker-for-55-free-shipping/2168051.html,SMALL APPLIANCES,2017-12-29T05:05:46-05:00,2168051,,Elechomes Touch 16-Mode 10-Cup Rice Cooker,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/byedtwwarmobwl46tis8",$55,"SkySeaCloud via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168051"">Elechomes Touch 16-Mode 10-Cup Rice Cooker</a> for $79.99. Coupon code ""NQ8YRQZH"" cuts it to <strong>$54.99</strong>. With <strong>free shipping</strong>, that's $5 less than last week's mention and the lowest price we could find by $45. It features 16 functions (including rice-making, stewing, steaming, reheating, and pressure cooking), an LCD panel, delay timer, and carry handle. Deal ends December 31.",3,
free shipping w/ Prime,https://www.dealnews.com/Pisen-Portable-6-600-m-Ah-Power-Bank-for-6-free-shipping-w-Prime/2168045.html,PORTABLE POWER BANKS,2017-12-29T04:58:14-05:00,2168045,,"Pisen Portable 6,600mAh Power Bank","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/alkj5fdk1jwpqjwrt6oo",$6,"Pisen via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168045"">Pisen Portable 6,600mAh Power Bank</a> for $8.99. Coupon code ""IG4MVFDV"" cuts it to <strong>$5.93</strong>. With <strong>free shipping</strong> for Prime members, that's $3 off and the lowest price we could find. It features an LED indicator. Deal ends January 10.",3,
free shipping w/ Prime,https://www.dealnews.com/Pisen-4-200-m-Ah-Power-Bank-for-6-free-shipping-w-Prime/2168048.html,PORTABLE POWER BANKS,2017-12-29T04:52:39-05:00,2168048,,"Pisen 4,200mAh Power Bank","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ddh62qjadptwxbmjssfs",$6,"Pisen Electronics via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168048"">Pisen 4,200mAh Portable Battery Pack</a> in Blue for $8.99. Coupon code ""AG2HJSK2"" cuts the price to <strong>$5.93</strong>. With <strong>free shipping</strong> for Prime members, that's $3 off list and the lowest price we could find. It features an LED flashlight. Deal ends January 10.",3,
free shipping w/ Prime,https://www.dealnews.com/Vbiger-Unisex-Touch-Screen-Cycling-Gloves-for-8-free-shipping-w-Prime/2168042.html,BICYCLING,2017-12-29T04:50:32-05:00,2168042,,Vbiger Unisex Touch Screen Cycling Gloves,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/psu1ulvbiivxggf2qjxw",$8,"YoungKer via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168042"">Vbiger Unisex Touch Screen Cycling Gloves</a> in Black 2 or Blue 2 for $12.99. Coupon code ""H7CXXV77"" cuts the price to <strong>$7.99</strong>. With <strong>free shipping</strong> for Prime members, that's $5 off list and the lowest price we could find. They come in sizes M to XL. Deal ends January 6.",4,
,https://www.dealnews.com/Wonder-Woman-HD-Movie-Rental-for-3/2168039.html,DVD & HD MOVIE RENTALS,2017-12-29T04:44:42-05:00,2168039,,Wonder Woman HD Movie Rental,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aqcuvrrdos0clga05xaj",$3,"Today only, Amazon offers rentals of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168039"">Wonder Woman in HD</a> for <strong>$2.99</strong>. That's the lowest price we could find by $3.",3,True
free shipping w/ Prime,https://www.dealnews.com/Pisen-10-000-m-Ah-1-A-2-A-Power-Bank-for-10-free-shipping-w-Prime/2168033.html,PORTABLE POWER BANKS,2017-12-29T04:40:29-05:00,2168033,,"Pisen 10,000mAh 1A/2A Power Bank","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ut3anrsrm7mesucvumcm",$10,"Pisen Electronics via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168033"">Pisen 10,000mAh 1-amp/2-amp Power Bank</a> in White for $15.99. Coupon code ""QY3YBMVW"" cuts the price to <strong>$9.91</strong>. With <strong>free shipping</strong> for Prime members, that's $36 off list and the best we could find. It features smart-speed charging technology. Deal ends January 5.",4,
free shipping w/ Prime,https://www.dealnews.com/Sports-Research-Sweet-Sweat-Waist-Trimmer-from-15-free-shipping-w-Prime/2168030.html,SPORTS & FITNESS,2017-12-29T04:32:43-05:00,2168030,,Sports Research Sweet Sweat Waist Trimmer,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jlb2ducxfvaojtljfywv",from $15,"As one of its daily deals, Woot via Amazon offers the Sports Research Sweet Sweat Premium Waist Trimmer in several sizes with prices starting at <strong>$14.96</strong>, as list below. Plus, Prime members bag <strong>free shipping</strong> on all orders. Each one includes a sample of Sweet Sweat Gel. Deal ends today. The sizes:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168030"">Small</a> for <strong>$14.96</strong> (pictured, low by $15)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087987,2168030"">Medium</a> for <strong>$15.47</strong> (low by $14)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087990,2168030"">Large</a> for <strong>$15.97</strong> (low by $15)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087993,2168030"">Extra Large</a> for <strong>$16.97</strong> (low by $16)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087996,2168030"">Extra Extra Large</a> for <strong>$18.46</strong> (low by $16)
 </li>
</ul>",3,True
