uuid,price,url,description,editors_choice,shipping,category,hotness,title,picture_url,time_published,time_modified
2173484,$16,https://www.dealnews.com/Smart-Color-Art-Dual-Tip-Brush-Pen-48-Pack-for-16-free-shipping/2173484.html,"Smart Color Art via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173484"">Smart Color Art Dual Tip Brush Pen 48-Pack</a> for <strong>$15.79</strong> with <strong>free shipping</strong>. That's $11 under our June mention and the lowest price we could find by $2.",,free shipping,CRAFTS,3,Smart Color Art Dual Tip Brush Pen 48-Pack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kdeccn1d90sn8dl8f20p",,2018-01-07T13:03:35-05:00
2173466,$160,https://www.dealnews.com/WD-8-TB-Easystore-USB-3.0-Desktop-Hard-Drive-for-160-free-shipping/2173466.html,"Best Buy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173466"">Western Digital 8TB Easystore USB 3.0 Desktop Hard Drive</a> for <strong>$159.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $25, although we saw this for $20 less last month. It includes WD Backup and Drive Utilities software and also comes with a choice of $20 Shutterfly Credit or 8x8"" Photo Book.",,free shipping,EXTERNAL HARD DRIVES,3,WD 8TB Easystore USB 3.0 Desktop Hard Drive,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t21o077beszlarpx6tut",,2018-01-07T13:03:19-05:00
2173460,$70 after rebate,https://www.dealnews.com/Refurb-Asus-Zen-Fone-3-16-GB-Android-Phone-for-70-after-rebate-free-shipping/2173460.html,"Newegg offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173460"">Unlocked Asus ZenFone 3 Max 16GB 4G LTE GSM Android Smartphone</a> in Gray for <strong>$69.99</strong> via the instructions below. With <strong>free shipping</strong>, that's $10 under last month's mention, $60 under the lowest price we could find for a new unit and the best price we've seen in any condition. The phone features a 4,100mAh battery, which lasts up to 30 days on standby and doubles as a power bank. Additional features include an MediaTek MT6737 1.25GHz quad-core processor, 5.2"" 1280x720 (720p) IPS touchscreen LCD, 2GB RAM, 16GB storage, 13-megapixel rear camera, 5-megapixel front-facing camera, 1080p video recording, 802.11n wireless, Bluetooth 4.0, microSD card slot, fingerprint sensor, and Android 6.0 OS (Marshmallow). Deal ends January 31. To get this deal:
<ol>
 <li>Add the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173460"">Unlocked Asus ZenFone 3 Max 16GB 4G LTE GSM Android Smartphone</a> to cart for $89.99
 </li>
 <li>coupon code ""EMCSPEPV3"" cuts it to $79.99
 </li>
 <li>redeem this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099201,2173460"">$10 rebate</a> for a final price of <strong>$69.99</strong>
 </li>
</ol>
Note: A 90-day warranty applies but it's unclear who covers it.",,free shipping,ANDROID PHONES,4,Refurb Asus ZenFone 3 16GB Android Phone,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o2zbpydgwfynazwy0izy",,2018-01-07T13:08:13-05:00
2173436,$84,https://www.dealnews.com/Refurb-Hitachi-4-Gal.-Portable-Air-Compressor-for-84-9-s-h/2173436.html,"Big Sky tool offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173436"">Hitachi 4-Gallon Portable Electric Twin Stack Air Compressor</a> for <strong>$83.97</strong> plus around <strong>$9</strong> for shipping. That's $6 under our mention from last April and about $59 under the lowest price we could find for a new unit. It weighs 53 lbs. and features a 15-amp direct-drive induction motor, cast iron pump, steel-encased gauges, and thermal overload protection.<br>
<br>
Note: A 1-year Hitachi warranty applies.",,$9 shipping,POWER TOOLS,3,Refurb Hitachi 4-Gal. Portable Air Compressor,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qgid17zwychpns7kvit9",,2018-01-07T13:02:53-05:00
2173454,$32,https://www.dealnews.com/Texsport-BBQ-Swivel-Grill-for-32-free-shipping/2173454.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173454"">Texsport Heavy Duty Outdoor Barbecue Swivel Grill</a> for <strong>$32.09</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099198,2173454"">Amazon</a> charges the same.) That's $6 under our November mention and the lowest price we could find by $5. It features a 24"" x 16"" cooking surface and is height adjustable to 17"".",,free shipping,BBQS & GRILLS,4,Texsport BBQ Swivel Grill,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vdnwc5tdtn87mzixvecs",,2018-01-07T12:53:55-05:00
2173451,$25,https://www.dealnews.com/Alpine-Swiss-Mens-Grant-Jacket-for-25-free-shipping/2173451.html,"Art of Deals via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173451"">Alpine Swiss Men's Grant 28"" Open Bottom Jacket</a> in Black or Gray for <strong>$24.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099195,2173451"">Alpine Swiss Store via Amazon</a> charges the same.) That's $5 under our mention from two weeks ago, $150 off list, and the lowest price we've seen. It's available in sizes S to XXL.",,free shipping,COATS,5,Alpine Swiss Men's Grant Jacket,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ndxuol53zy3zdieppmbe",2018-01-07T11:24:00-05:00,
2173442,$13,https://www.dealnews.com/Covington-Mens-Sheffield-Loafers-for-13-free-pickup-at-Sears/2173442.html,"Sears offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173442"">Covington Men's Sheffield Loafers</a> in Black or Brown for $14.78. Coupon code ""SAVINGS"" cuts it to <b>$12.56</b>. Choose in-store <b>pickup</b> to dodge the $4.49 shipping charge, or spend $25 or more to qualify for free shipping. That's $47 off list and the best price we could find. They're available in sizes 7.5 to 13.",,free pickup at Sears,SHOES,5,Covington Men's Sheffield Loafers,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iqp6recnmrhgj53uawxa",2018-01-07T11:12:00-05:00,
2173400,Up to extra $30 off,https://www.dealnews.com/Tool-Storage-and-Organization-at-Amazon-Up-to-extra-30-off-free-shipping/2173400.html,"Amazon discounts a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099186,2173400"">tool storage and organization items</a>. Plus, some items receive <b>up to an extra $30 off</b> via on-page clippable coupons. All these orders receive <strong>free shipping</strong>. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173400"">Waterloo 26"" Wide 5-Drawer Tool Chest</a> for <strong>$174.99</strong> via the on-page $10 clippable coupon (pictured, $10 low)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099177,2173400"">CAT 5-Drawer Ball Bearing Tool Chest</a> for <strong>$204.95</strong> (low by $30)
 </li>
</ul>",,free shipping,TOOL STORAGE & ORGANIZATION,3,Tool Storage and Organization at Amazon,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eyghuiqzz1zpaytgaox5",,2018-01-07T12:53:01-05:00
2173394,$10,https://www.dealnews.com/Alkai-Mens-Griffin-Polarized-Sunglasses-for-10-free-shipping-w-Prime/2173394.html,"AKASO-Store via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173394"">Alkai Men's Griffin Sport Polarized Sunglasses</a> in Black/Red or Black/Silver for <strong>$9.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $7. Features include TR90 frame material and 100% UV protection.",,free shipping w/ Prime,SUNGLASSES,3,Alkai Men's Griffin Polarized Sunglasses,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yl8qjyhe6m23m3ez3i8b",,2018-01-07T12:51:41-05:00
2173265,"40,000 Bonus Miles","https://www.dealnews.com/lw/click.html?20,2,2173265","Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173265"">Barclaycard Arrival Plus™ World MasterCard®</a> and earn <strong>40,000 Bonus Miles</strong> when you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099078,2173265"">$3,000 or more</a> on purchases in the first 90 days. (That equates to $400 off your next trip.) Plus, you <strong>earn 2 miles</strong> on all purchases and <strong>get 5% miles back</strong> every time you redeem for travel statement credits. Also, you'll get a <strong>0% introductory APR</strong> for 12 months on Balance Transfers made within 45 days of account opening. After that, a variable APR will apply, 17.24%, 21.24% or 24.24%, based on your creditworthiness. Please note, there is a fee for balance transfers. There's an $89 annual fee, <strong>waived for the first year</strong>, and <strong>no foreign transaction fees</strong>. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099081,2173265"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s39843/Barclay-Card/"">Barclaycard Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,,CREDIT CARDS,,Barclaycard Arrival Plus™ MasterCard®,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ikii5iblmaajfhttb78y",2018-01-06T12:47:04-05:00,
2173430,$30,https://www.dealnews.com/New-Balance-Mens-Strobe-Sneakers-for-30-1-s-h/2173430.html,"Ending today, Joe's New Balance Outlet offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173430"">New Balance Men's Strobe Running Shoes</a> in Black for <b>$29.99</b>. Coupon code ""DOLLARSHIP"" unlocks <b>$1</b> for shiping. That's tied with our expired mention from three days ago and the lowest price we could find by $21. They're available in regular and wide widths in select sizes from 8 to 13.",,$1 shipping,SHOES,4,New Balance Men's Strobe Sneakers,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zn3grmvziincih1ftcln",,2018-01-07T12:51:15-05:00
2173373,from $16,https://www.dealnews.com/Lapasa-Mens-Full-Zip-Polar-Fleece-Jacket-from-16-free-shipping-w-Prime/2173373.html,"ASAS.USA via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173373"">Lapasa Men's Full Zip Polar Fleece Jacket</a> in Blue or Grey for $19.99. Coupon code ""A9FRLDRG"" cuts that price to <strong>$15.99</strong>. With <strong>free shipping</strong> for Prime members, that's $2 under last month's mention, $15 off list, and the lowest price we could find. It's available in sizes S and XXL only. Deal ends January 31.<br>
<br>
Note: It's available in a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099162,2173373"">wider selection</a> of sizes and colors for <strong>$20.79</strong> via the same code as above.",,free shipping w/ Prime,COATS,3,Lapasa Men's Full Zip Polar Fleece Jacket,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gn4ciazslqdpvtfb1bfm",,2018-01-07T12:41:57-05:00
2173370,$5,https://www.dealnews.com/Tseoa-12-Piece-Manicure-Set-for-5-free-shipping-w-Prime/2173370.html,"Tseoa Direct via Amazon offers Prime members its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173370"">Tseoa 12-Piece Manicure Set</a> for <strong>$5.45</strong> with <b>free shipping</b>. That's tied with our October mention as the lowest price we've seen. (It's the best today by $2.) The set includes cuticle nippers, nail clippers, nail scissors, and ear pick. Deal ends February 15.",,free shipping w/ Prime,PERSONAL CARE,4,Tseoa 12-Piece Manicure Set,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/scd3autjy1jjid3stgmu",,2018-01-07T12:50:33-05:00
2173376,$7,https://www.dealnews.com/Lapasa-Womens-Yoga-Pants-for-7-free-shipping-w-Prime/2173376.html,"ASAS.USA via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173376"">Lapasa Women's Yoga Pants</a> in Jade for $9.99. Coupon code ""Q7ZKBORN"" cuts it to <strong>$7.49</strong>. With <strong>free shipping</strong> for Prime members, that's $3 off list and the lowest price we could find. They're available in sizes M to XL. Deal ends January 31.<br>
<br>
Note: They're available in a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099165,2173376"">wider selection</a> of sizes and colors for <strong>$14.99</strong> via the same code as above.",,free shipping w/ Prime,ACTIVEWEAR,4,Lapasa Women's Yoga Pants,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/malbpw0qxwmi0axzykpc",,2018-01-07T12:38:30-05:00
2173391,$10,https://www.dealnews.com/Austrian-Crystal-Tennis-Bracelet-5-Pack-for-10-free-shipping/2173391.html,"Win Pearl offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173391"">Austrian Crystal Tennis Bracelet 5-Pack</a> for $46.99. Coupon code ""dealnews78"" cuts that to <strong>$10.34</strong>. With <strong>free shipping</strong>, that's $4 under our November mention, $40 off, and the lowest price we could find. It includes five different styles. Deal ends January 10.",,free shipping,JEWELRY,3,Austrian Crystal Tennis Bracelet 5-Pack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aowuhrncprnejpdhuqqi",,2018-01-07T13:00:24-05:00
