title,editors_choice,url,picture_url,hotness,price,shipping,time_published,uuid,description,category,time_modified
Humble Monthly Subscription w/ Civilization 6,True,https://www.dealnews.com/Humble-Monthly-Subscription-w-Civilization-6-for-12/2172980.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t2jpjekdq3uqym6fudzl",3,$12,,2018-01-05T20:45:30-05:00,2172980,"Humble Bundle offers Steam downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098856,2172980"">Sid Meier's Civilization VI for Windows, Mac, and Linux</a> bundled with <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098853,2172980"">two DLC Packs</a> for <strong>$12</strong> when you sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172980"">Humble Monthly Subscription Box</a>. That's a $45 savings on this game and DLC alone. Each month, the Humble Monthly Subscription Box includes a selection of games valued at over $100. (You'll receive additional games after this deal ends on February 2.) Those who subscribed last month received nine games, including Tomb Raider, Quantum Break, and The Long Dark. Subscribers also get 10% off Humble Store purchases.<br>
<br>
Note: You can cancel the subscription at any time. Even if you do cancel, each game is yours to keep. Most games are compatible with Windows, and some games may also be compatible with Mac and Linux.",PC GAMES,
INC International Concepts Men's Denim Shirt,,https://www.dealnews.com/INC-International-Concepts-Mens-Denim-Shirt-for-25-free-s-h-w-beauty-item/2172974.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ipc4fytzpq7l9nbg0s6w",3,$25,free s&h w/beauty item,2018-01-05T20:24:02-05:00,2172974,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172974"">INC International Concepts Men's Faded Denim Shirt</a> in Medium Wash for <strong>$24.93</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098838,2172974"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $40 off list and the lowest price we could find. It's available in sizes XS to XXL.",SHIRTS,
Calvin Klein Josie Medium Satchel,,https://www.dealnews.com/Calvin-Klein-Josie-Medium-Satchel-for-137-free-shipping/2172665.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p72bg4ve7jblhitvbpim",3,$137,free shipping,2018-01-05T20:22:54-05:00,2172665,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172665"">Calvin Klein Josie Medium Satchel</a> in Deep Blush for <b>$136.80</b> with <b>free shipping</b>. That's the lowest price we could find by $111. It features two handles, one removable strap, one interior center zip compartment, one zip pocket, and two slip pockets.",HANDBAGS,
Ezviz 8-Ch. 1080p 2TB DVR Surveillance System,,https://www.dealnews.com/Ezviz-8-Ch.-1080-p-2-TB-DVR-Surveillance-System-for-300-free-shipping/2172680.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kikev7uo7yjiorzd1ax5",3,$300,free shipping,2018-01-05T20:18:44-05:00,2172680,"B&H Photo Video offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172680"">Ezviz Everyday 8-Channel 1080p 2TB DVR Surveillance System with 8 Indoor/Outdoor 1080p Cameras</a> for <strong>$299.88</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098118,2172680"">Sam's Club</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098121,2172680"">Amazon</a> charge the same.) That's tied with last week's mention and the lowest price we could find by $30. The system features eight weatherproof 1080p bullet cameras, night vision up to 100 feet, adjustable motion detection, a 2TB hard drive, Ethernet, and remote access via the Ezviz mobile app. Deal ends January 31.",SECURITY CAMERAS,
Ozeri Extravo Electric Wine Opener,,https://www.dealnews.com/Ozeri-Extravo-Electric-Wine-Opener-for-24-pickup-at-Home-Depot/2172668.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dqjupnfk6fuixvdrhxaj",2,$24,pickup at Home Depot,2018-01-05T20:16:22-05:00,2172668,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172668"">Ozeri Extravo Electric Wine Opener</a> for <strong>$23.88</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the lowest price we could find by $8. It automatically activates when placed on a wine bottle and can open up to 60 bottles per charge. It comes with a foil cutter stand, pourer, and stopper. Deal ends January 31.",SMALL APPLIANCES,
Callaway Men's Chev Comfort Golf Shoes,,https://www.dealnews.com/Callaway-Mens-Chev-Comfort-Golf-Shoes-for-55-free-shipping/2172959.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pdobfi2oouti0rblr3zt",3,$55,free shipping,2018-01-05T20:13:15-05:00,2172959,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172959"">Callaway Men's Chev Comfort Golf Shoes</a> in Black or White for $79.99. Coupon code ""DN55"" cuts that to <strong>$55</strong>. With <strong>free shipping</strong>, that's $45 off and the best deal we could find. They're available in sizes 9 to 13. Deal ends January 11.",SHOES,
Orvis Men's Long Sleeve Slub Tee,,https://www.dealnews.com/Orvis-Mens-Long-Sleeve-Slub-Tee-from-15-free-shipping/2172956.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vmtx8nufnm02zajfgyhn",3,from $15,free shipping,2018-01-05T20:10:11-05:00,2172956,"Costco offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172956"">Orvis Men's Long Sleeve Slub Tee</a> in several colors (Dark Blue pictured) for <strong>$14.99</strong> with <strong>free shipping</strong>. (Non-members pay a 75-cent surcharge.) That's the lowest price we could find by $7. It's available in sizes S to XXL.",T-SHIRTS,
Commandos Collection for PC,True,https://www.dealnews.com/Commandos-Collection-for-PC-for-1/2172971.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x6ynzm57t698dv04bnce",3,$1,,2018-01-05T20:09:26-05:00,2172971,"GamersGate offers Steam downloads of the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172971"">Commandos Collection for Windows</a> for <strong>$1.30</strong>. That's a slight drop from our April mention and the lowest price we've seen. (It's the best deal now by $11.) It includes Commandos: Behind Enemy Lines, Commandos: Beyond the Call of Duty, Commandos 2: Men of Courage, and Commandos 3: Destination Berlin. Deal ends January 7.",PC GAMES,
Hydrapak 1L Collapsible Water Container,,https://www.dealnews.com/Hydrapak-1-L-Collapsible-Water-Container-for-11-pickup-at-REI/2172947.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h8jci6q2arpukos9v11x",3,$11,pickup at REI,2018-01-05T20:08:13-05:00,2172947,"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172947"">Hydrapak Seeker 1-Liter Collapsible Water Container</a> in Gray for <strong>$10.73</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's tied with our July mention, $5 off, and the lowest price we could find. It features a 42mm screw cap and is compatible with the Katadyn BeFree Filter (sold separately).",CAMPING & OUTDOORS,
Chase Hyatt Credit Card,,"https://www.dealnews.com/lw/click.html?20,2,2171978","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rbwame7pifyb2ma4ptgm",,"40,000 bonus points",,,2171978,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171978"">Chase Hyatt Credit Card</a> and earn <strong>40,000 bonus points</strong> after you spend ""https://click.linksynergy.com/fs-bin/click?id=NKa3hZyYoHA&offerid=556944.10002904&type=3&subid=0"" partno="""" vendor=""1642"" image_link=""0"" mfg=""0"" category=""522"" price="""" rel="""" landing_url=""https://creditcards.chase.com/lp/hyatt/naep40k/?CELL=6H8X&AFFID=NKa3hZyYoHA-DN93Xbht5lVwxtlSt2eZkw&pvid=&jp_cmp=cc/556944/aff/3-10002904/na"" magic_url_info=""Linkshare (Default) - 113401"">$2,000 or more on purchases in the first three months from account opening. (Free nights start at just 5,000 points.) Plus <strong>1 free night</strong> each year after your cardmember anniversary at any Category 1-4 hotel or resort. Also, receive <strong>5,000 Bonus Points</strong> after you add the first authorized user and make a purchase within 3 months of opening your account. This product is available if you do not have this card and have not received a new cardmember bonus for this card in the past 24 months. Also, earn <strong>3 Bonus Points</strong> per $1 spent at all Hyatt hotels or resorts, <strong>2 Bonus Points</strong> per $1 spent at restaurants, on airline tickets purchased directly from the airline, and at car rental agencies, and <strong>1 Bonus Point</strong> per $1 spent on all other purchases made with your card. (Points don't expire as long as your Hyatt Credit Card account is open.) A $75 annual fee applies. Finally, there's no foreign transaction fees on purchases made outside the United States. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096888,2171978"">click here</a>. This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",CREDIT CARDS,2018-01-04T14:47:58-05:00
Alfani Men's Jacquard Sport Coat,,https://www.dealnews.com/Alfani-Mens-Jacquard-Sport-Coat-for-32-free-s-h-w-beauty-item/2172968.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bu502n3fmy0tkeccyjj7",4,$32,free s&h w/beauty item,2018-01-05T20:06:28-05:00,2172968,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172968"">Alfani Men's Jacquard Sport Coat</a> in Black for $39.99. Coupon code ""WKND25"" cuts it to <strong>$29.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098826,2172968"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $110 off and the lowest price we could find. It's available in sizes S to XL. Deal ends January 7.",SUITS,
Private Internet Access VPN Subscriptions,True,https://www.dealnews.com/Private-Internet-Access-VPN-Subscriptions-from-17/2172965.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wdwjtzlf1wnrakssdsfk",3,from $17,,2018-01-05T20:03:20-05:00,2172965,"StackSocial takes an <strong>extra 50% off</strong> Private Internet Access VPN Subscriptions for Windows, Mac, Linux, iOS, and Android via coupon code ""50LEARN"", as listed below. That yields the best per-year prices we've seen for this service. (We previously only saw it as low as $24/year.) This <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098823,2172965"">well-reviewed</a> VPN software offers multiple VPN gateways, encrypted WiFi, P2P and VoIP support, and unlimited bandwidth. The deals, with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172965"">Private Internet Access VPN 1-Year Subscription</a> for <strong>$17.48</strong> ($66 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172965"">Private Internet Access VPN 1-Year Subscription</a> for <strong>$44.98</strong> ($15/year, $205 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172965"">Private Internet Access VPN 1-Year Subscription</a> for <strong>$69.98</strong> ($14/year, $347 off)
 </li>
</ul>
Note: These subscriptions will create a new account; you cannot use this promo to extend an existing subscription.",SOFTWARE,
Reef Ahi Kids' Flip-Flops,,https://www.dealnews.com/Reef-Ahi-Kids-Flip-Flops-for-10-pickup-at-REI/2172950.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/agu3sc0ks815vzvrqswz",2,$10,pickup at REI,2018-01-05T19:48:10-05:00,2172950,"REI offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172950"">Reef Ahi Kids' Flip-Flops</a> in Aqua or Blue Floral for <strong>$9.83</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the lowest price we could find by $5. They're available in select sizes from 5 to 8.",KIDS' SHOES,
Diamondback Reflect 5-LED Rear Light,,https://www.dealnews.com/Diamondback-Reflect-5-LED-Rear-Light-for-9-pickup-at-REI/2172938.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vayt6ht46hfd8uxlilpj",3,$9,pickup at REI,2018-01-05T19:47:49-05:00,2172938,"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172938"">Diamondback Reflect 5-LED Rear Light</a> for <strong>$8.73</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's the lowest price we could find by $4. It features constant and flash modes and runs on two AAA batteries (included).",BICYCLING,
Clinique For Men Oil Control Essentials Kit,,https://www.dealnews.com/Clinique-For-Men-Oil-Control-Essentials-Kit-for-27-free-shipping/2172962.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iv01ggma29otyow7rl8w",3,$27,free shipping,2018-01-05T19:47:43-05:00,2172962,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172962"">Clinique For Men Oil Control Essentials Kit</a> for <strong>$27</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $8. It includes face scrub, oil-control face wash, oil-control mattifiying moisturizer, and anti-age eye cream.",SKIN CARE,
REI Co-op Boys' Quartz Peak Fleece Jacket,,https://www.dealnews.com/REI-Co-op-Boys-Quartz-Peak-Fleece-Jacket-for-26-pickup-at-REI/2172941.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vqgpmeoxyexm9kgxij1f",3,$26,pickup at REI,2018-01-05T19:34:40-05:00,2172941,"REI Garage offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172941"">REI Co-op Boys' Quartz Peak Fleece Jacket</a> in several colors (Cabin Wood pictured) for $34.73. In cart, it drops to <strong>$26.04</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's tied with our November mention, $43 off, and the lowest price we've seen. It's available in select sizes from XXS to XL. Deal ends January 8.",KIDS' CLOTHES,
