hotness,picture_url,time_modified,url,title,time_published,uuid,editors_choice,description,price,category,shipping
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h96kpguog1m7bfqimd5l",,https://www.dealnews.com/Alex-Toys-Shimmer-and-Shine-Knot-a-Pillow-for-5-w-25-purchase-free-shipping-w-Prime/2169311.html,Alex Toys Shimmer and Shine Knot-a-Pillow,2017-12-31T23:48:20-05:00,2169311,,"With orders of $25 or more, Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169311"">Alex Toys Shimmer and Shine Knot-a-Pillow</a> for <strong>$5.29</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2. It includes everything necessary to create a 15"" round pillow without sewing.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",$5 w/ $25 purchase,TOYS & HOBBIES,free shipping w/ Prime
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p356v1pu9stlznbqh9bz",,https://www.dealnews.com/Kershaw-Free-Fall-Folding-Knife-from-10-free-shipping/2169308.html,Kershaw FreeFall Folding Knife,2017-12-31T23:28:59-05:00,2169308,,"Sam's Club offers members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169308"">Kershaw FreeFall Folding Knife</a> for <strong>$9.98</strong> with <strong>free shipping</strong>. (Non-members pay a $1 surcharge. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090222,2169308"">Amazon</a> charges the same price with free shipping for Prime members, although it's temporarily out of stock.) That's tied with last month's mention and the lowest price we could find by $11. It features a 3.25"" blade, speedsafe assist opening, liner lock, and lanyard hole.",from $10,KNIVES & MULTITOOLS,free shipping
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mxou4emknpehbl38iidn",,https://www.dealnews.com/Frozen-Elsa-Sparkling-Smile-3-Piece-Set-for-2-pickup-at-Walmart/2169305.html,Frozen Elsa Sparkling Smile 3-Piece Set,2017-12-31T23:07:52-05:00,2169305,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169305"">Disney Frozen Elsa Sparkling Smile 3-Piece Set</a> for <strong>$2.44</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's $2 off list and the lowest price we could find. It includes a toothbrush holder, toothbrush, and rinse cup.",$2,TOOTHBRUSHES,pickup at Walmart
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jwsaxoh4o6vajssbotoa",,https://www.dealnews.com/V8-V-Fusion-8-oz.-Energy-Drink-24-Pack-for-11-free-shipping/2169302.html,V8 V-Fusion 8-oz. Energy Drink 24-Pack,2017-12-31T22:50:04-05:00,2169302,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169302"">V8 V-Fusion 8-oz. Energy Drink 24-Pack</a> in Orange Pineapple for <strong>$11.14</strong> with <strong>free shipping</strong> via the steps below. That's $9 under what you'd pay in-store locally, although we saw it for a buck less in August. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169302"">V8 V-Fusion 8-oz. Energy Drink 24-Pack</a> for $15.92
 </li>
 <li>clip the 25% off coupon on the product page
 </li>
 <li>order via Subscribe &amp; Save for a final price of <strong>$11.14</strong>
 </li>
</ol>
Note: Be sure to cancel Subscribe & Save after your order ships to avoid being billed for subsequent shipments.",$11,GROCERIES,free shipping
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jgg7fkgkkvfjd436uftj",,https://www.dealnews.com/Samsung-EG920-In-Ear-Headphones-for-3-free-shipping/2169299.html,Samsung EG920 In-Ear Headphones,2017-12-31T22:28:01-05:00,2169299,,"GuaranteeCellular via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169299"">OEM Samsung EG920 In-Ear Headphones for Samsung Galaxy Smartphones</a> in White for <strong>$2.99</strong> with <strong>free shipping</strong>. That's tied with our mention from four days ago, since expired, and the lowest price we could find by $3, outside of other eBay vendors. They feature an in-line microphone and volume control.",$3,HEADPHONES,free shipping
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mebhgebixdzeudslaumb",2017-12-31T22:07:27-05:00,https://www.dealnews.com/Little-Kingdom-Elsas-Magical-Snow-Maker-for-8-free-shipping-w-Prime/2169296.html,Little Kingdom Elsa's Magical Snow Maker,,2169296,True,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169296"">Disney Frozen Little Kingdom Elsa's Magical Snow Maker</a> for <strong>$8.31</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $9. It includes a doll, two outfits, ice cube tray, and water pen.",$8,TOYS & HOBBIES,free shipping w/ Prime
5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/k5vz5c3vevrelnzy5t7u",,https://www.dealnews.com/Greenco-5-Tier-Wall-Mount-Corner-Shelves-for-20-free-shipping-w-Prime/2169293.html,Greenco 5-Tier Wall Mount Corner Shelves,2017-12-31T21:49:07-05:00,2169293,,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169293"">Greenco 5-Tier Wall Mount Corner Shelves</a> in Walnut for <strong>$19.99</strong> with <strong>free shipping</strong>. That's tied with last week's mention and the lowest price we could find by $6. It measures 7.75"" x 7.75"" x 48.5"" and includes all necessary mounting hardware.",$20,DECOR,free shipping w/ Prime
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mjcaitvvt3ibmsvfinay",,https://www.dealnews.com/Playing-With-Super-Power-Paperback-Book-for-10-free-shipping-w-Prime/2169290.html,"""Playing With Super Power"" Paperback Book",2017-12-31T21:35:48-05:00,2169290,,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169290""><i>Playing With Super Power: Nintendo Super NES Classics</i> Paperback Book</a> for <strong>$9.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090219,2169290"">Target</a> charges the same via pickup.) That's the lowest price we could find by $5. It includes history, fan art, music, and speedrunning strategies for top SNES games.",$10,BOOKS,free shipping w/ Prime
5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t8uqi8y78as1vdqtr7u1",,https://www.dealnews.com/San-Disk-After-Christmas-Clearance-Sale-Extra-10-off-free-shipping/2169287.html,SanDisk After Christmas Clearance Sale,2017-12-31T21:16:19-05:00,2169287,,"SanDisk takes an <strong>extra 10% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090216,2169287"">items</a> via coupon code ""AfterXmas"" during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169287"">After Christmas Clearance Sale</a>. Plus, the same code nets <strong>free shipping</strong>. Save on memory cards, flash drives, earbuds, and MP3 players.",Extra 10% off,COMPUTER ACCESSORIES,free shipping
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nznrhqifi6vmgvfqqjjc",,https://www.dealnews.com/Verizon-Fios-Just-Stream-It-Bundle-for-50-month/2168594.html,Verizon Fios Just Stream It Bundle,2018-01-01T00:01:00-05:00,2168594,,"At Verizon, you can sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168594"">Verizon Fios Just Stream It Bundle</a> for <strong>$49.99 per month</strong>. This bundle includes Fios TV Local bundled with Fios 50/50 Mbps Internet and your choice of one premium movie channel for three months. Also, the standard setup charge is waived, a $99.99 value. Plus, switch to Fios and get out of your contract with <strong>up to a $500 credit</strong> to help cover your early termination fee.",$50/month,COMPUTER SERVICES,
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hjfgfr9ainwy9or9yvhr",,https://www.dealnews.com/Everything-Ernest-3-Movie-Collection-on-DVD-for-4-free-shipping/2169284.html,Everything Ernest: 3 Movie Collection on DVD,2017-12-31T21:03:26-05:00,2169284,,"Fry's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169284"">Everything Ernest: 3 Feature Films on DVD Disc</a> for <strong>$3.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $6. It includes <i>Ernest Goes to Camp</i>, <i>Ernest Goes to Jail</i>, and <i>Ernest Scared Stupid</i>.",$4,BLU-RAY DISC MOVIES,free shipping
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vego5absqc5t60c76z0a",,https://www.dealnews.com/Oakley-Mens-Scuderia-Ferrari-Sunglasses-for-110-free-shipping/2169197.html,Oakley Men's Scuderia Ferrari Sunglasses,2017-12-31T21:01:10-05:00,2169197,,"Electronics Liquidators via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169197"">Oakley Men's Scuderia Ferrari Tincan Sunglasses</a> in Carbon/Ruby for <strong>$109.99</strong> with <strong>free shipping</strong>. That's $7 below our mention from a month ago and the lowest price we've seen. (It's the best deal now by $34.) They feature full UV protection and adjustable nose pads.",$110,SUNGLASSES,free shipping
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e2maa2gt3dauw8pojcsi",,https://www.dealnews.com/Klutz-LEGO-Make-Your-Own-Movie-Kit-for-17-pickup-at-Walmart/2169170.html,Klutz LEGO Make Your Own Movie Kit,2017-12-31T20:58:00-05:00,2169170,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169170"">Klutz LEGO Make Your Own Movie Kit</a> for <b>$17.18</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090156,2169170"">Amazon</a> charges Choose in-store <b>pickup</b> to dodge the $5.99 shipping fee. That's tied with our mention from three weeks ago and the lowest total price we could find by $8. This kit provides a beginner-friendly guide to stop-motion animation. It includes six background settings, 36 LEGO elements, and an 80-page book.",$17,TOYS & HOBBIES,pickup at Walmart
2,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qahfvysprlste8kshxlv",,https://www.dealnews.com/Acer-34-Curved-WQHD-Gaming-Display-for-900-free-shipping/2169281.html,"Acer 34"" Curved WQHD Gaming Display",2017-12-31T20:55:11-05:00,2169281,,"Ending today, Newegg offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169281"">Acer Predator X34 34"" Curved 21:9 3440x1440 WQHD IPS LED-Backlit Nvidia G-Sync Gaming Monitor</a>, model no. UM.CX1AA.A01, for $999.99. Coupon code ""EMCBCDR38"" drops the price to <b>$899.99</b>. With <b>free shipping</b>, that's $100 under our mention from March and the lowest price we've seen. (It's a current low by $100.) It features a 3440x1440 (1440p) native resolution, 21:9 aspect ratio, Nvidia G-Sync technology (which provides overclocked refresh rates up to 100Hz), 4ms response time, LED backlight, two 7-watt DTS Sound speakers, and HDMI and DisplayPort inputs.",$900,MONITORS,free shipping
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zgnsvhivicmrrpbh3zwo",,https://www.dealnews.com/Clarks-Mens-Bushacre-2-Chukka-Boots-for-45-free-shipping/2169278.html,Clarks Men's Bushacre 2 Chukka Boots,2017-12-31T20:50:14-05:00,2169278,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169278"">Clarks Men's Bushacre 2 Chukka Boots</a> in several colors (Beeswax pictured) for <strong>$44.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090213,2169278"">Jet.com</a> charges the same in Beeswax only.) That's $5 under our mention a month ago and the lowest price we could find today by $10. They're available in sizes from 7 to 13.<br>
<br>
Note: Price varies by color and size.",$45,SHOES,free shipping
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tiokook8bqd3refyucmi",,https://www.dealnews.com/Kenwood-2-DIN-Bluetooth-6.2-Touch-Receiver-for-190-free-shipping/2169200.html,"Kenwood 2-DIN Bluetooth 6.2"" Touch Receiver",2017-12-31T20:30:51-05:00,2169200,,"Sound of Tri State via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169200"">Kenwood 2-DIN Bluetooth 6.2"" Touchscreen Receiver</a> for <b>$189.99</b> with <b>free shipping</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090198,2169200"">Electronics Express via Newegg</a> charges the same.) That's the lowest price we could find by $9. Features include a DVD/CD receiver, AM/FM tuner, iOS and Android device control, and backup camera video input.",$190,CAR AUDIO,free shipping
