time_modified,editors_choice,category,title,url,uuid,description,shipping,time_published,hotness,price,picture_url
,,TABLES,Zinus Modern Studio Collection Table,https://www.dealnews.com/Zinus-Modern-Studio-Collection-Table-for-32-free-shipping/2173418.html,2173418,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173418"">Zinus Modern Studio Collection Table</a> for <strong>$31.87</strong> with <strong>free shipping</strong>. That's $38 off and the lowest price we could find. It features a storage basket and measures 20"" x 20"".",free shipping,2018-01-07T17:45:00-05:00,4,$32,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fzden3gfobjgjsswynsz"
,,DESKS,Monarch Specialties Left or Right Corner Desk,https://www.dealnews.com/Monarch-Specialties-Left-or-Right-Corner-Desk-for-226-free-shipping/2173415.html,2173415,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173415"">Monarch Specialties Hollow-Core Left or Right Facing Corner Desk</a> in White for <strong>$226.17</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099183,2173415"">Amazon</a> charges the same.) That's the lowest price we could find by $12. It measures 60"" x 47"" x 30"".",free shipping,2018-01-07T17:30:00-05:00,3,$226,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gnqfll1rjljgeopix7gt"
,,TABLES,Furinno Simple Design Coffee Table,https://www.dealnews.com/Furinno-Simple-Design-Coffee-Table-for-21-free-shipping-w-Prime/2173412.html,2173412,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173412"">Furinno Simple Design Coffee Table</a> in Espresso for <strong>$20.79</strong> with <strong>free shipping</strong>. That's the lowest price we could find by a buck. It measures 35.5"" x 21.5"" x 16.25"".",free shipping w/ Prime,2018-01-07T17:15:00-05:00,3,$21,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r85nyjf0wryvmfjop8gd"
,,KITCHEN,FoodSaver Quick 2.25-Quart Marinator,https://www.dealnews.com/Food-Saver-Quick-2.25-Quart-Marinator-for-11-free-shipping-w-Prime/2173427.html,2173427,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173427"">FoodSaver 2.25-Quart Quick Marinator</a> for <strong>$11.23</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2, although saw it for $8 less on Black Friday. Designed for use with FoodSaver vacuum sealing systems, it infuses foods with flavor in minutes. It's also dishwasher-safe and BPA-free.",free shipping w/ Prime,2018-01-07T17:00:00-05:00,4,$11,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/y3xjswbsla6lk1msndf7"
,,WATCHES,Anne Klein Women's Ceramic Bracelet Watch,https://www.dealnews.com/Anne-Klein-Womens-Ceramic-Bracelet-Watch-for-40-free-s-h-w-beauty-item/2173562.html,2173562,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173562"">Anne Klein Women's Light Pink Ceramic Bangle Bracelet Watch</a> for <strong>$39.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099273,2173562"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $110 off list and the lowest price we could find. Features include a rose gold-tone mixed metal case, ceramic bangle bracelet, and 100 feet of water resistance.",free s&h w/beauty item,2018-01-07T16:58:19-05:00,3,$40,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/goyckwqrslqzweyqpqdx"
,,BACKPACKS,REI Co-op Women's Sprint Flap Daypack,https://www.dealnews.com/REI-Co-op-Womens-Sprint-Flap-Daypack-for-26-pickup-at-REI/2173502.html,2173502,"REI Garage offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173502"">REI Co-op Women's Sprint Flap Daypack</a> in Black for $34.73. Add it to your cart and it falls to <strong>$26.05</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's $44 off list and the lowest price we could find. It features interior zip mesh pockets, a divider panel, padded back and shoulder straps, and a 14"" laptop compartment. Deal ends January 8.",pickup at REI,2018-01-07T16:45:00-05:00,3,$26,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ozhhz2m15yblv0fnh12v"
,,HAND TOOLS,Kobalt 20pc SAE / Metric Mechanic's Tool Set,https://www.dealnews.com/Kobalt-20-pc-SAE-Metric-Mechanics-Tool-Set-for-20-free-shipping/2173526.html,2173526,"Lowe's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173526"">Kobalt 20-Piece Standard and Metric Mechanic's Tool Set</a> for <strong>$19.98</strong>. Plus, MyLowe's members bag <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099240,2173526"">join</a>.) That's tied with last week's mention, $30 off list, and the lowest price we could find. It includes an extendable handle and an assortment of sockets and bits. Deal ends February 6.",free shipping,2018-01-07T16:40:24-05:00,3,$20,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zxshjz1phvoyx3tyebx4"
,,TOOLS & HARDWARE,Neiko 100-Piece Utility Blades w/ Dispenser,https://www.dealnews.com/Neiko-100-Piece-Utility-Blades-w-Dispenser-for-8-free-shipping/2173529.html,2173529,"Square2Box via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173529"">Neiko 100-Piece Utility Blades with Dispenser</a> for <strong>$7.98</strong> with <strong>free shipping</strong>. That's tied with last month's mention and the lowest price we could find by $4. They're compatible with most standard utility knives.",free shipping,2018-01-07T16:36:23-05:00,3,$8,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yt7npmvgzttaujutezkl"
,,SHOES,Crocs Sale,https://www.dealnews.com/Crocs-Sale-25-off-sitewide-free-shipping-w-25/2173532.html,2173532,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173532"">Crocs</a> takes <b>25% off</b> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099243,2173532"">men's, women's, and kids' shoes</a> sitewide. (The discount applies in cart.) Plus, it stacks with <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099246,2173532"">sale items</a>, which are already marked <b>up to 50% off</b>. Shipping adds <strong>$4.99</strong>, although orders of $24.99 or more bag free shipping. Deal ends January 8.",free shipping w/ $25,2018-01-07T16:34:39-05:00,4,25% off sitewide,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xlgmfnw0pw0bcsgixbcp"
,,CREDIT CARDS,Chase Freedom Unlimited® Card,"https://www.dealnews.com/lw/click.html?20,2,2173271",2173271,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173271"">Chase Freedom Unlimited® Card</a> and <strong>earn a $150 Bonus</strong> after you spend $500 on purchases in your first three months from account opening. Plus, receive a <strong>0% Intro APR</strong> for 15 months on purchases and balance transfers. (After that, variable APR, currently 15.99% - 24.74%.) Other card features include earning <strong>unlimited 1.5% cash back</strong> on every purchase. It's automatic! Redeem for cash back - any amount, anytime and your Cash Back rewards do not expire as long as your account is open. Plus, there's <strong>no annual fee</strong>. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099087,2173271"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,2018-01-06T12:54:19-05:00,,Earn a $150 bonus,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ydfbhq1eoc6ncmebhug2"
,,PORTABLE SPEAKERS,Sony SRSX11 Portable Bluetooth Speaker,https://www.dealnews.com/Sony-SRSX11-Portable-Bluetooth-Speaker-for-38-free-shipping/2173523.html,2173523,"Groupon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173523"">Sony SRSX11 Portable Bluetooth Speaker</a> in White for <b>$37.99</b> with <b>free shipping</b>. That's the lowest price we could find by $5. This 10-watt speaker features Bluetooth 3.0 with NFC pairing, auxiliary input, and up to 12 hours of battery life.",free shipping,2018-01-07T16:32:07-05:00,3,$38,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w0bpadvbrrdjwbdnqzp8"
,,TOYS & HOBBIES,Disney Frozen 12V Ride-On Sleigh,https://www.dealnews.com/Disney-Frozen-12-V-Ride-On-Sleigh-for-198-pickup-at-Walmart/2173433.html,2173433,"For in-store pickup only, with stock varying by location, Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173433"">Disney Frozen 12-volt Ride-On Sleigh</a> for <b>$198</b>. That's tied with our February mention, $100 off, and the best price we could find. It features a maximum speed of 5 mph and music and flashing lights.",pickup at Walmart,2018-01-07T16:30:00-05:00,3,$198,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/m7lnp5ymz3waiiwhovv4"
,,CLEANING SUPPLIES,Mothers Detail Brush 2-Pack,https://www.dealnews.com/Mothers-Detail-Brush-2-Pack-for-4-free-shipping-w-Prime/2173520.html,2173520,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173520"">Mothers Detail Brush 2-Pack</a> for <strong>$3.60</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2. It features scratch free bristles.",free shipping w/ Prime,2018-01-07T16:29:43-05:00,5,$4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uazh7riukwwkteflzgd4"
,,TABLES,Home Craft Wood/Console Sofa Table,https://www.dealnews.com/Home-Craft-Wood-Console-Sofa-Table-for-91-free-shipping/2173559.html,2173559,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173559"">Home Craft Wood/Console Sofa Table</a> in Black for <b>$90.91</b> with <b>free shipping</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099267,2173559"">Home Depot</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099270,2173559"">Amazon</a> charge the same.) That's tied with our October mention and the lowest price we could find by $34. It measures 20"" x 20"" x 12"".",free shipping,2018-01-07T16:27:17-05:00,4,$91,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/djvhfntfv3w6iddspcfu"
,,MICROWAVE OVENS,Toshiba 0.9-Cubic Foot 900W Microwave Oven,https://www.dealnews.com/Toshiba-0.9-Cubic-Foot-900-W-Microwave-Oven-for-70-free-shipping/2173517.html,2173517,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173517"">Toshiba 0.9-Cubic Foot 900-Watt Microwave Oven</a> for <b>$69.69</b> with <b>free shipping</b>. That's the lowest price we could find by $8. It features six pre-programmed functions, child safety lock, 10 power settings, and power saving ECO mode.",free shipping,2018-01-07T16:26:37-05:00,3,$70,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eimguicmjcprormkt8t8"
,,SMALL APPLIANCES,Nostalgia Grilled Cheese Sandwich Toaster,https://www.dealnews.com/Nostalgia-Grilled-Cheese-Sandwich-Toaster-for-20-free-shipping-w-Prime/2173508.html,2173508,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173508"">Nostalgia Grilled Cheese Sandwich Toaster</a> for <b>$19.99</b>. Plus, Prime members get <b>free shipping</b>. That's the lowest price we could find by $5. It features two removable toasting baskets and an adjustable toasting dial.",free shipping w/ Prime,2018-01-07T16:24:38-05:00,5,$20,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gw4en6zn3ojf9gftfpnv"
,,CAMPING & OUTDOORS,Ozark Trail Comfort Director Chair,https://www.dealnews.com/Ozark-Trail-Comfort-Director-Chair-for-11-pickup-at-Walmart/2173556.html,2173556,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173556"">Ozark Trail Comfort Director Chair with Side Pocket</a> in Black for <b>$10.88</b>. Opt for in-store <b>pickup</b> to avoid the $5.99 shipping fee. That's $4 off and the lowest price we could find. It features 600D polyester fabric construction and a 300-lb. weight capacity.",pickup at Walmart,2018-01-07T16:23:37-05:00,3,$11,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vkevfggyztncr8fyxqs1"
,,BABIES & KIDS ITEMS,Samsung Digital Video Baby Monitor System,https://www.dealnews.com/Samsung-Digital-Video-Baby-Monitor-System-from-160-free-shipping/2173535.html,2173535,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173535"">Samsung BabyView Digital Video Baby Monitor System</a> for <b>$159.98</b> with <b>free shipping</b>. (Non-members pay $16 more.) That's the lowest price we could find by $39. Features include a 5"" touchscreen monitor, remote viewing on mobile devices, and night vision up to 16 feet.",free shipping,2018-01-07T16:22:08-05:00,1,from $160,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ztvqbysa31hvsj0v3xgp"
,,SURGE PROTECTORS,Belkin 7-Outlet Power Strip Surge Protector,https://www.dealnews.com/Belkin-7-Outlet-Power-Strip-Surge-Protector-for-12-free-shipping-w-Prime/2173514.html,2173514,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173514"">Belkin 7-Outlet SurgeMaster Home Series Power Strip Surge Protector</a> for <strong>$12.16</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $3. It features a 6-foot cord.",free shipping w/ Prime,2018-01-07T16:19:00-05:00,3,$12,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qrwsfyxd5l5vyamzgpbp"
