shipping,editors_choice,category,hotness,uuid,time_published,title,picture_url,description,time_modified,url,price
$5 shipping,,BABIES & KIDS ITEMS,3,2170589,2018-01-03T01:39:50-05:00,Britax BOB Motion Stroller,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cb4xowsdv6cfn9geqazd","As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170589"">Britax BOB Motion Stroller</a> in Orange for <b>$149.99</b> plus <b>$5</b> for shipping. That's $30 under our November mention, $200 off list, and the lowest price we've seen. It features a one-hand quick fold, pneumatic tires, front swivel wheel, and suspension system. Deal ends today.",,https://www.dealnews.com/Britax-BOB-Motion-Stroller-for-150-5-s-h/2170589.html,$150
pickup at Cabela's,True,COATS,4,2170583,2018-01-03T01:32:52-05:00,Cabela's Women's XPG PrimaLoft Pullover,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zq77zchm1mlncx4jscoz","Cabela's offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170583"">Cabela's Women's XPG PrimaLoft 1/4-Zip Pullover</a> in Gunpowder or Passion Flower for <b>$14.88</b>. Opt for in-store <strong>pickup</strong> to avoid the $5.95 shipping charge. That's $55 off list and the lowest price we've seen. It's available in sizes S to XL.",,https://www.dealnews.com/Cabelas-Womens-XPG-Prima-Loft-Pullover-for-15-pickup-at-Cabelas/2170583.html,$15
pickup at Walmart,,KITCHEN,3,2170580,2018-01-03T01:24:47-05:00,Columbian 3-lb. Covered Round Roaster,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nug6tn6wsdksm54stkk3","Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170580"">Columbian Home Products 3-lb. Covered Round Roaster</a> for <strong>$7.50</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093561,2170580"">Amazon</a> charges the same.) That's the lowest price we could find by $2. It's dishwasher safe.",,https://www.dealnews.com/Columbian-3-lb.-Covered-Round-Roaster-for-8-pickup-at-Walmart/2170580.html,$8
free shipping,,MICE/TRACKBALLS,3,2170577,2018-01-03T00:57:58-05:00,Logitech MX Master 2S Wireless Mouse,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lxenni8bdml1ylcbws5h","Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170577"">Logitech MX Master 2S Wireless Mouse</a> in Graphite for <strong>$79.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093558,2170577"">Office Depot and Office Max</a> offers it for the same price.) That's the lowest price we could find by $5. It features up to 70 days of power on a single charge and a unifying receiver for use with up to three devices.<br>
<br>
Note: This item will be in stock on January 6.",,https://www.dealnews.com/Logitech-MX-Master-2-S-Wireless-Mouse-for-80-free-shipping/2170577.html,$80
free shipping,,GROCERIES,4,2170574,2018-01-03T00:47:27-05:00,Special K 12.5-Oz. Protein Cereal 10-Pack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mrqiytn0brlhmhj81aet","Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170574"">Special K 12.5-Oz. Protein Cereal 10-Pack</a> for <strong>$13</strong> with <strong>free shipping</strong>, via the directions below. That's the lowest price we could find by $10. Each serving features 10g of protein. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170574"">Special K 12.5-Oz. Protein Cereal 10-Pack</a> for $20
 </li>
 <li>clip the 30% off coupon on the product page
 </li>
 <li>order via Subscribe &amp; Save for a final price of <strong>$13</strong>
 </li>
</ol>
Note: Be sure to cancel Subscribe & Save after your order ships to avoid being charged for subsequent orders.",,https://www.dealnews.com/Special-K-12.5-Oz.-Protein-Cereal-10-Pack-for-13-free-shipping/2170574.html,$13
pickup at GameStop,True,ACCESSORIES,4,2170571,2018-01-03T00:44:11-05:00,Used Microsoft Kinect Sensor for Xbox One,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cmtalgb7dxgrhbx0ruzg","GameStop offers the used <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170571"">Microsoft Kinect Sensor for Xbox One</a> for <strong>$15.99</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's the best deal we've ever seen for a standalone Kinect sensor; it's also $44 under the lowest price we could find for any condition today. It features a 1080p HD camera and allows for movement- and voice-based control of your TV and Xbox One console, Skype calls, live game broadcasting, and automatic sign-in.<br>
<br>
Note: No warranty information is provided, but this item can be returned within seven days for a refund.",,https://www.dealnews.com/Used-Microsoft-Kinect-Sensor-for-Xbox-One-for-16-pickup-at-Game-Stop/2170571.html,$16
free shipping,,GROCERIES,4,2170568,2018-01-03T00:38:59-05:00,Brach's Kids' Variety 365-Count Candy Mix,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vaw2rmbvrum7ncexcnxc","Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170568"">Brach's Assorted Kids' Variety 365-Count Candy Party Mix</a> for $5.05. Add it to your cart via Subscribe & Save to drop that to <strong>$4.40</strong> and bag <strong>free shipping</strong>. That's $11 under the lowest price we could find for a similar bag of Brach's candy. It includes a mix of Super Bubble, Now and Later, Smarties, Jaw Busters, and Lollipops.<br>
<br>
Note: Be sure to cancel your subscription after your order ships to avoid being billed for subsequent shipments.",,https://www.dealnews.com/Brachs-Kids-Variety-365-Count-Candy-Mix-for-4-free-shipping/2170568.html,$4
free shipping,True,PET FOOD,3,2170565,2018-01-03T00:26:38-05:00,"""I and love and you"" 3-oz. Wet Cat Food 24pk","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qrlob2tushqyhmux6iwd","Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170565"">""I and love and you"" All-Natural 3-oz. Wet Cat Food 24-Pack</a> in Purrky Turkey for <strong>$9.73</strong> with <strong>free shipping</strong> via the steps below. That's the lowest price we could find by $8. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170565"">""I and love and you"" All-Natural 3-oz. Wet Cat Food 24-Pack</a> for $12.97
 </li>
 <li>clip the 20% off coupon on the product page
 </li>
 <li>order via Subscribe &amp; Save for a final price of <strong>$9.73</strong>
 </li>
</ol>
Note: Be sure to cancel your subscription after your order ships to avoid being billed for subsequent shipments.",,https://www.dealnews.com/I-and-love-and-you-3-oz.-Wet-Cat-Food-24-pk-for-10-free-shipping/2170565.html,$10
free shipping,,SUPPLEMENTS,3,2170562,2018-01-03T00:05:26-05:00,Orgain Organic Plant Protein Powder 2-lb. Jar,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/y8rax6xe0tptsrbmcprw","Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170562"">Orgain Organic Plant-Based Protein Powder 1.59-lb. Jar</a> in Natural Unsweetened for <strong>$18.81</strong> with <strong>free shipping</strong>, via the directions below. That's the lowest price we could find by $6. This non-GMO powder is gluten-, soy-, and dairy-free and contains 21 grams of plant-based protein per serving. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170562"">Orgain Organic Plant-Based Protein Powder 1.59-lb. Jar</a> for $25.06
 </li>
 <li>clip the $5 off coupon on the product page
 </li>
 <li>add it to your cart via Subscribe &amp; Save for a final price of <strong>$18.81</strong>
 </li>
</ol>",,https://www.dealnews.com/Orgain-Organic-Plant-Protein-Powder-2-lb.-Jar-for-19-free-shipping/2170562.html,$19
free shipping w/ Prime,,KITCHEN,,2170463,2018-01-03T00:01:00-05:00,Soufull Stainless Steel Poultry Scissors,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stvamjek2izwihfqpmnd","yichengjin via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170463"">Soufull Multi-Functional Stainless Steel Scissors</a> for $12.88. Coupon code ""black855"" cuts that to <strong>$8.55</strong>. Plus, Prime members bag <strong>free shipping</strong>. Deal ends January 31.",,https://www.dealnews.com/Soufull-Stainless-Steel-Poultry-Scissors-for-9-free-shipping-w-Prime/2170463.html,$9
free shipping w/ $99,,JCPENNEY COUPONS,4,2170559,2018-01-03T00:04:38-05:00,JCPenney coupon,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uwfxv64ynps6jcnxllam","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093543,2170559"">JCPenney</a> takes <strong>50% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093546,2170559"">original- and regular-priced orders of $50 or more</a> or <b>65% off</b> orders of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093549,2170559"">$100 or more</a> via coupon code ""4DEALS"". Plus, the same coupon takes an <b>extra 25% off</b> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093552,2170559"">sale items</a>. (Eligible items are marked on their product pages.) Shipping adds <b>$8.95</b>, although orders over $99 bag free shipping. (Ship-to-store pickup is also available for $3.95 and free for most orders over $25; free same-day pickup may be also available for select items.) Some exclusions apply. Deal ends January 10. A couple of best bets, both with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170559"">St. John's Bay Men's Long Sleeve Pullover Sweater</a> for <strong>$25</strong> (pictured, $25 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093555,2170559"">St. John's Bay Women's Plus Hooded Quilted Jacket</a> for <strong>$64.50</strong> ($108 off)
 </li>
</ul>",,https://www.dealnews.com/JCPenney-coupon-Up-to-65-off-100-free-shipping-w-99/2170559.html,Up to 65% off $100
free shipping w/ Prime,,TOOTHBRUSHES,4,2170556,2018-01-02T23:36:03-05:00,Oral-B Sugar Defense Toothbrush 2-Pack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/huhcxtiqh0xjzrf7oj1d","With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170556"">Oral-B Pro Health Sugar Defense Manual Toothbrush 2-Pack</a> in Soft for $2.09. Clip the $1 off coupon to cut the price to <strong>$1.09</strong>. Plus, Prime members receive <strong>free shipping</strong>. That's a buck under what you'd pay in-store locally.<br>
<br>
Note: This item ships in two to four weeks.",,https://www.dealnews.com/Oral-B-Sugar-Defense-Toothbrush-2-Pack-for-1-w-25-purchase-free-shipping-w-Prime/2170556.html,$1 w/ $25 purchase
free shipping w/ Prime,,BOOKS,3,2170553,2018-01-02T23:22:07-05:00,"""Disney Christmas Storybook"" Hardcover Book","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/g7bwjqporvl2xggw3ofj","Amazon offers Prime members <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170553"">Elle D. Risco &amp; Calliope Glass' <i>Disney Christmas Storybook Collection</i> Hardcover Book</a> for <strong><strong><strong>$7.64</strong></strong></strong> with <strong>free shipping</strong>. That's the lowest shipped price we could find by $7. It includes 18 tales with over 250 illustrations.<br>
<br>
Note: This item is temporarily out of stock but can be ordered at this price and will ship when available.",,https://www.dealnews.com/Disney-Christmas-Storybook-Hardcover-Book-for-8-free-shipping-w-Prime/2170553.html,$8
free shipping,,RECEIVERS,4,2170547,2018-01-02T22:46:53-05:00,Yamaha 5.1 4K Bluetooth Home Theater Receiver,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mpwu5plvyfrsikk5lxjc","Best Buy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170547"">Yamaha 5.1-Channel 4K Bluetooth Home Theater Receiver</a> in Black, model no. RX-V481BL, for <strong>$264.99</strong> with <strong>free shipping</strong>. That's $135 off list and the lowest price we could find. Features include 145-watt RMS per channel, WiFi, Bluetooth, and 4K and 3D pass-through.",,https://www.dealnews.com/Yamaha-5.1-4-K-Bluetooth-Home-Theater-Receiver-for-265-free-shipping/2170547.html,$265
free shipping,,HAND TOOLS,3,2170544,2018-01-02T22:23:45-05:00,Kobalt 20pc SAE / Metric Mechanic's Tool Set,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zxshjz1phvoyx3tyebx4","Lowe's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170544"">Kobalt 20-Piece Standard and Metric Mechanic's Tool Set</a> for <strong>$19.98</strong>. Plus, MyLowe's members bag <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093537,2170544"">join</a>.) That's $5 under our November mention, $30 off list, and the lowest price we could find. It includes an extendable handle and an assortment of sockets and bits. Deal ends February 6.",,https://www.dealnews.com/Kobalt-20-pc-SAE-Metric-Mechanics-Tool-Set-for-20-free-shipping/2170544.html,$20
free shipping w/ Prime,True,TOYS & HOBBIES,3,2170541,2018-01-02T22:10:46-05:00,Disney Beauty and the Beast Ball Gown Belle,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/i2j6ankklfbapt00uycy","With orders of $25 or more, Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170541"">Disney Beauty and the Beast Enchanting Ball Gown Belle</a> for <strong>$7.29</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $12. It comes with a hair piece, shoes, and necklace.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",,https://www.dealnews.com/Disney-Beauty-and-the-Beast-Ball-Gown-Belle-for-7-w-25-purchase-free-shipping-w-Prime/2170541.html,$7 w/ $25 purchase
