editors_choice,shipping,picture_url,hotness,price,time_published,category,uuid,time_modified,description,url,title
,free shipping w/ $100,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ns6x4mayxb9wabwo20ch",,Extra 40% off sale items,2018-01-03T00:01:00-05:00,CLOTHING & ACCESSORIES,2170388,,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093420,2170388"">Levi's</a> cuts an <strong>extra 40% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170388"">select men's, women's, and kids' sale items</a> via coupon code ""SALE40"". Shipping adds <strong>$7.50</strong>, but orders of $100 or more get free shipping. Some exclusions apply. Deal ends January 9.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1491/Levis/"">Levi's Coupons</a>.</p>",https://www.dealnews.com/Levis-coupon-Extra-40-off-sale-items-free-shipping-w-100/2170388.html,Levi's coupon
True,$9 shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cd4el9332icha2obtaeq",3,$140,2018-01-03T20:33:58-05:00,CONSOLES,2171330,,"GameStop offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171330"">Nintendo Wii U 32GB Console</a> in Black bundled with used copies of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095400,2171330"">LEGO Marvel Super Heroes for Wii U</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095403,2171330"">Sonic &amp; All-Stars Racing Transformed for Wii U</a> for <strong>$139.99</strong> plus <strong>$8.99</strong> for shipping. That's the best deal we could find for a refurbished 32GB console by $26 and the lowest price we've seen for a refurb. (You'll also save about $37 versus buying these games new elsewhere.)<br>
<br>
Note: No warranty info is provided.",https://www.dealnews.com/Refurb-Wii-U-32-GB-Console-w-2-Used-Games-for-140-9-s-h/2171330.html,Refurb Wii U 32GB Console w/ 2 Used Games
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nx6xenf7xzq5gata7l1g",4,$132,2018-01-03T20:24:48-05:00,EXERCISE EQUIPMENT,2171093,,"Yallstore via eBay offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171093"">Flywheel Exercise Bike with LCD</a> in Black for <strong>$131.99</strong> with <strong>free shipping</strong>. That's $168 off and the lowest price we could find. It features a 33-lb. flywheel, aluminum water bottle, and LCD screen that displays time, speed, distance, and calories burned. It has a weight capacity of 330-lbs.",https://www.dealnews.com/Flywheel-Exercise-Bike-with-LCD-for-132-free-shipping/2171093.html,Flywheel Exercise Bike with LCD
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/chewbfcojw5bbjco7ebd",4,$40,2018-01-03T20:17:21-05:00,SHOES,2171324,,"AltaTac via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171324"">5.11 Men's Recon Shoes</a> in several colors (Dark Coyote pictured) for <strong>$39.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $5. They're available in select sizes from 4 to 15.",https://www.dealnews.com/5.11-Mens-Recon-Shoes-for-40-free-shipping/2171324.html,5.11 Men's Recon Shoes
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e922hgbobq3fm3d2kshq",3,$25,2018-01-03T20:16:45-05:00,SHOES,2171081,,"PUMA via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171081"">PUMA Women's Rebel Mid Speckled Training Shoes</a> in Silver for <strong>$24.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find in any color by $27. They're available in sizes 5.5 to 9.5.",https://www.dealnews.com/PUMA-Womens-Rebel-Mid-Training-Shoes-for-25-free-shipping/2171081.html,PUMA Women's Rebel Mid Training Shoes
,free shipping w/ $50,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ecb0yzrwiekc2v9ndnj1",5,Up to 76% off,2018-01-03T20:07:28-05:00,SHOES,2171321,,"6pm takes <strong>up to 76% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171321"">Dr. Martens men's, women's, and kids' shoes and boots</a>, with prices starting from <strong>$21.50</strong>. Shipping adds <strong>$3.95</strong>, but orders of $50 or more qualify for free shipping, as do orders of any two items.",https://www.dealnews.com/Dr.-Martens-Shoes-and-Boots-at-6-pm-Up-to-76-off-free-shipping-w-50/2171321.html,Dr. Martens Shoes and Boots at 6pm
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wbgeqzzwzz1dvsih5pqp",2,$12,2018-01-03T20:03:46-05:00,TOYS & HOBBIES,2171318,,"Hasbro via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171318"">Nerf Super Soaker Tidal Torpedo Bow</a> for <strong>$12.49</strong> with <strong>free shipping</strong>. Outside of the seller below, that's the lowest price we could find by $6. It features a 22-oz. water blaster and two foam missiles.<br>
<br>
A close price, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095379,2171318"">Amazon</a> charges $13.74 with free shipping for Prime members.",https://www.dealnews.com/Nerf-Super-Soaker-Tidal-Torpedo-Bow-for-12-free-shipping/2171318.html,Nerf Super Soaker Tidal Torpedo Bow
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pko77k8lgqnbvocteiu7",3,$10,2018-01-03T19:54:42-05:00,EXERCISE EQUIPMENT,2171075,,"DoctorsDeals via Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171075"">PharMeDoc Ab Roller Wheel</a> for <b>$9.95</b> with <b>free shipping</b>. That's the lowest price we could find by $6. It features reinforced steel handles and rubber wheels.",https://www.dealnews.com/Phar-Me-Doc-Ab-Roller-Wheel-for-10-free-shipping/2171075.html,PharMeDoc Ab Roller Wheel
,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/muuqgb6zvfcgedh2isgq",3,Extra 20% off,2018-01-03T19:49:34-05:00,THINGS TO DO,2171234,,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171234"">Groupon</a> takes an <strong>extra 20% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095157,2171234"">local deals</a> via coupon code ""SAVE20"". (This coupon can be used up to three times per account and has a maximum discount of $50 per deal.) Some exclusions apply. Deal ends January 5.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s8669/Groupon/"">Groupon Coupons</a>.</p>",https://www.dealnews.com/Groupon-Local-Deals-Extra-20-off/2171234.html,Groupon Local Deals
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vh6hbpajwf0ktisvvi9h",3,$35 w/ Prime,2018-01-03T19:45:31-05:00,TOYS & HOBBIES,2171315,,"For Prime members only, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171315"">Kidkraft Disney Pixar Cars 3 Radiator Springs 50-Piece Wooden Track Set</a> for <strong>$35</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $6. It includes a working train, track, scenery, and figures.",https://www.dealnews.com/Kidkraft-Radiator-Springs-50-pc-Track-Set-for-35-w-Prime-free-shipping/2171315.html,Kidkraft Radiator Springs 50pc Track Set
