shipping,category,time_modified,price,uuid,hotness,description,url,editors_choice,picture_url,title,time_published
free shipping,BATTERY BACKUPS/UPSS,,$31,2169014,4,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169014"">APC UPS Connect 84VA Battery Back-Up System</a> for $44.05. Clip the $13 off coupon to cut that to <b>$31.05</b>. With <strong>free shipping</strong>, that's the lowest price we could find by $40, although it was a buck less three weeks ago. It features over two hours of network backup power, two surge-protected outlets, a removable battery pack for smartphone charging, and three USB ports.",https://www.dealnews.com/APC-UPS-Connect-84-VA-Battery-Back-Up-System-for-31-free-shipping/2169014.html,True,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fstiudygo8w7cjvrslbh",APC UPS Connect 84VA Battery Back-Up System,2017-12-31T00:38:17-05:00
free shipping,KIDS' CLOTHES,,$22,2169011,4,"L.L.Bean offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169011"">L.L.Bean Boys' Puff-n-Stuff Jacket</a> in three colors (Bold Lilac pictured) for $29.99. Coupon code ""EXTRA25"" cuts that price to <strong>$37.49</strong>. With <strong>free shipping</strong>, that's $37 off and the lowest price we could find. It's available in sizes 10/12 and 14/16. Deal ends January 1.",https://www.dealnews.com/L.L.Bean-Girls-Puff-n-Stuff-Jacket-for-22-free-shipping/2169011.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ar6itllqfetcsvfpv661",L.L.Bean Girls' Puff-n-Stuff Jacket,2017-12-31T00:23:51-05:00
free shipping,CHAIRS,,$159,2169008,4,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169008"">Mainstays Recliner</a> in three colors (Grey Fabric pictured) for <strong>$159</strong> with <strong>free shipping</strong>. That's $40 off and a great deal for a recliner. It features pocketed comfort coils and fingertip actuated recline control.",https://www.dealnews.com/Mainstays-Recliner-for-159-free-shipping/2169008.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t7scx74oxtxxtyrswy0r",Mainstays Recliner,2017-12-30T22:32:33-05:00
free shipping w/ Prime,KITCHEN,,$10,2169005,5,"EFO-S via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169005"">EFOSHM Insulated Stainless Steel 16-oz. Thermos with Removable Tea Strainer</a> in Black for $16.99. Clip the 40% off coupon to drop the price to <b>$10.19</b>. Plus, Prime members receive <b>free shipping</b>. That's $7 under our January mention and the lowest price we've seen. This double-wall, vacuum-insulated thermos is BPA-free.",https://www.dealnews.com/Insulated-16-oz.-Thermos-w-Tea-Strainer-for-10-free-shipping-w-Prime/2169005.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hva2w82uuxd8nyp1ryru",Insulated 16oz. Thermos w/ Tea Strainer,2017-12-30T22:14:27-05:00
$3 shipping,GAMES,,$10,2169002,3,"Newegg offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169002"">Mass Effect: Andromeda Deluxe for Xbox One</a> for $19.99. Coupon code ""EMCBCDR39"" cuts the price to <strong>$9.99</strong>. With <strong>$2.99</strong> for shipping, that's the lowest price we could find by $10, although it was a a buck less two weeks ago.",https://www.dealnews.com/Mass-Effect-Andromeda-Deluxe-for-Xbox-One-for-10-3-s-h/2169002.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wac3gwfjw4hlgqcmqll9",Mass Effect: Andromeda Deluxe for Xbox One,2017-12-30T21:19:09-05:00
free shipping,OFFICE CHAIRS,,$68,2168999,4,"Staples offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168999"">Staples Bresser Luxura Managers Chair</a> in Tan for <strong>$67.86</strong> with <strong>free shipping</strong>. That's $81 off and the lowest price we could find. It's weight-rated to 225-lbs. and features pneumatic seat height adjustment, internal lumbar support, and adjustable tilt tension and lock.",https://www.dealnews.com/Staples-Bresser-Luxura-Managers-Chair-for-68-free-shipping/2168999.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/f9wn4tixywx22ycx9uyt",Staples Bresser Luxura Managers Chair,2017-12-30T21:07:17-05:00
pickup at Walmart,HOME FURNITURE,,$50,2168996,3,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168996"">Mainstays Adjustable-Height Swivel Barstool 3-Pack</a> for <strong>$50</strong> with <strong>free shipping</strong>. That's $49 off and the lowest price we could find. They are adjustable from 24"" to 29"".",https://www.dealnews.com/Mainstays-Adjustable-Height-Barstool-3-pk-for-50-pickup-at-Walmart/2168996.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h1wnhrcuqki32g6opoyd",Mainstays Adjustable-Height Barstool 3pk,2017-12-30T20:54:59-05:00
free shipping,OFFICE CHAIRS,,from $40,2168987,3,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168987"">SeatWell Ergonomic Task Chair</a> in several colors (White pictured) for <strong>$39.98</strong> with <strong>free shipping</strong>. (Non-members pay a $3.99 surcharge.) That's $10 off and the lowest price we could find. It has a weight capacity of up to 300 lbs.",https://www.dealnews.com/Seat-Well-Ergonomic-Task-Chair-from-40-free-shipping/2168987.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ckqmvbuikv7co3oxoxgb",SeatWell Ergonomic Task Chair,2017-12-30T19:30:00-05:00
,EBOOKS,,free,2168957,5,"Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168957"">Cidney Swanson's <i>The Ripple Trilogy: Books 1-3</i> for Kindle</a> for <strong>free</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089955,2168957"">Barnes &amp; Noble</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089958,2168957"">Kobo</a> charge the same.) That's $8 off and the lowest price we could find.",https://www.dealnews.com/The-Ripple-Trilogy-Kindle-eBook-Box-Set-for-free/2168957.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wekayadzdttbt2eavquf","""The Ripple Trilogy"" Kindle eBook Box Set",2017-12-30T18:00:00-05:00
,CREDIT CARDS,,$200 Cash Rewards Bonus,2168609,,"At Wells Fargo, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168609"">Wells Fargo Cash Wise Visa® Card</a> and receive a <strong>$200 Cash Rewards Bonus</strong> after you spend at least $1,000 on purchases in the first 3 months of account opening. Plus, you'll earn <strong>unlimited 1.5% Cash Rewards</strong> with no category limitations or quarterly activations. Also, earn <strong>1.8% Cash Rewards</strong> on Android Pay™ or Apple Pay® mobile wallet purchases during the first 12 months from account opening. Enjoy a <strong>0% Intro APR</strong> on purchases and balance transfers for 12 months. After that your variable APR will be 14.24% to 26.24%. Balance transfer fees apply. Finally, there's <strong>no annual fee</strong>. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089667,2168609"">click here</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>","https://www.dealnews.com/lw/click.html?20,2,2168609",,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ttmjwoteco6cqmdv7rzz",Wells Fargo Cash Wise Visa® Card,2017-12-30T00:01:00-05:00
free shipping,BABIES & KIDS ITEMS,,$220,2168933,3,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168933"">Britax Marathon ClickTight Convertible Car Seat</a> in Prescott for <strong>$219.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $53. It features an adjustable height and harness, reclining seat, side impact protection, and support for kids up to 65 lbs.<br>
<br>
It's expected to ship in 1 to 2 months.",https://www.dealnews.com/Britax-Marathon-Click-Tight-Car-Seat-for-220-free-shipping/2168933.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/urruyqvwwbw5sb0g5gav",Britax Marathon ClickTight Car Seat,2017-12-30T17:00:00-05:00
free shipping,INKJET PRINTERS,,$79 after rebate,2168909,3,"BuyDig offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168909"">Canon Pixma Pro-100 Wireless Professional Inkjet Photo Printer</a> bundled with the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089910,2168909"">Canon Photo Paper Plus Semi-Gloss SG201 13x19"" 50-Sheet Pack</a> for $329. Redeem this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089913,2168909"">$250 mail-in rebate</a> to cut the price to <strong>$79</strong>. With <strong>free shipping</strong>, that's tied with our expired mention from three days ago, and the lowest price we could find by $171. The printer features a 4800x2400 dpi maximum print resolution, up to 13x19"" wide-format printing, 802.11n wireless, PictBridge, and USB. Deal ends December 31.",https://www.dealnews.com/Canon-Pixma-Wi-Fi-Inkjet-Printer-w-Paper-for-79-after-rebate-free-shipping/2168909.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xxkymncbfa582on9kngz",Canon Pixma WiFi Inkjet Printer w/ Paper,2017-12-30T16:30:00-05:00
free shipping,COATS,,$80,2168993,4,"Columbia offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168993"">Columbia Women's Karis Gale Long Jacket</a> in several colors (Dark Raspberry pictured) for $99.99. Coupon code ""COLDEC60"" knocks it to <strong>$79.99</strong>. Plus, Greater Rewards members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090003,2168993"">sign up</a>.) That's $120 off and the lowest price we could find. It's available in select sizes from XS to XL. Deal ends December 31.",https://www.dealnews.com/Columbia-Womens-Karis-Gale-Long-Jacket-for-80-free-shipping/2168993.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lu2jamll4nj7mgnamgp6",Columbia Women's Karis Gale Long Jacket,2017-12-30T16:06:15-05:00
free shipping w/ $125,CLOTHING & ACCESSORIES,,Up to 60% off,2168921,5,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168921"">Ugg Closet</a> takes <strong>up to 60% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089970,2168921"">men's, women's, and kids' footwear</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089928,2168921"">Closet Sale</a>. (Prices are as marked.) Shipping adds <strong>$8</strong>, but orders of $125 or more bag free shipping. Available sizes and quantities for some items are limited.",https://www.dealnews.com/Ugg-Closet-Sale-Up-to-60-off-free-shipping-w-125/2168921.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bhawaav5vj8bdx212xwd",Ugg Closet Sale,2017-12-30T16:00:00-05:00
free shipping,ACCESSORIES,,$8,2168990,3,"Dailysteals via eBay offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168990"">two Men's Leather Double Prong Belts</a> in Black and Brown for <strong>$7.99</strong> with <strong>free shipping</strong>. That's $3 below our August mention and the lowest price we could find by $5. They're available in sizes 30-32 to 42-44.",https://www.dealnews.com/2-Mens-Leather-Double-Prong-Belts-for-8-free-shipping/2168990.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fmqmqiddgwxi3ggkdsul",2 Men's Leather Double Prong Belts,2017-12-30T15:55:03-05:00
free shipping,HEADPHONES,,$99,2168984,3,"Musician's Friend offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168984"">AKG K553 Pro Closed-Back Studio Headphones</a> for <strong>$99</strong> with <strong>free shipping</strong>. That's a buck under our July mention and $51 below the lowest we could find for a <i>used</i> pair. (These are new. Other stores charge around $199 for a new pair.) These closed-back headphones feature 50mm drivers, a frequency response of 12Hz to 28kHz, 32-ohm impedance, foam ear pads, and 10-foot straight cable.",https://www.dealnews.com/AKG-K553-Pro-Studio-Headphones-for-99-free-shipping/2168984.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ycte5dhakqnou2is8xoi",AKG K553 Pro Studio Headphones,2017-12-30T15:37:31-05:00
free shipping w/ Prime,PC GAMES,,$12,2168948,2,"Amazon offers Prime members <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168948"">Final Fantasy XIV: Stormblood for Windows</a> for <strong>$11.77</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $28.<br>
<br>
Note: You must have Final Fantasy XIV: A Realm Reborn (sold separately) to play Stormblood.",https://www.dealnews.com/Final-Fantasy-XIV-Stormblood-for-PC-12-free-shipping-w-Prime/2168948.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rv6iialsspyinsqpevjb",Final Fantasy XIV: Stormblood for PC,2017-12-30T15:26:30-05:00
free shipping w/ Prime,SKIN CARE,,$12,2168975,4,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168975"">Neutrogena Oil-Free Acne Face Wash 9.1-oz. Bottle 3-Pack</a> for $12.75. Check out via Subsribe & Save to cut that price to <strong>$12.11</strong> and bag <strong>free shipping</strong>. That's $7 under what you'd pay at a local retailer.<br>
<br>
Note: Be sure to cancel your subscription once your order ships to avoid being billed for further shipments.",https://www.dealnews.com/Neutrogena-Oil-Free-Acne-Face-Wash-3-Pack-for-12-free-shipping-w-Prime/2168975.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cafxoqnib78fz16lxvb7",Neutrogena Oil-Free Acne Face Wash 3-Pack,2017-12-30T15:14:51-05:00
,GAMES,,$10,2168954,3,"Amazon offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168954"">inFAMOUS Second Son for PlayStation 4</a> for <strong>$9.99</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089952,2168954"">PlayStation Store</a> has it for the same price.) That's $10 under the best deal we could find for a physical copy.",https://www.dealnews.com/in-FAMOUS-Second-Son-for-PS4-for-10/2168954.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nxaufe7rlpxmgthuq117",inFAMOUS Second Son for PS4,2017-12-30T14:31:30-05:00
