editors_choice,description,uuid,shipping,hotness,category,picture_url,time_published,price,title,url,time_modified
,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170697"">JCPenney</a> takes <strong>50% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093675,2170697"">regular-price orders of $50 or more</a> or <strong>65% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093678,2170697"">regular-price orders of $100 or more</a> via coupon code ""4DEALS"". Shipping adds <strong>$8.95</strong>, but orders of $99 or more bag free shipping. (In-store pickup is available for many items for $3.95, or free for most orders over $25.) Deal ends January 10.<br>
<br>
Nothing there for you? The same coupon yields <strong>25% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093681,2170697"">sale</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093684,2170697"">clearance items</a>.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s320/JCPenney/"">JCPenney Coupons</a>.</p>",2170697,free shipping w/ $99,3,AFTER CHRISTMAS SALES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pfo989dfchbvlpzovkpx",2018-01-03T07:04:04-05:00,25% to 65% off,JCPenney coupon,https://www.dealnews.com/JCPenney-coupon-25-to-65-off-free-shipping-w-99/2170697.html,
,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170775"">Cuisinart Cool Creations Ice Cream Maker</a> for <strong>$94.96</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093753,2170775"">Amazon</a> charges the same.) That's $19 under last week's mention and the lowest price we could find by $24. It features a 2-quart capacity and features multiple speed settings.",2170775,free shipping,3,SMALL APPLIANCES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/q4fgbf9se1tlrvyq1wjw",2018-01-03T07:03:05-05:00,$95,Cuisinart Cool Creations Ice Cream Maker,https://www.dealnews.com/Cuisinart-Cool-Creations-Ice-Cream-Maker-for-95-free-shipping/2170775.html,
,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170679"">Household Essentials Grooming Organizer Bag</a> in Black for <strong>$7.04</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093750,2170679"">Amazon</a> is tied.) Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the lowest price we could find by $1. It features a 3-sided zipper, and measures 4"" x 10"" x 6.75"".",2170679,pickup at Walmart,4,PERSONAL CARE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e0nsaednwu3ekgzugjnl",2018-01-03T07:01:35-05:00,$7,Household Essentials Grooming Organizer Bag,https://www.dealnews.com/Household-Essentials-Grooming-Organizer-Bag-for-7-pickup-at-Walmart/2170679.html,
,"Whether you're shelling out for trendy gym classes or working out at home, check out these <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/Pay-Less-to-Pump-Iron-How-to-Save-on-Gym-Memberships-Studios-and-Equipment/1563730.html"">tips on how to save money on your fitness goals this year</a>.",2165987,,,BUYING GUIDES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aqm5howt2qjitjt9ymbh",2018-01-03T07:00:01-05:00,,"How to Save on Gym Memberships, Studios, and Classes in 2018",https://www.dealnews.com/features/Pay-Less-to-Pump-Iron-How-to-Save-on-Gym-Memberships-Studios-and-Equipment/1563730.html,
,"As one of its daily deals, That Daily Deals offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170676"">Royal Sport 24-oz. Shaker Bottle</a> bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093654,2170676"">Royal Sport Whey Isolate 20-Gram Single Serving Protein Powder 5-Pack</a> for <strong>$11.99</strong> with <strong>free shipping</strong>. That's $18 off and the lowest price we could find. Deal ends today.",2170676,free shipping,2,SPORTS & FITNESS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mooeofofe4oarpe05uus",2018-01-03T06:57:21-05:00,$12,Royal Sport 24-oz. Shaker w/ Whey Protein,https://www.dealnews.com/Royal-Sport-24-oz.-Shaker-w-Whey-Protein-for-12-free-shipping/2170676.html,
,"Merry-Go via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170760"">iSelector Mini WiFi Smart Plug</a> for $17.99. Coupon code ""UIUAAZJR"" cuts it to <strong>$12.59</strong>. With <strong>free shipping</strong> for Prime members, that's $5 off and the lowest price we could find. It connects with the Jinvoo app for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093735,2170760"">iOS</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093738,2170760"">Android</a>. Deal ends February 3.",2170760,free shipping w/ Prime,3,POWER MANAGEMENT,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/chgr5p6p82tduvpbzc9f",2018-01-03T06:53:21-05:00,$13,iSelector Mini WiFi Smart Plug,https://www.dealnews.com/iSelector-Mini-Wi-Fi-Smart-Plug-for-13-free-shipping-w-Prime/2170760.html,
,"Pioneer TEC via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170751"">PioneerHiker Backpack</a> in several colors (Army Green pictured) for $29.99. Coupon code ""WP9SQ4ZT"" cuts that to <strong>$14.99</strong>. With <strong>free shipping</strong>, that's $15 off and the best price we could find. It features adjustable straps, a main compartment, two front pockets, two waist pockets, and two mesh pockets. Deal ends January 13.",2170751,free shipping,4,BACKPACKS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/idwbpqsjlpriqw5aijdy",2018-01-03T06:49:32-05:00,$15,PioneerHiker Backpack,https://www.dealnews.com/Pioneer-Hiker-Backpack-for-15-free-shipping/2170751.html,
,"Sam's Club discounts a selection of Quicken 2018 2-Year Subscriptions for Windows and Mac, as listed below. (Non-members pay an extra 10%.) Opt for in-store <strong>pickup</strong> to avoid the $5.40 shipping charge. Deal ends January 28. The offers:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170670"">Quicken Deluxe 2018 2-Year Subscription for PC/Mac</a> from <strong>$44.86</strong> (pictured, low by $15)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093648,2170670"">Quicken Premier 2018 2-Year Subscription for PC/Mac</a> from <strong>$69.86</strong> (low by $20)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093651,2170670"">Quicken Home, Business &amp; Rental Property 2018 2-Year Subscription for PC</a> from <strong>$89.86</strong> (low by $23)
 </li>
</ul>",2170670,pickup at Sam's Club,3,SOFTWARE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ystsl58axw2cx6drif4u",2018-01-03T06:43:48-05:00,from $45,Quicken 2018 2-Year Subscriptions for PC/Mac,https://www.dealnews.com/Quicken-2018-2-Year-Subscriptions-for-PC-Mac-from-45-pickup-at-Sams-Club/2170670.html,
,"Jos. A Bank offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170652"">Jos. A. Bank Men's Big &amp; Tall Signature Collection Pima Cotton V-Neck Sweater</a> in several colors (Oatmeal pictured) for <strong>$19</strong>. Plus, Bank Account Rewards members get <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093636,2170652"">join</a>.) That's $81 off list and the lowest price we could find. It's available in select sizes from XL to 4XL.<br>
<br>
Note: It's also available in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093639,2170652"">regular sizes</a> for the same price.",2170652,free shipping,3,SWEATERS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rlfclf1levrfs6kjrvmz",2018-01-03T06:43:27-05:00,$19,Jos. A. Bank Men's Big & Tall V-Neck Sweater,https://www.dealnews.com/Jos.-A.-Bank-Mens-Big-Tall-V-Neck-Sweater-for-19-free-shipping/2170652.html,
,"Dockers cuts an <strong>extra 40% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170403"">select men's, women's, and kids' sale items</a> via coupon code ""TAKE40"". Shipping adds <strong>$7.50</strong>, but orders of $50 or more get free shipping. Some exclusions apply. Deal ends January 7.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1910/Dockers/"">Dockers Coupons</a>.</p>",2170403,free shipping w/ $50,,CLOTHING & ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e631ccofsqhuiuuszg4o",2018-01-03T00:01:00-05:00,Extra 40% off sale items,Dockers coupon,https://www.dealnews.com/Dockers-coupon-Extra-40-off-sale-items-free-shipping-w-50/2170403.html,
,"Nova Tech US via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170748"">VoltCube 150-watt Car Power Inverter</a> for $16.95. Coupon code ""7WVO436B"" cuts the price to <strong>$13.56</strong>. With <strong>free shipping</strong> for Prime members, that's the lowest price we could find by $6, although we saw it for a buck less last month. It provides 150 watts of continuous DC to AC conversion, two USB ports, and AC outlets for multi-purpose charging. Deal ends January 15.<br>
<br>
You can also purchase the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093717,2170748"">400-watt version</a> for <strong>$27.19</strong> via the above coupon with <strong>free shipping</strong>. That's a $7 savings.",2170748,free shipping w/ Prime,3,AUTOMOTIVE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/oymelgbwipehvuqzkeq7",2018-01-03T06:31:29-05:00,$14,VoltCube 150W Car Power Inverter,https://www.dealnews.com/Volt-Cube-150-W-Car-Power-Inverter-for-14-free-shipping-w-Prime/2170748.html,
,"Bedshe via Amazon takes <strong>40% off</strong> the Bedsure Diamond-Pattern Duvet Cover Set in various sizes and colors via coupon code ""722W43DO"", as listed below. Plus, Prime members receive <strong>free shipping</strong>. It includes a duvet cover and two shams (twin includes one sham). Deal ends January 7. The sizes, with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170745"">Twin</a> for <strong>$11.99</strong> ($8 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093711,2170745"">Full/Queen</a> for <strong>$16.19</strong> ($11 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093714,2170745"">King</a> for <strong>$17.99</strong> ($12 off)
 </li>
</ul>",2170745,free shipping w/ Prime,3,BEDDING,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hzjsenekkpw7cvdmvoiq",2018-01-03T06:29:38-05:00,from $12,Bedsure Diamond-Pattern Duvet Cover Set,https://www.dealnews.com/Bedsure-Diamond-Pattern-Duvet-Cover-Set-from-12-free-shipping-w-Prime/2170745.html,
,"Shively Sporting Goods via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170619"">adidas Men's Climalite Team Speed Basketball Training Pants</a> in Gray for <b>$21.99</b> with <b>free shipping</b>. That's tied with last week's mention, $33 off list, and the lowest price we could find. They're available in sizes from L to XXL.",2170619,free shipping,4,ACTIVEWEAR,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tvbcmtwh0xvyadeyg2pk",2018-01-03T06:25:12-05:00,$22,adidas Men's Climalite Pants (Large sizes),https://www.dealnews.com/adidas-Mens-Climalite-Pants-Large-sizes-for-22-free-shipping/2170619.html,
,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170742"">Gap</a> takes <strong>up to 60% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093705,2170742"">men's, women's, and kids' styles</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093708,2170742"">Great Big Winter Sale</a>. Even better, cut an <strong>extra 40% off</strong> via coupon code ""HAPPY"". Plus, coupon code ""ITSFREE"" bags <strong>free shipping</strong> (adding a savings of $7 for orders under $50). Deal ends January 8.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s319/Gap/"">Gap Coupons</a>.</p>",2170742,free shipping,4,CLOTHING & ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vhp187pny4oevdo8en9w",2018-01-03T06:22:54-05:00,Up to 60% off + 40% off,Gap Great Big Winter Sale,https://www.dealnews.com/Gap-Great-Big-Winter-Sale-Up-to-60-off-40-off-free-shipping/2170742.html,
,"Pisen Electronics via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170637"">Pisen International Travel 4-Port USB Charger</a> in Black or White for $13.99. Coupon code ""OELF7FO4"" cuts it to <strong>$9.09</strong>. With <strong>free shipping</strong> for Prime members, that's $4 under last month's mention, $5 off list, and the lowest price we could find. It includes a UK plug, EU plug, and US plug. Deal ends January 14.",2170637,free shipping w/ Prime,3,CELL PHONE CHARGERS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ixuoa1udosadua4erpc6",2018-01-03T06:19:05-05:00,$9,Pisen International Travel 4-Port USB Charger,https://www.dealnews.com/Pisen-International-Travel-4-Port-USB-Charger-for-9-free-shipping-w-Prime/2170637.html,
,"As one of its daily deals, Amazon takes <strong>up to 80% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170625"">Kindle eBooks</a>, with deals starting from <strong>99 cents</strong>. Featured titles include <i>Ali: A Life</i> (pictured), <i>Tribe of Mentors: Short Life Advice from the Best in the World</i>, and <i>You Do You: How to Be Who You Are and Use What You've Got to Get What You Want</i>. Deal ends today.",2170625,,4,EBOOKS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pzx836ptuny4llk53mdb",2018-01-03T06:14:08-05:00,"Up to 80% off, from $1",Kindle eBooks at Amazon,https://www.dealnews.com/Kindle-eBooks-at-Amazon-Up-to-80-off-from-1/2170625.html,
,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170712"">Natrogix 8.5-oz. Green Superfood Powder</a> in Chocolate for $14.99. Coupon code ""LZ9WN5YT"" cuts that to <strong>$10.94</strong>. Plus, Prime members bag <strong>free shipping</strong>. That's tied with our mention of another flavor from two weeks ago and the lowest price we could find for any flavor by $15. Deal ends January 13.",2170712,free shipping w/ Prime,3,SUPPLEMENTS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kawi3hfqh5qejvdqr10x",2018-01-03T06:09:49-05:00,$11,Natrogix 8.5-oz. Green Superfood Powder,https://www.dealnews.com/Natrogix-8.5-oz.-Green-Superfood-Powder-for-11-free-shipping-w-Prime/2170712.html,
,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170733"">Caravan Sports Zero Gravity Chair 2-Pack</a> in Beige or Blue for <strong>$59.98</strong> with <strong>free shipping</strong>. (Non-members pay a $6 surcharge.) That's the lowest price we could find by $8. (For further comparison, we saw one chair for $27 in September.) Each features a 300-lb. capacity and folds for storage. Deal ends January 7.",2170733,free shipping,3,PATIO CHAIRS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pu9hmxjm2tmdabloeekr",2018-01-03T06:07:58-05:00,from $60,Caravan Zero Gravity Chair 2-Pack,https://www.dealnews.com/Caravan-Zero-Gravity-Chair-2-Pack-from-60-free-shipping/2170733.html,
,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170739"">Home Depot</a> cuts <strong>up to 40% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093696,2170739"">bedding, furniture, decor, and more</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093699,2170739"">White Sale</a>. Choose in-store <strong>pickup</strong> to dodge the shipping fees, which start around $5.99, or bag free shipping on orders of $45 or more. (Larger items may incur additional fees.)<br>
<br>
Note: Coupon code ""MOREDECOR"" may bag extra discounts on select home accent and wall decor orders, but we couldn't find any eligible items.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s958/Home-Depot/"">Home Depot Coupons</a>.</p>",2170739,free shipping w/ $45,5,HOME & GARDEN,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t4ri2iy3xr4frght7n3w",2018-01-03T06:03:31-05:00,Up to 40% off,Home Depot White Sale,https://www.dealnews.com/Home-Depot-White-Sale-Up-to-40-off-free-shipping-w-45/2170739.html,
,"Looking for a new credit card? Check out our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a> which features several offers available to applicants from a wide range of credit ratings. Some notable cards include Chase Sapphire Preferred®, Chase Freedom Unlimited®, and United MileagePlus® Explorer Card.",2168621,,,CREDIT CARDS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hozow7nxzxkuqstccluu",2018-01-01T00:01:00-05:00,,Latest Credit Card Offers from Chase,"https://www.dealnews.com/lw/click.html?20,2,2168621",
