editors_choice,title,time_published,shipping,picture_url,time_modified,category,uuid,price,url,hotness,description
,Chase Sapphire Reserve℠ Card,2018-01-03T12:34:27-05:00,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dgnflhffkigi97koojiy",,CREDIT CARDS,2171069,"50,000 bonus points","https://www.dealnews.com/lw/click.html?20,2,2171069",,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171069"">Chase Sapphire Reserve℠ Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094638,2171069"">$4,000 or more</a> on purchases in the first three months from account opening – that's $750 toward travel when you redeem through Chase Ultimate Rewards®. Plus, automatically receive <strong>up to $300 in statement credits</strong> as reimbursement for travel purchases charged to your card each account anniversary year. Also, earn <strong>3X points</strong> for every $1 spent on travel and dining at restaurants worldwide, and 1 point for every $1 spent on all other purchases. There's a $450 annual fee; $75 for each authorized user. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094641,2171069"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>"
,"Refurb TCL 55"" 4K LED UHD Roku Smart TV",2018-01-06T11:33:37-05:00,pickup at Walmart,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fsxnxj5kuaun2mm0wbc1",,TVS,2173199,$335,https://www.dealnews.com/Refurb-TCL-55-4-K-LED-UHD-Roku-Smart-TV-for-335-pickup-at-Walmart/2173199.html,3,"Walmart continues to offer the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173199"">TCL 55"" 4K LED-Backlit Ultra HD Roku Smart Television</a>, model no. 55S401, for <strong>$335</strong> with <strong>free shipping</strong>. That's tied with our refurb mention from two weeks ago and $65 under the lowest price we could find for a new one today. It features content streaming via Roku TV (Netflix, YouTube, Hulu Plus, more), USB, and three HDMI inputs.<br>
<br>
Note: A 90-day warranty applies, but it's unclear who backs it."
,Dell Dual Monitor Arm,2018-01-06T11:24:26-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jqaobuzdu9psncsgb6ff",,MONITORS,2173181,$190,https://www.dealnews.com/Dell-Dual-Monitor-Arm-for-190-free-shipping/2173181.html,2,"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173181"">Dell Dual Monitor Arm</a> for <strong>$189.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $41. It features a -20° to 60° tilt, 11.9 cm lift, 180° pan, and is compatible with any VESA compliant monitors."
,MuscleTech Whey Protein Powder 10-lb. Bag,2018-01-06T11:23:02-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wwf3evfi4gdcnolkzhjl",,SUPPLEMENTS,2173157,$52,https://www.dealnews.com/Muscle-Tech-Whey-Protein-Powder-10-lb.-Bag-for-52-free-shipping/2173157.html,3,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173157"">MuscleTech NitroTech Whey Protein Powder 10-lb. Bag</a> in Milk Chocolate for <strong>$52.20</strong> with <strong>free shipping</strong> via the steps below. That's the lowest price we could find by $32. It delivers 30g of whey protein per serving. To get this deal:
<ol>
 <li>Select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099009,2173157"">MuscleTech Whey Protein Powder 10-lb. Bag</a> in Milk Chocolate for $84.94
 </li>
 <li>clip the 10% off coupon on the product page
 </li>
 <li>order via Subscribe &amp; Save to drop it to <strong>$52.20</strong> in-cart
 </li>
</ol>
Note: Be sure to cancel your subscription once your order ships to avoid being billed for further shipments."
,Quadro Nvidia P1000 4GB Video Card,2018-01-06T11:20:35-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kcxofirt0dch8nf1yumo",,VIDEO CARDS,2173190,$261,https://www.dealnews.com/Quadro-Nvidia-P1000-4-GB-Video-Card-for-261-free-shipping/2173190.html,3,"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173190"">Quadro Nvidia P1000 4GB Video Card</a> for <strong>$261.24</strong> with <strong>free shipping</strong>. That's $264 off list and the lowest price we could find. It features four mini DisplayPort 1.4 connectors and Nvidia Mosaic, Iray, and MentalRay support."
,Udemy Cryptocurrency Trading Course,2018-01-06T11:15:27-05:00,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/guqaybvxnr83cq3gno2u",,SOFTWARE,2173184,$11,https://www.dealnews.com/Udemy-Cryptocurrency-Trading-Course-for-11/2173184.html,3,"Udemy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173184"">Cryptocurrency Trading Course</a> for <strong>$10.99</strong>. That's $189 off and the lowest price we could find, although we saw it for a buck less in November. The course contains lifetime access to 3.5 hours of video content. Deal ends January 10."
,Dell Slim Single Monitor Arm,2018-01-06T11:13:16-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gswwtxh0aiwmiws310dh",,MONITORS,2173178,$63,https://www.dealnews.com/Dell-Slim-Single-Monitor-Arm-for-63-free-shipping/2173178.html,3,"Dell Small Business offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173178"">Dell Slim Single Monitor Arm</a> for <b>$62.69</b> with <b>free shipping</b>. That's $27 off list and the lowest price we could find. It supports monitors up to 27"" and features -25° to 41° tilt and -90° to 90° pan adjustments."
,"LG 55"" 4K LED HDR UHD Smart TV",2018-01-06T10:44:27-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fb6z9bx4puxgcg8qxjhg",,TVS,2173175,$468,https://www.dealnews.com/LG-55-4-K-LED-HDR-UHD-Smart-TV-for-468-free-shipping/2173175.html,3,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173175"">LG 54.6"" 4K HDR IPS LED-Backlit LCD Ultra HD Smart Television</a>, model no. 55UJ6200, for an in-cart price of <strong>$468</strong> with <strong>free shipping</strong>. That's tied with our mention from a week ago and the lowest price we could find now by $29.<br>
<br>
It features a 3840x2160 (4K, 2160p) native resolution, active HDR, 4K upscaling, 802.11ac wireless, webOS 3.5 (with access to Hulu Plus, Netflix, YouTube, more), USB, and three HDMI inputs."
,Ergotech Freedom Stand Dual Workstation,2018-01-06T10:35:57-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qhi4wxum2l6srb6tpvgb",,COMPUTER DESKS,2173172,$350,https://www.dealnews.com/Ergotech-Freedom-Stand-Dual-Workstation-for-350-free-shipping/2173172.html,2,"Dell Small Business offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173172"">Ergotech Freedom Stand Dual Workstation</a> for <b>$349.99</b> with <b>free shipping</b>. That's the lowest price we could find by $50. It allows one to convert any surface into a sit-stand desk and features a height-adjustable keyboard tray, cup holder, and two removable VESA monitor mount points."
,"Dell SATA 6Gbps 2.5"" SSDs",2018-01-06T10:13:22-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zft1hgji2gyfqy0ypk3l",,INTERNAL HARD DRIVES,2173169,from $90,https://www.dealnews.com/Dell-SATA-6-Gbps-2.5-SSDs-from-90-free-shipping/2173169.html,3,"Dell Small Business discounts a range of its Dell Serial ATA 6Gb/s 2.5"" SSDs, with prices starting from <strong>$89.99</strong>, as listed below. Plus, these orders bag <b>free shipping</b>. The deals:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173169"">Dell 256GB SATA 6Gb/s 2.5"" SSD</a> for <b>$89.99</b> (low by $81)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099003,2173169"">Dell 256GB SATA SATA 6Gb/s 2.5"" SSD Upgrade Kit</a> for <b>$109.99</b> (low by $85f)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099006,2173169"">Dell 512GB SATA 6Gb/s 2.5"" SSD</a> for <b>$169.99</b> (low by $164)
 </li>
</ul>"
,Chase Hyatt Credit Card,,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rbwame7pifyb2ma4ptgm",2018-01-04T14:47:58-05:00,CREDIT CARDS,2171978,"40,000 bonus points","https://www.dealnews.com/lw/click.html?20,2,2171978",,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171978"">Chase Hyatt Credit Card</a> and earn <strong>40,000 bonus points</strong> after you spend ""https://click.linksynergy.com/fs-bin/click?id=NKa3hZyYoHA&offerid=556944.10002904&type=3&subid=0"" partno="""" vendor=""1642"" image_link=""0"" mfg=""0"" category=""522"" price="""" rel="""" landing_url=""https://creditcards.chase.com/lp/hyatt/naep40k/?CELL=6H8X&AFFID=NKa3hZyYoHA-DN93Xbht5lVwxtlSt2eZkw&pvid=&jp_cmp=cc/556944/aff/3-10002904/na"" magic_url_info=""Linkshare (Default) - 113401"">$2,000 or more on purchases in the first three months from account opening. (Free nights start at just 5,000 points.) Plus <strong>1 free night</strong> each year after your cardmember anniversary at any Category 1-4 hotel or resort. Also, receive <strong>5,000 Bonus Points</strong> after you add the first authorized user and make a purchase within 3 months of opening your account. This product is available if you do not have this card and have not received a new cardmember bonus for this card in the past 24 months. Also, earn <strong>3 Bonus Points</strong> per $1 spent at all Hyatt hotels or resorts, <strong>2 Bonus Points</strong> per $1 spent at restaurants, on airline tickets purchased directly from the airline, and at car rental agencies, and <strong>1 Bonus Point</strong> per $1 spent on all other purchases made with your card. (Points don't expire as long as your Hyatt Credit Card account is open.) A $75 annual fee applies. Finally, there's no foreign transaction fees on purchases made outside the United States. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096888,2171978"">click here</a>. This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>"
,"Linksys AC Dual-Band Router, Roccat Headset",2018-01-06T09:51:19-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/b66dlrfxoxuedi7teeaj",,ROUTERS,2173166,$300,https://www.dealnews.com/Linksys-AC-Dual-Band-Router-Roccat-Headset-for-300-free-shipping/2173166.html,1,"Dell Small Business offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173166"">Linksys AC3200 Dual-Band Gigabit Router</a>, bundled with the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098991,2173166"">Roccat Cross Over-Ear Headset</a>, for <strong>$299.98</strong> with <strong>free shipping</strong>. That's $20 under the lowest price we could find for these items sold separately elsewhere.<br>
<br>
The router features four antennas, four gigabit LAN ports, two USB ports, and a prioritization engine designed to protect against lag spikes. The headset features 50mm neodymium drivers, swappable in-line and boom arm mics, and a 20Hz to 20kHz frequency response."
,BeatMaker for iPhone / iPad,,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hzzg8njy7ylts2tyg3ea",2018-01-06T11:51:36-05:00,IPHONE / IPOD APPS,2173160,free,https://www.dealnews.com/Beat-Maker-for-iPhone-iPad-for-free/2173160.html,4,"iTunes offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173160"">BeatMaker for iPhone / iPad</a> for <strong>free</strong>. That's $5 off list and the lowest price we could find. It features 16 sample-based trigger pads with multi-touch support, a multi-track song sequencer, and live pattern recording."
,"Used Wii U 32GB w/ Used Mario, Smash Bros",2018-01-06T09:29:16-05:00,$9 shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/atkqlfo4roahrvgzyefv",,CONSOLES,2173163,$170,https://www.dealnews.com/Used-Wii-U-32-GB-w-Used-Mario-Smash-Bros-for-170-9-s-h/2173163.html,2,"GameStop offers the used <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173163"">Nintendo Wii U 32GB Console</a> in Black bundled with used copies of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098979,2173163"">Super Mario 3D World for Wii U</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098982,2173163"">Super Smash Brothers for Wii U</a> for <strong>$169.99</strong> plus <strong>$8.99</strong> for shipping. That's about $44 under what you'd expect to pay for a refurbished console with these games new elsewhere.<br>
<br>
Note: No warranty info is provided; however, each item is covered by a 7-day money-back guarantee."
,Exfoliating Loofah Back Scrubber,2018-01-06T09:28:08-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ebiqtqixfghsf0lhergr",,BED & BATH,2173145,$5,https://www.dealnews.com/Exfoliating-Loofah-Back-Scrubber-for-5-free-shipping/2173145.html,3,"As one of its daily deals, 13 Deals offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173145"">Exfoliating Loofah Back Scrubber</a> for <strong>$5</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $6. The front side offers a 4"" x13"" loofah sponge for exfoliating, while the back side polishes and smooths skin with soft cotton, and measures 4"" x 32"". Deal ends today.<br>
<br>
Note: Want to stock up? Order <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098985,2173145"">three or more loofahs</a> to drop the per-loofah price to $4."
True,Yankee Candle Large Jar Candle,,pickup at Walmart,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cbi4dylaxiknjzsrkwwh",2018-01-06T12:08:26-05:00,DECOR,2173154,$11,https://www.dealnews.com/Yankee-Candle-Large-Jar-Candle-for-11-pickup-at-Walmart/2173154.html,3,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173154"">Yankee Candle Large Jar Candle</a> in Honey Clementine for <b>$10.99</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098976,2173154"">Amazon</a> charges the same, although it's not expected to ship for 1 to 2 months.) Choose in-store <b>pickup</b> to dodge the $5.99 shipping fee. That's the lowest price we could find by $11. It measures 6.6"" x 4"" and offers up to 150 hours of burn time."
,Tacklife Tape Measure,2018-01-06T08:43:40-05:00,free shipping w/ Prime,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/udtyqfih5crkrcz5hdxv",,TOOLS & HARDWARE,2173151,from $8,https://www.dealnews.com/Tacklife-Tape-Measure-from-8-free-shipping-w-Prime/2173151.html,3,"Tacklife Direct via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173151"">Tacklife Tape Measure</a> for $13.97. Coupon code ""ITE6FSIU"" cuts the price to <strong>$8.38</strong>. With <strong>free shipping</strong> for Prime members, that's $6 off list and the lowest price we could find. It measures up to 66-feet long, features anti-slip gripping, and is impact resistant. Deal ends January 10.<br>
<br>
Note: The Tacklife Tape Measure is also available in a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098973,2173151"">larger size</a> for $11.38 via the same coupon code. It measures 164-feet long."
,Burton Bullet Snowboard Tool,2018-01-06T08:39:39-05:00,pickup at REI,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ouypvnwxyocj0d09haae",,CAMPING & OUTDOORS,2173130,$10,https://www.dealnews.com/Burton-Bullet-Snowboard-Tool-for-10-pickup-at-REI/2173130.html,2,"REI offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173130"">Burton Bullet Snowboard Tool</a> in Black for <strong>$9.83</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's tied with our November mention and is the lowest price we could find by $8. It features a fold-out handle, a secret compartment, a #2 and #3 Phillips screwdriver as well as a flathead, 4mm Allen key, and a 10mm wrench."
,Tacklife Noise Reduction Safety Ear Muffs,2018-01-06T08:12:05-05:00,free shipping w/ Prime,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/padglhmwh1villm8lan2",,TOOLS & HARDWARE,2173148,$9,https://www.dealnews.com/Tacklife-Noise-Reduction-Safety-Ear-Muffs-for-9-free-shipping-w-Prime/2173148.html,3,"Tacklife via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173148"">Tacklife Noise Reduction Safety Ear Muffs</a> for $10.97. Coupon code ""IQ4G2LZS"" cuts them to <strong>$8.78</strong>. With <strong>free shipping</strong>, that's tied with our mention from three weeks ago, $2 off, and the lowest price we could find. They feature a noise reduction sponge, retractable stainless steel at the end of headband for a custom fit, and anti-sweat material. Deal ends January 10."
,Chefman 5.5-Liter Hot Air Fryer,2018-01-06T07:59:58-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/chmbcugg0pnd3hmm7nkw",,SMALL APPLIANCES,2173136,$80,https://www.dealnews.com/Chefman-5.5-Liter-Hot-Air-Fryer-for-80-free-shipping/2173136.html,3,"As one of its daily deals, Best Buy via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173136"">Chefman 5.5-Liter Hot Air Fryer</a> for <strong>$79.99</strong> with <strong>free shipping</strong>. That's $80 off and the lowest price we could find. It features an adjustable thermostat and timer. Deal ends today."
,Verizon Fios Gigabit Connection w/ TV,2018-01-06T11:41:30-05:00,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nznrhqifi6vmgvfqqjjc",,COMPUTER SERVICES,2173208,$75 per month,https://www.dealnews.com/Verizon-Fios-Gigabit-Connection-w-TV-for-75-per-month/2173208.html,,"Verizon offers new customers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173208"">Verizon Fios Double Play Bundle</a>, which includes 940/880 Mbps Fios Gigabit Internet and Verizon Fios Custom TV, for <strong>$74.99 per month</strong>. (This price is valid for 12 months.) Also, the standard setup charge is waived, a $99.99 value. Plus, switch to Fios and get out of your contract with <strong>up to a $500 credit</strong> to help cover your early termination fee."
,Urban Decay at Nordstrom Rack,,free shipping w/ $100,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d27napithasg1h4x9uze",2018-01-06T12:39:10-05:00,MAKEUP,2173133,Up to 67% off,https://www.dealnews.com/Urban-Decay-at-Nordstrom-Rack-Up-to-67-off-free-shipping-w-100/2173133.html,4,"Nordstrom Rack cuts <strong>up to 67% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173133"">Urban Decay makeup</a>, with deals starting from <strong>$6.97</strong>. Shipping starts at <strong>$5.95</strong>, but orders of $100 or more bag free shipping."
,Gordini Women's Polartec Fleece Gloves,2018-01-06T07:50:41-05:00,pickup at REI,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uuzxgb1ug2heiuhblcgs",,ACCESSORIES,2173127,$12,https://www.dealnews.com/Gordini-Womens-Polartec-Fleece-Gloves-for-12-pickup-at-REI/2173127.html,3,"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173127"">Gordini Women's Polartec Fleece Gloves</a> in Black for <strong>$11.73</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's $8 off and the lowest price we could find. They're available in sizes from S to L."
,Puma Boxer Brief Multipacks,2018-01-06T07:45:03-05:00,$5 shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kzfjwdrvrmyb1mpko3v7",,UNDERWEAR,2173103,from $10,https://www.dealnews.com/Puma-Boxer-Brief-Multipacks-from-10-5-s-h/2173103.html,3,"As one of its daily deals, Woot offers a selection of PUMA Boxer Brief Multipacks in several colors from <strong>$9.99</strong> as listed below. Plus, shipping adds <strong>$5</strong>. The deals, which end today:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173103"">PUMA Boxer Briefs 3-Pack</a> for <strong>$9.99</strong> (pictured, low by $8)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098937,2173103"">PUMA Men's Cotton Boxer Briefs 6-Pack</a> for <strong>$21.99</strong> ($23 off list)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098940,2173103"">PUMA Men's Tech Boxer Briefs 6-Pack</a> for <strong>$21.99</strong> (low by $7)
 </li>
</ul>"
,4K UHD Movie Downloads at FandangoNow,2018-01-06T07:41:57-05:00,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/u1m7amo3uotd7onmyll7",,VIDEO DOWNLOADS,2173124,20% off,https://www.dealnews.com/4-K-UHD-Movie-Downloads-at-Fandango-Now-20-off/2173124.html,3,"FandangoNow takes <strong>20% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098961,2173124"">movie downloads in 4K UHD</a> via coupon code ""4K18"". Deal ends February 5. A couple of best bets, with prices after discount:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173124"">Blade Runner 2049 in 4K UHD</a> for <strong>$15.99</strong> (pictured, low by $4)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098964,2173124"">Spider-Man Homecoming in 4K UHD</a> for <strong>$15.99</strong> (low by $4)
 </li>
</ul>"
,Neurona OpticHD WiFi Action Cam Sunglasses,,$5 shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jty9altldcxxtz4bwixg",2018-01-06T12:38:20-05:00,DIGITAL CAMCORDERS,2173121,$45,https://www.dealnews.com/Neurona-Optic-HD-Wi-Fi-Action-Cam-Sunglasses-for-45-5-s-h/2173121.html,4,"As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173121"">Neurona OpticHD WiFi Action Cam Sunglasses</a> for <strong>$44.99</strong> plus <strong>$5</strong> for shipping. That's the lowest price we could find by $15. They feature a microSD memory card slot and 100& U.V. protection. Deal ends today."
,Char-Broil Charcoal/Gas Hybrid 3-Burner Grill,2018-01-06T07:33:24-05:00,$5 shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qe8vpqwxhlhq7iw1iphi",,BBQS & GRILLS,2173118,$180,https://www.dealnews.com/Char-Broil-Charcoal-Gas-Hybrid-3-Burner-Grill-for-180-5-s-h/2173118.html,3,"As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173118"">Char-Broil Charcoal/Gas Hybrid 3-Burner Grill</a> for <strong>$179.99</strong> plus <strong>$5</strong> for shipping. That's $65 off and the lowest price we could find. It features a 545-square inch cooking area, 30,000-BTU stainless steel main chamber, and a 12,000-BTU side burner. Deal ends today."
