hotness,url,picture_url,time_published,price,uuid,editors_choice,time_modified,description,shipping,category,title
4,https://www.dealnews.com/Arm-Hammer-2-in-1-Detergent-Power-97-Pack-for-7-free-shipping-w-Prime/2173571.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hnhsee5rljcs9gw4utbj",2018-01-07T20:05:14-05:00,$7,2173571,,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173571"">Arm &amp; Hammer 2-in-1 Laundry Detergent Power Paks 97-Count Bag</a> for $9.87. Clip the $3 off coupon on the product page to drop it to <b>$6.97</b>. Plus, Amazon Prime members bag <b>free shipping</b>. That's a buck under our mention from last May and about $3 under what you'd expect to pay at local stores.",free shipping w/ Prime,LAUNDRY SUPPLIES,Arm & Hammer 2-in-1 Detergent Power 97-Pack
3,https://www.dealnews.com/Jason-Maxwell-Womens-Zipped-Collar-Jacket-for-8-pickup-at-Walmart/2173610.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dyygf4h5ccluf3ud0nhu",2018-01-07T19:59:37-05:00,$8,2173610,,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173610"">Jason Maxwell Women's Shirred Waist Zipped Collar Jacket</a> in several colors (Taupe pictured) for <b>$7.50</b>. Choose in-store <b>pickup</b> to avoid the $5.99 shipping fee. That's $20 off list and the lowest price we could find. It's available in select sizes from S to XXL.",pickup at Walmart,COATS,Jason Maxwell Women's Zipped Collar Jacket
4,https://www.dealnews.com/Velcro-Sticky-Back-18-x-3-4-Tape-for-3-free-shipping-w-Prime/2173607.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/k9ke6n3djci11rqqeliq",2018-01-07T19:44:11-05:00,$3,2173607,,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173607"">Velcro Sticky Back 18"" x 3/4"" Tape</a> in Clear for <b>$2.97</b>. Plus, Amazon Prime members bag <b>free shipping</b>. That's the lowest price we could find by a buck, outside of the mention below. This hook-and-loop fastener purports to adhere to most surfaces.<br>
<br>
A close price: <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099291,2173607"">Home Depot</a> charges a few cents more with in-store pickup.",free shipping w/ Prime,SUPPLIES,"Velcro Sticky Back 18"" x 3/4"" Tape"
3,https://www.dealnews.com/Unlocked-Moto-X4-32-GB-4-G-Smartphone-w-Offers-for-280-w-Prime-free-shipping/2173568.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uiftphqkf1vvid30kao4",2018-01-07T19:43:10-05:00,$280 w/Prime,2173568,,,"Exclusively for Prime members, Amazon offers the 4th-generation <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173568"">Unlocked Motorola Moto X4 32GB 4G LTE Android Smartphone with Lockscreen Offers and Ads</a> in Super Black or Sterling Blue for <strong>$279.99</strong> with <strong>free shipping</strong>. That's tied with our mention from a month ago as the lowest price we've seen. (It's the best deal for the phone without lockscreen offers by $70.) This IP68 water-resistant phone works with Amazon Alexa and features a Qualcomm Snapdragon 630 2.2GHz 8-core processor, 5.2"" 1920x1080 (1080p) touchscreen, 3GB RAM, 32GB storage, 12- and 8-megapixel dual rear cameras, 16-megapixel front-facing camera, 4K video recording, 802.11ac wireless, Bluetooth 4.2, USB-C, fingerprint reader, and Android 7.1 OS (Nougat).",free shipping,ANDROID PHONES,Unlocked Moto X4 32GB 4G Smartphone w/ Offers
4,https://www.dealnews.com/Bic-Round-Stic-Grip-Xtra-Comfort-Pen-36-Pack-for-3-free-shipping-w-Prime/2173604.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dkib3z6yikipxekl2doy",2018-01-07T19:02:41-05:00,$3,2173604,,,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173604"">Bic Round Stic Grip Xtra Comfort Pen 36-Pack</a> in Black and Blue for <b>$2.85</b> with <b>free shipping</b>. That's $1 under our mention from a month ago and the lowest price we've seen. (It's a current low by $2.) The pack includes 12 blue pens and 24 black pens.",free shipping w/ Prime,SUPPLIES,Bic Round Stic Grip Xtra Comfort Pen 36-Pack
3,https://www.dealnews.com/Cap-Barbell-Cast-Iron-Kettlebells-from-7-pickup-at-Walmart/2173565.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o2dq4xalo59laawp7dwd",2018-01-07T18:54:06-05:00,from $7,2173565,,,"Walmart offers a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099288,2173565"">Cap Barbell Cast Iron Kettlebells</a>, with prices starting from <strong>$6.90</strong>. Opt for in-store <b>pickup</b> to avoid the $5.99 shipping charge, or get free shipping with orders of $35 or more. A couple of notable sizes:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173565"">Cap Barbell 10-lb. Cast Iron Kettlebell</a> for <strong>$6.90</strong> (low by $4)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099279,2173565"">Cap Barbell 15-lb. Cast Iron Kettlebell</a> for <strong>$11.35</strong> (low by $8)
 </li>
</ul>",pickup at Walmart,EXERCISE EQUIPMENT,Cap Barbell Cast Iron Kettlebells
4,https://www.dealnews.com/Good-Cook-3-Piece-Mixing-Spoon-Set-for-2-free-shipping-w-Prime/2173598.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rknolsqpjcoh5gqqvpnt",2018-01-07T18:52:33-05:00,$2,2173598,,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173598"">Good Cook 3-Piece Mixing Spoon Set</a> for <b>$1.93</b>. Plus, Amazon Prime members bag <b>free shipping</b>. That's the lowest price we could find by $2. These stain-resistant plastic spoons are safe for all non-stick surfaces.",free shipping w/ Prime,KITCHEN,Good Cook 3-Piece Mixing Spoon Set
3,https://www.dealnews.com/Kingdom-Cares-Facial-Cleansing-Brush-for-21-free-shipping-w-Prime/2173601.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mivhvzep4zohmeq82omu",2018-01-07T18:34:11-05:00,$21,2173601,,,"Kingdom Cares Beauty via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173601"">Kingdom Cares Facial Cleansing Brush</a> in White for $29.99. Clip the 30% off coupon on the product page to drop it to <b>$20.99</b>. With <b>free shipping</b>, that's $3 under our mention from two weeks ago, $9 off, and the lowest price we've seen. It includes three attachments and two brush heads.",free shipping w/ Prime,SKIN CARE,Kingdom Cares Facial Cleansing Brush
3,https://www.dealnews.com/Black-Decker-Table-Top-HEPA-Air-Cleaner-for-15-pickup-at-Walmart/2173595.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hd6qexmvskhflnubbgfw",,$15,2173595,True,2018-01-07T21:03:28-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173595"">Black + Decker Table Top HEPA Fresh Air Cleaner</a> for <b>$14.88</b>. Opt for in-store <b>pickup</b> to avoid the $5.99 shipping charge. That's $13 off and tied with our September mention as the lowest price we've seen. It's designed for medium to small rooms.",pickup at Walmart,AIR PURIFIERS,Black + Decker Table Top HEPA Air Cleaner
,"https://www.dealnews.com/lw/click.html?20,2,2173238","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bv3urdvfxvmwirwdv9qm",2018-01-06T12:18:57-05:00,"20,000 bonus points offer",2173238,,,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173238"">Bank of America® Travel Rewards credit card</a> and receive <strong>20,000 bonus points</strong> if you make at least $1,000 in purchases in the first 90 days of account opening – that can be redeemed for a <strong>$200 Statement Credit towards travel purchases</strong>. Plus, earn <strong>1.5 points</strong> per $1 spent on all purchases, with <strong>no annual fee</strong> and <strong>no foreign transaction fees</strong>. Redeem points for a statement credit to pay for flights, hotels, vacation packages, cruises, rental cars, or baggage fees with no blackout dates. There's no limit to the total number of points you can earn and points don't expire. Finally, there's a <strong>0% introductory APR</strong> for <strong>12 billing cycles</strong> for purchases, then <strong>16.24% - 24.24% variable APR</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,CREDIT CARDS,Bank of America® Travel Rewards Credit Card
3,https://www.dealnews.com/Vivo-Dual-LCD-Monitor-Desk-Mount-Stand-for-30-pickup-at-Walmart/2173592.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wmtntes4c3onlnwk8h95",2018-01-07T18:22:23-05:00,$30,2173592,,,"Vivo via Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173592"">Vivo Dual LCD Monitor Desk Mount Stand</a> in Black for <strong>$29.99</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's $3 under our mention from a year ago and the lowest total price we could find by $23. It supports two LCD screens, each up to 22-lbs. and 27"".",pickup at Walmart,TV WALL MOUNTS,Vivo Dual LCD Monitor Desk Mount Stand
3,https://www.dealnews.com/Remington-Verso-Wet-Dry-Shaver-Trimmer-for-48-free-shipping/2173577.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w7g4nt7mhde52xkg7tc3",,$48,2173577,True,2018-01-07T21:03:07-05:00,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173577"">Remington Verso Wet and Dry Shaver &amp; Trimmer</a> in Gold for $59.99. Clip the 20% off coupon to cut the price to <strong>$47.99</strong>. (A $10 Remington coupon will apply automatically with the 20% off coupon.) With <strong>free shipping</strong>, that's $4 under our May mention and the lowest price we've seen. (It's the best deal now by $12.) It includes five attachments.",free shipping,SHAVING & GROOMING,Remington Verso Wet/Dry Shaver & Trimmer
3,https://www.dealnews.com/Hoover-React-Bagless-Upright-Vacuum-for-146-free-shipping/2173574.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xbffixwsj1iqzri3qmup",,$146,2173574,True,2018-01-07T21:01:49-05:00,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173574"">Hoover React Powered Reach Premier Bagless Upright Vacuum</a> for <s>$146.58</s> with <strong>free shipping</strong>. That's $52 under our Cyber Monday mention and the lowest price we've seen. (It's a current low by $133.) It features a 13"" cleaning path, 6-foot hose, 30-foot cord, crevice tool, brush, flexible dusting brush, baseboard duster, hard floor duster, upholstery tool, powered stair tool, and accessory bag.<br>
<br>
<i>Update</i>: The price has dropped to <strong>$145.55</strong>.",free shipping,VACUUM CLEANERS,Hoover React Bagless Upright Vacuum
3,https://www.dealnews.com/Flash-Furniture-Mid-Back-Exec-Swivel-Chair-for-116-free-shipping/2173421.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zal0nqksdcz2glgobu7v",,$116,2173421,,2018-01-07T21:39:19-05:00,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173421"">Flash Furniture Mid-Back Executive Swivel Chair</a> in Black for <strong>$116.06</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $24. It features lumbar support, mesh back, tilt lock mechanism, and pneumatic height adjustment.",free shipping,OFFICE CHAIRS,Flash Furniture Mid-Back Exec Swivel Chair
4,https://www.dealnews.com/Zinus-Modern-Studio-Collection-Table-for-32-free-shipping/2173418.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fzden3gfobjgjsswynsz",,$32,2173418,,2018-01-07T21:12:15-05:00,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173418"">Zinus Modern Studio Collection Table</a> for <strong>$31.87</strong> with <strong>free shipping</strong>. That's $38 off and the lowest price we could find. It features a storage basket and measures 20"" x 20"".",free shipping,TABLES,Zinus Modern Studio Collection Table
3,https://www.dealnews.com/Monarch-Specialties-Left-or-Right-Corner-Desk-for-226-free-shipping/2173415.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gnqfll1rjljgeopix7gt",,$226,2173415,,2018-01-07T21:38:54-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173415"">Monarch Specialties Hollow-Core Left or Right Facing Corner Desk</a> in White for <strong>$226.17</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099183,2173415"">Amazon</a> charges the same.) That's the lowest price we could find by $12. It measures 60"" x 47"" x 30"".",free shipping,DESKS,Monarch Specialties Left or Right Corner Desk
3,https://www.dealnews.com/Furinno-Simple-Design-Coffee-Table-for-21-free-shipping-w-Prime/2173412.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r85nyjf0wryvmfjop8gd",,$21,2173412,,2018-01-07T21:38:13-05:00,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173412"">Furinno Simple Design Coffee Table</a> in Espresso for <strong>$20.79</strong> with <strong>free shipping</strong>. That's the lowest price we could find by a buck. It measures 35.5"" x 21.5"" x 16.25"".",free shipping w/ Prime,TABLES,Furinno Simple Design Coffee Table
4,https://www.dealnews.com/Food-Saver-Quick-2.25-Quart-Marinator-for-11-free-shipping-w-Prime/2173427.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/y3xjswbsla6lk1msndf7",,$11,2173427,,2018-01-07T21:11:38-05:00,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173427"">FoodSaver 2.25-Quart Quick Marinator</a> for <strong>$11.23</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2, although saw it for $8 less on Black Friday. Designed for use with FoodSaver vacuum sealing systems, it infuses foods with flavor in minutes. It's also dishwasher-safe and BPA-free.",free shipping w/ Prime,KITCHEN,FoodSaver Quick 2.25-Quart Marinator
