url,uuid,title,category,hotness,price,time_published,description,time_modified,editors_choice,shipping,picture_url
https://www.dealnews.com/Husky-10-and-11-Piece-Drive-Socket-Sets-for-7-free-shipping/2168795.html,2168795,Husky 10- and 11-Piece Drive Socket Sets,HAND TOOLS,4,$7,2017-12-30T08:50:47-05:00,"Home Depot discounts a selection of Husky 10- and 11-piece drive socket sets to <strong>$6.88</strong> with <strong>free shipping</strong>, as listed below. Each is $3 off list and the lowest price we could find. The sets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168795"">Husky 11-Piece 1/4"" Metric Drive Socket and Ratchet Set</a> for <strong>$6.88</strong> (pictured)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089778,2168795"">Husky 11-Piece 1/4"" SAE Drive Socket Set</a> for <strong>$6.88</strong>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089781,2168795"">Husky 10-Piece 3/8"" Metric Drive Socket Set</a> for <strong>$6.88</strong>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089784,2168795"">Husky 10-Piece 3/8"" SAE Drive Socket Set</a> for <strong>$6.88</strong>
 </li>
</ul>",,,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wlraolfvpqhfrrus0bhg"
https://www.dealnews.com/Garmin-Vivosmart-HR-Activity-Tracker-for-50-free-shipping/2168792.html,2168792,Garmin Vivosmart HR Activity Tracker,SPORTS & FITNESS,4,$50,,"Verizon Wireless continues to offer the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168792"">Garmin Vivosmart HR Activity Tracker</a> in Black for <strong>$49.99</strong> with <strong>free shipping</strong>. That's tied with tied last week's mention as the lowest price we've seen for it in any condition. (It's also the best deal now by $28.) It monitors heart rate, calories burned, distance traveled, steps taken, floors climbed, and hours slept. It features a 160x68 always-on touchscreen LCD, Bluetooth, clock function, smart notifications, silicon band, water resistance to 164 feet, and battery life up to five days.",2017-12-30T08:40:43-05:00,True,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kbg965vf1w09aytsaq3n"
https://www.dealnews.com/Citybug-2-Electric-Scooter-with-Lights-for-200-free-shipping/2168789.html,2168789,Citybug 2 Electric Scooter with Lights,TOYS & HOBBIES,3,$200,2017-12-30T08:14:08-05:00,"Jet.com offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168789"">Brookstone Citybug 2 Electric Scooter with Lights</a> in Black for <strong>$199.99</strong> with <strong>free shipping</strong>. That's tied with our mention from last week as the lowest price we could find now by $100. It features a push and pull acceleration system, headlight, and tail light.",,True,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rlccqkdcnyjxbrlau01s"
https://www.dealnews.com/Jos.-A.-Bank-Mens-Classic-Tailored-Fit-Suit-for-55-free-shipping/2168786.html,2168786,Jos. A. Bank Men's Classic Tailored Fit Suit,SUITS,4,$55,2017-12-30T08:13:09-05:00,"Jos. A. Bank offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168786"">Jos. A. Bank Men's Classic Collection Tailored Fit Suit</a> in Grey or Charcoal for <strong>$55.20</strong> with <strong>free shipping</strong>. That's tied with last week's mention, $145 off list, and a low price for a men's suit in general. It's available in select regular and long sizes from 37 to 41. Deal ends January 1.",,True,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eqk4yla7kik10dhosxhf"
https://www.dealnews.com/Refurb-Mac-Book-Air-Broadwell-i5-12-Laptop-for-550-free-shipping/2168783.html,2168783,"Refurb MacBook Air Broadwell i5 12"" Laptop",MACBOOK AIR,3,$550,2017-12-30T08:01:51-05:00,"Altatac via eBay offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168783"">Apple MacBook Air Broadwell Core i5 1.6GHz 11.6"" Laptop</a> for <strong>$549.95</strong> with <strong>free shipping</strong>. That's tied with our mention from two weeks ago as the lowest price we've seen. (It's $185 under the best deal for a new unit.) It features an Intel Core i5 1.6GHz Broadwell dual-core processor, 11.6"" 1366x768 LCD, 4GB RAM, 128GB flash storage, webcam, 802.11ac wireless, Bluetooth 4.0, USB 3.0, Thunderbolt, and Mac OS X 10.10 Yosemite.<br>
<br>
Note: A 90-day warranty applies, although it's unclear who backs it.",,True,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vm0xxfncikfdzup4c7bh"
https://www.dealnews.com/Microsoft-Store-Countdown-to-2018-Game-Sale-Up-to-65-off-w-Gold/2168780.html,2168780,Microsoft Store Countdown to 2018 Game Sale,GAMES,4,Up to 65% off w/ Gold,2017-12-30T07:29:01-05:00,"For Xbox Live Gold members only, Microsoft Store takes <strong>up to 65% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089766,2168780"">game downloads for Xbox One</a> furing its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089769,2168780"">Countdown to 2018 Sale</a>. (Not a member? <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/Xbox-Live-Gold-1-Month-Subscription-for-1/2167121.html"">Sign up</a> for a month for just $1.) Deal ends January 4. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089775,2168780"">Deux Ex: Mankind Divided for Xbox One</a> for <strong>$9</strong> (low by $4)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168780"">For Honor: Standard Edition for Xbox One</a> for <strong>$19.80</strong> (pictured, low by $10)
 </li>
</ul>",,,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jjjamythguxpueuqofug"
https://www.dealnews.com/Theefun-1-16-Rock-Crawler-2.4-Ghz-RC-Car-for-36-free-shipping/2168777.html,2168777,Theefun 1:16 Rock Crawler 2.4Ghz RC Car,TOYS & HOBBIES,3,$36,2017-12-30T07:06:37-05:00,"SkySeaCloud via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168777"">Theefun 1:16 Rock Crawler 2.4Ghz Remote Control Car</a> for $59.99. Coupon code ""264L7LDQ"" cuts that to <strong>$35.99</strong>. With <strong>free shipping</strong>, that's $24 off and the lowest price we could find. It features anti-skid wheels, shockproof suspension, 4WD, and rechargeable battery. One AA battery is required. Deal ends December 31.",,,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hgsw3bghje7gluhnc2re"
https://www.dealnews.com/Elechomes-Big-Mouth-900-W-Juicer-for-55-free-shipping/2168774.html,2168774,Elechomes Big Mouth 900W Juicer,SMALL APPLIANCES,3,$55,2017-12-30T06:45:17-05:00,"SkySeaCloud via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168774"">Elechomes Big Mouth 900-watt Juicer</a> for $79.99. Coupon code ""BM5SK2CF"" cuts it to <strong>$54.99</strong>. With <strong>free shipping</strong>, that's $5 under last week's mention, $25 off list, and the lowest price we've seen. It features a 900-watt motor, 3"" chute, juice container which doubles as a serving pitcher, and overheat protection. Deal ends January 5.",,,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nkwl2tvbmabmup7kimel"
https://www.dealnews.com/Syma-X56-W-Camera-Quadcopter-Drone-for-40-free-shipping/2168771.html,2168771,Syma X56W Camera Quadcopter Drone,TOYS & HOBBIES,3,$40,2017-12-30T06:31:19-05:00,"RC Drone via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168771"">Syma X56W Camera Quadcopter Drone</a> in Black or White for $59.90. Coupon code ""T2FIL4OI"" cuts the price to <strong>$39.53</strong>. With <strong>free shipping</strong>, that's $2 under our mention from a week ago and the lowest price we could find now by $10. It features 6-axis stability, has a flight time of seven minutes, and can be controlled with the remote or with a smartphone. Deal ends December 31.",,,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nk6inseu838dlditsvs2"
"https://www.dealnews.com/lw/click.html?20,2,2168492",2168492,Southwest Rapid Rewards® Plus Credit Card,CREDIT CARDS,,"40,000 points",2017-12-29T15:35:48-05:00,"Sign up for a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168492"">Southwest Rapid Rewards® Plus Credit Card from Chase</a> and earn <strong>40,000 points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089469,2168492"">$1,000 or more</a> in the first three months your account is open. You'll also earn <strong>3,000 bonus points</strong> after your Cardmember anniversary. Plus, earn unlimited points that don't expire as long as your card account is open. Cardmembers earn 2 points per $1 spent on Southwest® purchases and Rapid Rewards® Hotel and Car Rental Partner purchases, and 1 point per $1 spent on all other purchases. There are no blackout dates or seat restrictions when you redeem with points. Finally, bags fly free® and there are no change fees. A $69 annual fee applies.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",,,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bdvpkwrdh3pw8ey7wvmq"
https://www.dealnews.com/Kindle-Goodreads-eBooks-at-Amazon-from-2/2168768.html,2168768,Kindle Goodreads eBooks at Amazon,EBOOKS,4,from $2,2017-12-30T06:04:57-05:00,"As one of its daily deals, Amazon cuts <strong>up to 80% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168768"">Kindle Goodreads Choice Awards finalists' eBooks</a>, with prices starting at <strong>$1.99</strong>. Choose from titles such as Timothy Zahn's <i>Star Wars: Thrawn</i>, Neil DeGrasse Tyson's <i>Astrophysics for People in a Hurry</i>, and Kate Moore's <i>The Radium Girls: The Dark Story of America's Shining Women</i>. Deal ends today.",,,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p646wnbd0b4a1iqluamc"
https://www.dealnews.com/Silicon-Dust-HDHome-Run-Quatro-TV-Tuner-for-100-free-shipping/2168765.html,2168765,SiliconDust HDHomeRun Quatro TV Tuner,STREAMING MEDIA PLAYERS,5,$100,2017-12-30T05:42:38-05:00,"As one of its daily deals, Best Buy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168765"">SiliconDust HDHomeRun Connect Quatro TV Tuner</a> for <strong>$99.99</strong> with <strong>free shipping</strong>. That's $50 off and tied with last week's mention as a great deal for this recently-released model. It features four tuners to stream up to four channels at once via your existing OTA antenna. More information is available <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089763,2168765"">here</a>. Deal ends today.",,True,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/esejdz1n9p8vue801im7"
https://www.dealnews.com/Cooking-Kindle-eBooks-for-free/2168762.html,2168762,Cooking Kindle eBooks,EBOOKS,5,free,2017-12-30T05:26:14-05:00,"Amazon offers a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168762"">cooking Kindle eBooks</a> for <strong>free</strong>. Each is at least a buck off list and the lowest price we could find. Discounted titles include <i>Five Ingredient Cookbook: Easy Recipes in 5 Ingredients or Less</i> (pictured), <i>BBQ Party: 50 Essential Smoking Meat Recipes</i>, and <i>Cast Iron Cookbook: Ultimate Cast Iron Cooking Recipes</i>.",,,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j3osrscs7dtvllf6eazc"
https://www.dealnews.com/Gevalia-Espresso-K-Cup-100-Pack-for-31-free-shipping/2168759.html,2168759,Gevalia Espresso K-Cup 100-Pack,COFFEE,4,$31,2017-12-30T05:17:25-05:00,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168759"">Gevalia Espresso K-Cup 100-Pack</a> in Signature Blend or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089760,2168759"">Colombia</a> for <strong>$31.18</strong> with <strong>free shipping</strong> via the steps below. That's $8 less than you'd pay in local warehouse clubs. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168759"">Gevalia Espresso K-Cup 100-Pack</a> for $38.98
 </li>
 <li>clip the 15% off coupon on the product page
 </li>
 <li>check out via Subscribe &amp; Save for a final price of <strong>$31.18</strong> with <strong>free shipping</strong>
 </li>
</ol>
Be sure to cancel your subscription once your order ships to avoid being billed for further shipments.",,,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wsoi1dfnpczrokj1tpd6"
https://www.dealnews.com/Refurb-Bose-Sound-Link-Bluetooth-Headphones-II-for-150-free-shipping/2168753.html,2168753,Refurb Bose SoundLink Bluetooth Headphones II,HEADPHONES,3,$150,2017-12-30T04:56:46-05:00,"Bose offers its refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168753"">Bose SoundLink Bluetooth Over-Ear Wireless Headphones II</a> in Black for <strong>$149.95</strong> with <strong>free shipping</strong>. That's tied with our refurb mention from two weeks ago and $49 below the best price we could find for a new pair. They feature a 30-foot range and up to 15 hours of play time.<br>
<br>
A 1-year Bose warranty applies, same as new items.",,,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pv8sanchkgvmbftmpkea"
