shipping,time_published,editors_choice,category,hotness,title,url,picture_url,price,time_modified,uuid,description
free shipping,2018-01-02T05:42:52-05:00,,COFFEE,0,McCafe Premium Roast Coffee K-Cup 100-Pack,https://www.dealnews.com/Mc-Cafe-Premium-Roast-Coffee-K-Cup-100-Pack-for-32-free-shipping/2169953.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wbriemlqlc61thfnsyph",$32,,2169953,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169953"">McCafe Coffee K-Cup 100-Pack</a> in Premium Roast for <strong>$31.98</strong> with <strong>free shipping</strong> via the steps the below. That's around $8 less than you'd pay in local warehouse clubs. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169953"">McCafe Coffee K-Cup 100-Pack</a> for $39.98
 </li>
 <li>clip the 15% off coupon on the product page
 </li>
 <li>order via Subscribe &amp; Save for a final price of <strong>$31.98</strong>
 </li>
</ol>
Note: Be sure to cancel Subscribe & Save once your order ships or you'll be billed for subsequent shipments."
,2018-01-02T05:38:08-05:00,,EBOOKS,4,Kindle eBooks at Amazon,https://www.dealnews.com/Kindle-eBooks-at-Amazon-Up-to-92-off-from-1/2169944.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/amlmw5tzlitr1xbns1mg","Up to 92% off, from $1",,2169944,"As one of its daily deals, Amazon takes <strong>up to 92% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169944"">Kindle eBooks</a>, with deals starting from <strong>99 cents</strong>. Featured titles include <i>We're Going to Need More Wine: Stories That Are Funny, Complicated, and True</i> (pictured), <i>Wives of War</i>, and <i>Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values</i>. Deal ends today."
free shipping,2018-01-02T05:32:52-05:00,,SOCKS,5,Winchester Men's Thermal Socks 3-Pack,https://www.dealnews.com/Winchester-Mens-Thermal-Socks-3-Pack-for-7-free-shipping/2169938.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ewlrm1hfjauqjlqhfpez",$7,,2169938,"As one of its daily deals, That Daily Deal offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169938"">Winchester Men's Thermal Socks 3-Pack</a> for <strong>$6.99</strong> with <strong>free shipping</strong>. That's $2.33 per pair, $15 off list, and tied with our Black Friday weekend mention as the lowest price we've seen. They're made in the USA and come in one size (men's 10 to 13). The colors are chosen at random.<br>
<br>
Stocking up? Add <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091860,2169938"">six 3-packs</a> to your cart for $35.82 with free shipping. That's $5.97 per 3-pack and a total of 18 pairs at $1.99 each. Both deals end today."
free shipping,2018-01-02T05:27:10-05:00,,HEALTH,4,Eternal Back Stretcher Pro,https://www.dealnews.com/Eternal-Back-Stretcher-Pro-for-15-free-shipping/2169932.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cnxqg2arfopfklp28tbd",$15,,2169932,"As one of its daily deals, 13 Deals offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169932"">Eternal Back Stretcher Pro</a> for <strong>$14.99</strong> with <strong>free shipping</strong>. That's tied with our June mention and the lowest price we could find by $3 today. It relieves back pain and releases back muscle tension. Features include three adjustment levels and a 10 trigger point massage top.<br>
<br>
Need more than one? Add <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091857,2169932"">two units</a> to your cart for <strong>$24.98</strong> with <strong>free shipping</strong>. Deal ends today."
free shipping w/ Prime,2018-01-02T05:24:37-05:00,True,PERSONAL CARE,5,Chapstick Duo 0.2-oz. Lip Balm,https://www.dealnews.com/Chapstick-Duo-0.2-oz.-Lip-Balm-for-1-free-shipping-w-Prime/2169941.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iiakqyxpz99402yuuv31",$1,,2169941,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169941"">Chapstick Duo 0.2-oz. Lip Balm</a> in Berry Sorbet Shimmer for <strong>98 cents</strong> with <strong>free shipping</strong>. That's $3 under what you'd pay in-store locally. It can be mixed and matched with other flavors (sold separately) and provides up to eight hours of moisture."
free shipping,2018-01-02T05:24:00-05:00,,PORTABLE POWER BANKS,4,"Pisen Hand Warmer & 7,500mAh Power Bank",https://www.dealnews.com/Pisen-Hand-Warmer-7-500-m-Ah-Power-Bank-for-22-free-shipping/2169935.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o7zmcgd3qpl1hrrqi7qx",$22,,2169935,"Pisen Electronics via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169935"">Pisen Hand Warmer and 7,500mAh Power Bank</a> in Blue for $25.99. Coupon code ""AFOK6CF5"" cuts that price to <strong>$21.59</strong>. With <strong>free shipping</strong>, that's $5 off and the lowest price we could find, although we saw it for $2 less a month ago. It features constant temperature on both sides. Deal ends January 5."
free shipping,2018-01-02T05:18:48-05:00,,SMALL APPLIANCES,3,Homgeek 6-Quart Programmable Pressure Cooker,https://www.dealnews.com/Homgeek-6-Quart-Programmable-Pressure-Cooker-for-56-free-shipping/2169923.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ddwyay0esgbanjjuroc5",$56,,2169923,"TomTop offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169923"">Homgeek 6-Quart 1000-watt Programmable Pressure Cooker</a> for <strong>$55.99</strong> with <strong>free shipping</strong>. That's $24 off and the best price we could find. (It's also $3 less than what you'd pay for a similar cooker elsewhere.) It features a removable lid, security protection, LED screen, and 24-hours delayed cooking timer.<br>
<br>
The countdown timer on the product page does not reflect an actual expiration time and resets daily."
$1 shipping,2018-01-02T05:09:47-05:00,True,SHOES,4,New Balance Men's 790v6 Running Shoes,https://www.dealnews.com/New-Balance-Mens-790-v6-Running-Shoes-for-30-1-s-h/2169926.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/u8f4ucbfzavmctw4ari7",$30,,2169926,"As one of its daily deals, Joe's New Balance Outlet offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169926"">New Balance Men's 790v6 Running Shoes</a> in Thunder for <strong>$29.99</strong>. Apply coupon code ""DOLLARSHIP"" to bag <strong>$1</strong> shipping. That's $4 under our June mention and the lowest price we've seen for any color. (It's the best deal now by $19.) They're available in select standard and extra-wide sizes from 7 to 11.5. Deal ends today."
free shipping w/ $49,2018-01-02T05:03:07-05:00,,SUPPLEMENTS,2,Bodybuilding.com Signature Products,https://www.dealnews.com/Bodybuilding.com-Signature-Products-25-off-free-shipping-w-49/2169917.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ttsoctglzrgtbcucvntb",25% off,,2169917,"Bodybuilding.com offers takes <strong>25% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091848,2169917"">signature products</a>. (Price drops in cart.) Shipping adds around <strong>$4</strong>, although orders of $49 and over bag free shipping. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091842,2169917"">Bodybuilding Signature Fish Oil 100-Softgel Tub</a> for <strong>$10.49</strong> ($4 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169917"">Bodybuilding Signature Micronized Glutamine 100-Serving Tub</a> for <strong>$14.99</strong> (pictured, $5 off)
 </li>
</ul>"
,2018-01-01T00:01:00-05:00,,CREDIT CARDS,,Latest Credit Card Offers from Chase,"https://www.dealnews.com/lw/click.html?20,2,2168621","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hozow7nxzxkuqstccluu",,,2168621,"Looking for a new credit card? Check out our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a> which features several offers available to applicants from a wide range of credit ratings. Some notable cards include Chase Sapphire Preferred®, Chase Freedom Unlimited®, and United MileagePlus® Explorer Card."
free shipping,2018-01-02T05:03:03-05:00,,HOME & GARDEN,4,Vensmile Ultrasonic Pest Repeller,https://www.dealnews.com/Vensmile-Ultrasonic-Pest-Repeller-for-21-free-shipping/2169929.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d9we5mogsynytw04qx2r",$21,,2169929,"Linger via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169929"">Vensmile Ultrasonic Pest Repeller</a> for $32.90. Coupon code ""UQOE9WV2"" cuts it <strong>$21.38</strong>. With <strong>free shipping</strong>, that's a buck under our mention from six days ago, $39 off, and the lowest price we could find. This device claims to repel mice, roaches, and other pests via a high impact pressure wave and 25KHz to 60KHz changing ultrasonic sounds. It features a 4-function switch and coverage measuring 5,000 to 6,000 feet. Deal ends January 8."
free shipping,2018-01-02T04:59:07-05:00,,SUPPLEMENTS,3,Optimum Nutrition at Amazon,https://www.dealnews.com/Optimum-Nutrition-at-Amazon-Up-to-30-off-5-off-free-shipping/2169914.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tiztud1ytzdtsmt8sutx",Up to 30% off + 5% off,,2169914,"As one of its daily deals, Amazon cuts <strong>up to 30% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091845,2169914"">Optimum Nutrition</a>. Plus, take an <strong>extra 5% off</strong> and bag <strong>free shipping</strong> when you check out via Subscribe & Save. (Select items also offer larger discounts to Prime members, noted on their product pages.) Deal ends today. A couple of best bets, with prices after Subscribe & Save:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169914"">Optimum Nutrition On Protein 1.6-lbs. Energy Powder</a> for <strong>$10.48</strong> (pictured, low by $2)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091836,2169914"">Optimum Nutrition On Greek Yogurt 14-Serving Protein Smoothie</a> for <strong>$13.29</strong> (low by $11)
 </li>
</ul>
Note: Be sure to cancel your subscription after your order arrives to avoid being billed for subsequent shipments."
free shipping,2018-01-02T04:52:04-05:00,,VACUUM CLEANERS,3,Dyson DC34 Handheld Vacuum,https://www.dealnews.com/Dyson-DC34-Handheld-Vacuum-for-99-free-shipping/2169920.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pnvvzdzwcf1mitscn7xl",$99,,2169920,"Walmart continues to offer the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169920"">Dyson DC34 Handheld Vacuum</a> for <strong>$99</strong> with <strong>free shipping</strong>. That's tied with our mention from two weeks ago as the lowest price we've seen. (It's the best deal now by $22.) Features include a bagless container, washable filter, and dual power mode."
free shipping,2018-01-02T04:40:59-05:00,,GROCERIES,4,12 Soylent Meal Replacement 14-oz. Bottles,https://www.dealnews.com/12-Soylent-Meal-Replacement-14-oz.-Bottles-for-24-free-shipping/2169905.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uw5smzpsbuda0ua3xgcg",$24,,2169905,"As one of its daily deals, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169905"">Soylent 2.0 Ready-to-Drink Meal Replacement 14-oz. Bottle 12-Pack</a> in Cacao or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091830,2169905"">Cafe Coffiest</a> for $25.35. Checkout via Subscribe & Save to drop it to <strong>$24.08</strong>. With <strong>free shipping</strong>, that's the lowest price we could find now by $8, although we saw them for $2 less last August. Each 14-oz. bottle contains 400 calories and purportedly provides 20% of your daily nutritional needs. It does not require refrigeration. Deal ends today.<br>
<br>
Note: Be sure to cancel Subscribe & Save after your order ships to avoid being billed for subsequent shipments."
free shipping,2018-01-02T04:37:56-05:00,True,EXERCISE EQUIPMENT,4,Nordic Track C 700 Treadmill,https://www.dealnews.com/Nordic-Track-C-700-Treadmill-for-550-free-shipping/2169911.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hfd3rnuj2zcujlzduoxv",$550,,2169911,"As one of its daily deals, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169911"">Nordic Track C 700 Treadmill</a> for <strong>$549.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $249. It folds for easy storage, and features a 20"" x 55"" tread belt, 20 workout apps, iFit compatibility, and multi-window LED display. Deal ends today."
free shipping w/ $25,2018-01-02T04:35:03-05:00,,AFTER CHRISTMAS SALES,5,Dick's Sporting Goods End of Season Sale,https://www.dealnews.com/Dicks-Sporting-Goods-End-of-Season-Sale-Up-to-50-off-free-shipping-w-25/2169896.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/spwy1ltmylu9bmbiucj6",Up to 50% off,,2169896,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091818,2169896"">Dick's Sporting Goods</a> takes <strong>up to 50% off</strong> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091821,2169896"">End of Season Sale</a>. Shipping adds <strong>$5.99</strong>, although orders of $25 or more receive free shipping. (Large items may incur additional fees, as free shipping only covers up to $15 off the shipping cost. In-store pickup is also available for select items.) Deal ends January 7. A couple of best bets, each with <strong>pickup</strong>:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091824,2169896"">Nike Women's Dry DFC Capris</a> for <strong>$33.75</strong> (low by $4)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169896"">Columbia Men's Glennaker Lakes Rain Jacket</a> for <strong>$39.99</strong> (pictured, low by $10)
 </li>
</ul>
Note: You may receive an <strong>extra $10 off</strong> select orders of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091827,2169896"">$50 or more</a> when you choose in-store <strong>pickup</strong>. (Discount applies automatically in cart; many exclusions apply.)"
free shipping,2018-01-02T04:20:25-05:00,True,EXERCISE EQUIPMENT,4,NordicTrack Treadmill for Walkers/Joggers,https://www.dealnews.com/Nordic-Track-Treadmill-for-Walkers-Joggers-for-450-free-shipping/2169902.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xii1jwysw6fd2feo4a85",$450,,2169902,"As one of its daily deals, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169902"">NordicTrack T 6.5 S Treadmill</a> for <strong>$449.99</strong> with <strong>free shipping.</strong> That's the lowest price we could find by $149 and within a buck of the best price we've seen. Designed for walkers (also applicable to lightweight joggers), it features a hydraulic folding mechanism, 5"" display, 2.6 CHP motor, heart rate monitor, and iFit compatiblity. Deal ends today."
