title,price,shipping,editors_choice,hotness,time_modified,url,category,description,uuid,picture_url,time_published
Prime 6-Outlet Power Strip 2-Pack,$4,free shipping,True,5,,https://www.dealnews.com/Prime-6-Outlet-Power-Strip-2-Pack-for-4-free-shipping/2173550.html,EXTENSION CORDS & POWER STRIPS,"For in-store pickup only, with price and stock varying by ZIP, Lowe's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173550"">Prime 6-Outlet Power Strip 2-Pack</a> for <strong>$3.97</strong>. That's 50 cents under our mention from two weeks ago and $7 under the lowest price we could find for a similar 2-pack elsewhere. Each strip features a circuit breaker and 2-foot power cord. Deal ends February 18.",2173550,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mecrvutcgaodnzafgcbv",2018-01-07T15:37:31-05:00
Shrinky Dinks Cool Stuff Activity Set,$6,free shipping w/ Prime,,4,,https://www.dealnews.com/Shrinky-Dinks-Cool-Stuff-Activity-Set-for-6-free-shipping-w-Prime/2173445.html,TOYS & HOBBIES,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173445"">Shrinky Dinks Cool Stuff Activity Set</a> for <strong>$5.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $4. It includes eight color pencils, eight stands, six pipe cleaners, two key chains, and six magnets.",2173445,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/whmejivddkt7h9y9b3bn",2018-01-07T15:30:00-05:00
Hasbro DropMix Music Gaming System,$50,free shipping,True,3,,https://www.dealnews.com/Hasbro-Drop-Mix-Music-Gaming-System-for-50-free-shipping/2173547.html,CARD AND BOARD GAMES,"Best Buy via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173547"">Hasbro DropMix Music Gaming System</a> for <strong>$49.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099258,2173547"">Amazon</a> charges the same.) That's tied mention from three weeks ago as the lowest price we've seen. (It's the best deal today by $20.) This fast-paced music mixing game features three modes of play and 60 DropMix cards with music from popular artists. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099261,2173547"">Click here</a> for more info.<br>
<br>
Note: This game requires a mobile device and a download of the free <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099264,2173547"">DropMix app</a> to play.",2173547,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mfhkh936pr7vdkchs2at",2018-01-07T15:18:06-05:00
"Refurb Wildgame Innovations 7"" Android Tablet",$25,free shipping,,3,,https://www.dealnews.com/Refurb-Wildgame-Innovations-7-Android-Tablet-for-25-free-shipping/2173277.html,TABLETS,"Erequisite via eBay offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173277"">Wildgame Innovations Trail Pad Series 7"" Android Photo Media Viewer Tablet</a> for <strong>$24.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $10. It features Android 4.1 software, 8GB internal memory, water resistant housing, and Wi-Fi.<br>
<br>
Note: No warranty information is provided",2173277,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/egiaeopcbpkl5v2gfwfc",2018-01-07T15:15:00-05:00
PlayerUnknown's Battlegrounds for XB1,$23,,,3,,https://www.dealnews.com/Player-Unknowns-Battlegrounds-for-XB1-for-23/2173448.html,GAMES,"CDKeys offers Steam downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173448"">PlayerUnknown's Battlegrounds for Xbox One</a> for $23.99. Coupon code ""CDK36454"" cuts that price to <strong>$23.25</strong>. Plus, receive a <strong>free</strong> Steam download of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099189,2173448"">Assassin's Creed Unity for Xbox One.</a> That's $2 under our October mention, $10 off, and the lowest price we could find.<br>
<br>
Note: This game is early access, which means that it is not complete, and may or may not change further. Also, new customers can provide an email address on the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099192,2173448"">CDKeys Facebook page</a> to get a unique coupon code that cuts an extra 5% off.",2173448,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r2kwb0fu8w4wonwor6bs",2018-01-07T15:00:00-05:00
"Monoprice 27"" 1440p AVHA LCD Display",$238,free shipping,,3,,https://www.dealnews.com/Monoprice-27-1440-p-AVHA-LCD-Display-for-238-free-shipping/2173538.html,MONITORS,"Monoprice offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173538"">Monoprice 27"" 1440p AVHA LCD Pixel Perfect Monitor</a> for <strong>$237.99</strong> with <strong>free shipping</strong>. That's $12 under our mention from a month ago, $42 off list, and the lowest price we've seen. It features a native resolution of 2560x1440 (1440p), DisplayPort, HDMI, dual-link DVI-D, and VGA.",2173538,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zrfc0hq5r8indszcnph4",2018-01-07T14:45:00-05:00
Logitech Harmony Smart Control w/ Remote,$58,pickup at Walmart,True,4,,https://www.dealnews.com/Logitech-Harmony-Smart-Control-w-Remote-for-58-pickup-at-Walmart/2173544.html,UNIVERSAL REMOTE CONTROLS,"In select ZIP codes only, Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173544"">Logitech Harmony Smart Control with Universal Remote</a> for the in-cart price of $79. It drops to <strong>$58</strong> when you choose in-store <b>pickup</b>. That's tied with our mention from a week ago as the best price we've seen in over a year and it's the lowest price we could find today by $21. The Harmony Smart Control works on more than 225,000 devices and features Bluetooth 3.0, a universal remote with 50 favorite channel icons, and support for Amazon's Alexa voice control. The hub also works with the Harmony app for iOS or Android.",2173544,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dvxltgggszc7hseyrceu",2018-01-07T14:40:30-05:00
Lionel Pennsylvania Flyer Freight Train Set,$149,free shipping,,4,,https://www.dealnews.com/Lionel-Pennsylvania-Flyer-Freight-Train-Set-for-149-free-shipping/2173541.html,TOYS & HOBBIES,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173541"">Lionel Pennsylvania Flyer LionChief 0-8-0 Freight Train Set</a> for <b>$148.53</b> with <b>free shipping</b>. That's the lowest price we could find by $53. It includes a locomotive and tender, 3-dome tank car, boxcar, caboose, eight curved FasTrack track pieces, one 10"" straight FasTrack plug-expand-play power lock-on section, FasTrack terminal piece, two 10"" straight FasTrack pieces, and control via Bluetooth.",2173541,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rwnfuorp8meuiiwtnded",2018-01-07T14:30:00-05:00
Rosewill 1500W Insulated 1.7L Electric Kettle,$28,free shipping,,3,,https://www.dealnews.com/Rosewill-1500-W-Insulated-1.7-L-Electric-Kettle-for-28-free-shipping/2173403.html,SMALL APPLIANCES,"Rosewill via Sears offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173403"">Rosewill 1,500-watt Double Wall Vacuum Insulated 1.7-Liter Electric Kettle</a> for <strong>$27.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $17. This stainless steel kettle features 360° rotating base, cool touch housing, and a luminous on/off switch.",2173403,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/c7xu74hj2lbm20po08r2",2018-01-07T14:15:00-05:00
Bank of America® Travel Rewards Credit Card,"20,000 bonus points offer",,,,,"https://www.dealnews.com/lw/click.html?20,2,2173238",CREDIT CARDS,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173238"">Bank of America® Travel Rewards credit card</a> and receive <strong>20,000 bonus points</strong> if you make at least $1,000 in purchases in the first 90 days of account opening – that can be redeemed for a <strong>$200 Statement Credit towards travel purchases</strong>. Plus, earn <strong>1.5 points</strong> per $1 spent on all purchases, with <strong>no annual fee</strong> and <strong>no foreign transaction fees</strong>. Redeem points for a statement credit to pay for flights, hotels, vacation packages, cruises, rental cars, or baggage fees with no blackout dates. There's no limit to the total number of points you can earn and points don't expire. Finally, there's a <strong>0% introductory APR</strong> for <strong>12 billing cycles</strong> for purchases, then <strong>16.24% - 24.24% variable APR</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",2173238,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bv3urdvfxvmwirwdv9qm",2018-01-06T12:18:57-05:00
Call of Duty: WWII for PS4 / Xbox One,$36,free shipping,,3,,https://www.dealnews.com/Call-of-Duty-WWII-for-PS4-Xbox-One-for-36-free-shipping/2173406.html,GAMES,"Newegg offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173406"">Call of Duty: WWII for PlayStation 4</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099180,2173406"">Xbox One</a> for $59.99. Coupon code ""EMCPEPV44"" cuts that price to <strong>$35.99</strong>. With <strong>free shipping</strong>, that's $2 under our mention from two weeks ago and the lowest price we could find by $14.",2173406,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rp9g2uohxmzu2ckfqx22",2018-01-07T14:00:00-05:00
Ocean Spray Cranberry Juice Cans 48-Pack,$14,free shipping,,4,,https://www.dealnews.com/Ocean-Spray-Cranberry-Juice-Cans-48-Pack-for-14-free-shipping/2173490.html,GROCERIES,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173490"">Ocean Spray Cranberry Juice 5.5-oz. Cans 48-Pack</a> for $15.06. Checkout via Subscribe and Save to cut that price to <strong>$14.31</strong>. With <strong>free shipping</strong>, that's a buck off, and the lowest price we could find.<br>
<br>
Note: Be sure to cancel your subscription once your order ships to avoid being billed for further shipments.",2173490,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/csjf4xslhdkqc4ffebmr",2018-01-07T13:45:00-05:00
"16 Duracell Batteries, $16 Office Depot GC",$16,pickup at Office Depot,,3,,https://www.dealnews.com/16-Duracell-Batteries-16-Office-Depot-GC-for-16-pickup-at-Office-Depot/2173469.html,BATTERIES,"Office Depot and OfficeMax again offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173469"">Duracell Coppertop Alkaline AAA Batteries 16-Pack</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099204,2173469"">Duracell Coppertop Alkaline AA Batteries 16-Pack</a> for <strong>$15.99</strong>. Plus, Office Depot and OfficeMax Rewards members will bag a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099207,2173469"">$15.99 Rewards Credit</a> for <b>free</b>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099210,2173469"">sign up</a>.) Choose free in-store <b>pickup</b> to dodge the $9.95 shipping fee. That's tied with our mention from a month ago and the best deal we could find now by at least $11.) Deal is limited to two per customer.<br>
<br>
Note: Allow up to five weeks after the promotion ends for Rewards to become available in your account.",2173469,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sz1ulkeaxhms4amws2yz",2018-01-07T13:30:00-05:00
BioBidet Prestige Elongated Bidet Toilet Seat,$280,$5 shipping,,3,,https://www.dealnews.com/Bio-Bidet-Prestige-Elongated-Bidet-Toilet-Seat-for-280-5-s-h/2173463.html,BED & BATH,"Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173463"">BioBidet Prestige Elongated Bidet Toilet Seat</a> for <strong>$279.99</strong> plus <strong>$5</strong> for shipping. That's the lowest price we could find by $164. It features a side control panel, 3-in-1 nozzle system, heated seat, heated air dryer, massage, and oscillating mode.",2173463,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wfcffqh0ezspvnhjia7u",2018-01-07T13:15:00-05:00
Destiny: The Taken King Legendary Ed Xbox One,$8,free shipping,,3,,https://www.dealnews.com/Destiny-The-Taken-King-Legendary-Ed-Xbox-One-for-8-free-shipping/2173478.html,GAMES,"Microsoft Store offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173478"">Destiny: The Taken King Legendary Edition for Xbox One</a> for <strong>$7.99</strong> with <strong>free shipping</strong>. That's $7 under our mention from last March and the lowest price we've seen (it's a low today by $10).",2173478,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fk2vsbchh5bgwpn3df36",2018-01-07T13:00:00-05:00
"Asus VivoBook Flip Pentium 14"" Touch Laptop",$299,free shipping,,4,,https://www.dealnews.com/Asus-Vivo-Book-Flip-Pentium-14-Touch-Laptop-for-299-free-shipping/2173493.html,LAPTOPS,"Walmart offers the 3.3-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173493"">Asus VivoBook Flip TP401 Intel Pentium Apollo Lake 1.1GHz 14"" Touchscreen 2-in-1 Laptop</a> for <b>$299</b> with <b>free shipping</b>. That's tied with our mention from three weeks ago and the lowest price we could find today by $80. It features an Intel Pentium N4200 1.1GHz Apollo Lake quad-core processor, 14"" 1366x768 (720p) touchscreen LCD, 4GB RAM, 64GB eMMC storage, 802.11ac wireless, Bluetooth, 4.1, USB 3.1 Type-C, micro HDMI, 2-cell battery, and Windows 10 Home.",2173493,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dzx5k6efmqirftdyxhib",2018-01-07T12:50:00-05:00
Select Minecraft for Kids eBooks,free,,,4,2018-01-07T13:06:08-05:00,https://www.dealnews.com/Select-Minecraft-for-Kids-eBooks-for-free/2173472.html,EBOOKS,"Amazon offers a range of Minecraft for kids Kindle eBooks for <strong>free</strong>. That's up to $2 off and the lowest price we could find. Titles include:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173472"">The Friendly Creeper Diaries (Book 1): The Creeper Village</a>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099216,2173472"">The Friendly Creeper Diaries: The Moon City (Book 4): The Underground City</a>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099219,2173472"">The Friendly Creeper Diaries: The Relics of Dragons (Book 7): Possessed by Herobrine</a>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099222,2173472"">Minecraft: Battle of Legends Book 1</a>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099225,2173472"">The Obsidian Cube (Book 1): An Unknown Past</a>
 </li>
</ul>",2173472,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/igveluniyeffsalvzq1k",
