uuid,shipping,price,url,editors_choice,description,picture_url,category,time_published,hotness,time_modified,title
2173139,free shipping,$8 w/ $25 purchase,https://www.dealnews.com/Jack-Links-16-oz.-Beef-Jerky-for-8-w-25-purchase-free-shipping/2173139.html,True,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173139"">Jack Link's 16-oz. Beef Jerky</a> in Sweet and Hot for <strong>$8.21</strong> with <strong>free shipping</strong>. That's $4 under our mention from last June and the lowest price we've seen for this quantity. (It's also $4 under the price you'd expect to pay at your local store.)<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qg2z12dexnolp8zyx1jo",GROCERIES,2018-01-06T08:06:01-05:00,4,,Jack Link's 16-oz. Beef Jerky
2173136,free shipping,$80,https://www.dealnews.com/Chefman-5.5-Liter-Hot-Air-Fryer-for-80-free-shipping/2173136.html,,"As one of its daily deals, Best Buy via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173136"">Chefman 5.5-Liter Hot Air Fryer</a> for <strong>$79.99</strong> with <strong>free shipping</strong>. That's $80 off and the lowest price we could find. It features an adjustable thermostat and timer. Deal ends today.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/chmbcugg0pnd3hmm7nkw",SMALL APPLIANCES,2018-01-06T07:59:58-05:00,3,,Chefman 5.5-Liter Hot Air Fryer
2173133,free shipping w/ $100,Up to 67% off,https://www.dealnews.com/Urban-Decay-at-Nordstrom-Rack-Up-to-67-off-free-shipping-w-100/2173133.html,,"Nordstrom Rack cuts <strong>up to 67% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173133"">Urban Decay makeup</a>, with deals starting from <strong>$6.97</strong>. Shipping starts at <strong>$5.95</strong>, but orders of $100 or more bag free shipping.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d27napithasg1h4x9uze",MAKEUP,2018-01-06T07:53:56-05:00,3,,Urban Decay at Nordstrom Rack
2173127,pickup at REI,$12,https://www.dealnews.com/Gordini-Womens-Polartec-Fleece-Gloves-for-12-pickup-at-REI/2173127.html,,"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173127"">Gordini Women's Polartec Fleece Gloves</a> in Black for <strong>$11.73</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's $8 off and the lowest price we could find. They're available in sizes from S to L.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uuzxgb1ug2heiuhblcgs",ACCESSORIES,2018-01-06T07:50:41-05:00,3,,Gordini Women's Polartec Fleece Gloves
2173103,$5 shipping,from $10,https://www.dealnews.com/Puma-Boxer-Brief-Multipacks-from-10-5-s-h/2173103.html,,"As one of its daily deals, Woot offers a selection of PUMA Boxer Brief Multipacks in several colors from <strong>$9.99</strong> as listed below. Plus, shipping adds <strong>$5</strong>. The deals, which end today:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173103"">PUMA Boxer Briefs 3-Pack</a> for <strong>$9.99</strong> (pictured, low by $8)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098937,2173103"">PUMA Men's Cotton Boxer Briefs 6-Pack</a> for <strong>$21.99</strong> ($23 off list)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098940,2173103"">PUMA Men's Tech Boxer Briefs 6-Pack</a> for <strong>$21.99</strong> (low by $7)
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kzfjwdrvrmyb1mpko3v7",UNDERWEAR,2018-01-06T07:45:03-05:00,4,,Puma Boxer Brief Multipacks
2173124,,20% off,https://www.dealnews.com/4-K-UHD-Movie-Downloads-at-Fandango-Now-20-off/2173124.html,,"FandangoNow takes <strong>20% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098961,2173124"">movie downloads in 4K UHD</a> via coupon code ""4K18"". Deal ends February 5. A couple of best bets, with prices after discount:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173124"">Blade Runner 2049 in 4K UHD</a> for <strong>$15.99</strong> (pictured, low by $4)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098964,2173124"">Spider-Man Homecoming in 4K UHD</a> for <strong>$15.99</strong> (low by $4)
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/u1m7amo3uotd7onmyll7",VIDEO DOWNLOADS,2018-01-06T07:41:57-05:00,3,,4K UHD Movie Downloads at FandangoNow
2173121,$5 shipping,$45,https://www.dealnews.com/Neurona-Optic-HD-Wi-Fi-Action-Cam-Sunglasses-for-45-5-s-h/2173121.html,,"As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173121"">Neurona OpticHD WiFi Action Cam Sunglasses</a> for <strong>$44.99</strong> plus <strong>$5</strong> for shipping. That's the lowest price we could find by $15. They feature a microSD memory card slot and 100& U.V. protection. Deal ends today.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jty9altldcxxtz4bwixg",DIGITAL CAMCORDERS,2018-01-06T07:38:04-05:00,4,,Neurona OpticHD WiFi Action Cam Sunglasses
2173118,$5 shipping,$180,https://www.dealnews.com/Char-Broil-Charcoal-Gas-Hybrid-3-Burner-Grill-for-180-5-s-h/2173118.html,,"As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173118"">Char-Broil Charcoal/Gas Hybrid 3-Burner Grill</a> for <strong>$179.99</strong> plus <strong>$5</strong> for shipping. That's $65 off and the lowest price we could find. It features a 545-square inch cooking area, 30,000-BTU stainless steel main chamber, and a 12,000-BTU side burner. Deal ends today.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qe8vpqwxhlhq7iw1iphi",BBQS & GRILLS,2018-01-06T07:33:24-05:00,3,,Char-Broil Charcoal/Gas Hybrid 3-Burner Grill
2173115,free shipping,"$1,147",https://www.dealnews.com/Dell-XPS-Kaby-Lake-i7-Quad-16-1080-p-Laptop-for-1-147-free-shipping/2173115.html,,"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173115"">Dell XPS 15 Intel Kaby Lake Core i7 2.8GHz 15.6"" 1080p Laptop</a> for $1,273.99. Coupon code ""TENOFF"" cuts it to <strong>$1,146.59</strong>. With <strong>free shipping</strong>, that's $20 under our mention from a month ago, $303 off, and the lowest price we could find. It features an Intel Core i7-7700HQ 2.8GHz Kaby Lake quad-core processor, 15.6"" 1920x1080 (1080p) LCD, 8GB RAM, 256GB SSD, Nvidia GeForce GTX 1050 4GB graphics, 9-cell battery, and Windows 10 Home 64-bit. Deal ends January 11.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sen1pddccyclyhanekna",LAPTOPS,2018-01-06T07:18:13-05:00,2,,"Dell XPS Kaby Lake i7 Quad 16"" 1080p Laptop"
2171954,,"50,000 bonus points","https://www.dealnews.com/lw/click.html?20,2,2171954",,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171954"">Chase Sapphire Preferred® Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096825,2171954"">$4,000 or more</a> on purchases in the first three months from account opening – that's $625 toward travel when you redeem through Chase Ultimate Rewards®. Plus, earn <strong>5,000 bonus points</strong> after you add the first authorized user and make a purchase in the first three months from account opening. Also, earn <strong>2 points</strong> for every $1 spent on travel and dining at restaurants both in the U.S. and abroad, and <strong>1 point</strong> for every $1 spent on all other purchases. There's a <strong>$0 Intro Annual Fee</strong> for the first year, then $95 for each additional year, and <strong>no foreign transaction fees</strong> on purchases made outside the United States. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096828,2171954"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d8ppsk9jlwz1siyg70ap",CREDIT CARDS,2018-01-04T14:27:34-05:00,,,Chase Sapphire Preferred® Card
2173112,free shipping,Up to 30% off,https://www.dealnews.com/Blinds.com-Sale-Up-to-30-off-free-shipping/2173112.html,,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098943,2173112"">Blinds.com</a> takes <strong>up to 30% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098946,2173112"">blinds and shutters</a> via coupon code ""NEW-DEALS"". Plus, all orders bag <strong>free shipping</strong>. Deal ends January 9. A couple of best bets, with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098949,2173112"">Norman 2.5"" Ultimate Faux-Wood Blind</a> from <strong>$19.19</strong> (at least $5 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173112"">Levolor Vinyl Vertical Blinds</a> from <strong>$42.69</strong> (pictured, at least $18 off)
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/brubtsvaxjoysx3c7b4r",DECOR,2018-01-06T07:16:56-05:00,5,,Blinds.com Sale
2173109,pickup at Best Buy,$19,https://www.dealnews.com/Mission-Impossible-Collection-on-Blu-ray-HD-for-19-pickup-at-Best-Buy/2173109.html,,"For pickup only, Best Buy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173109"">Mission: Impossible: The 5-Movie Collection on Blu-ray / Digital HD</a> for <b>$18.99</b> via the steps below. That's the lowest price we could find by $7, excluding the mention below. To get this deal:<br>
<ol>
 <li>Add the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173109"">Mission: Impossible: The 5-Movie Collection on Blu-ray / Digital HD</a> to your cart for $19.99
 </li>
 <li>in cart, select ""Shipping"" for your delivery method (do not choose in-store pickup at this time)
 </li>
 <li>proceed to checkout
 </li>
 <li>at checkout in the shipping section, ""$1 off"" should appear in green text beside the ""Today ... at a Best Buy store"" option
 </li>
 <li>change your delivery method to this in-store <strong>pickup</strong> option to drop your total to <strong>$18.99</strong>
 </li>
</ol>
Too much effort? <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098931,2173109"">Amazon</a> charges $19.99 with free Prime shipping.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o07ibio4pvezwe6vwlwt",BLU-RAY DISC MOVIES,2018-01-06T06:57:40-05:00,3,,Mission: Impossible Collection on Blu-ray/HD
2173088,$1 shipping,$40,https://www.dealnews.com/New-Balance-Mens-009-Lifestyle-Shoes-for-40-1-s-h/2173088.html,,"As one of its daily deals, Joe's New Balance Outlet offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173088"">New Balance Men's 009 Lifestyle Shoes</a> in White for <strong>$39.99</strong>. Plus, coupon code ""DOLLARSHIP"" bags <strong>$1</strong> shipping. That's $70 off and the lowest price we could find. They're available in select sizes from 7.5 to 13. Deal ends today.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gvthyxdvr9x4uds7bjvu",SHOES,2018-01-06T06:57:20-05:00,4,,New Balance Men's 009 Lifestyle Shoes
2173097,$5 shipping,$90,https://www.dealnews.com/Genesis-Designs-Beverly-Office-Chair-for-90-5-s-h/2173097.html,,"As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173097"">Genesis Designs Beverly High Back Executive Office Chair</a> in Black or Maroon/ Brown for <strong>$89.99</strong> plus <strong>$5</strong> for shipping. That's the lowest price we could find by $77. Deal ends today.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/q4kcfslduy8sq7kf1llh",OFFICE CHAIRS,2018-01-06T06:54:16-05:00,3,,Genesis Designs Beverly Office Chair
