title,url,picture_url,time_published,description,editors_choice,time_modified,uuid,category,shipping,hotness,price
Pinhole Nanny WiFi DVR Cam,https://www.dealnews.com/Pinhole-Nanny-Wi-Fi-DVR-Cam-for-17-free-shipping/2168894.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/y7pnemm3w9cxsj9ix63z",2017-12-30T12:11:37-05:00,"Etopmarket via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168894"">Pinhole Nanny WiFi DVR Cam</a> for <strong>$16.99</strong> with <strong>free shipping</strong>. That's tied with our mention from a week ago and the lowest price we could find now for such a camera by $5, excluding other eBay vendors. It features automatic video recording and a built-in rechargeable battery.",,,2168894,DIGITAL CAMCORDERS,free shipping,4,$17
Bank of America® Cash Rewards Credit Card,"https://www.dealnews.com/lw/click.html?20,2,2167598","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iqvilhcxr75ii4qvfihq",,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167598"">Bank of America® Cash Rewards credit card</a> and receive a <strong>$150 cash rewards bonus</strong> after you spend at least $500 on purchases in the first 90 days of account opening. Plus, get a <strong>10% customer bonus</strong> every time you redeem your cash back into a Bank of America® checking or savings account. (If you're a Preferred Rewards client, you can increase that bonus to 25% - 75%.) You'll also earn 1% cash back everywhere, every time, 2% at grocery stores and wholesale clubs, and 3% on gas for the first $2,500 in combined grocery, wholesale club, and gas purchases each quarter. (There are no changing categories and your rewards do not expire.) Finally, there's <strong>no annual fee</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,2017-12-28T12:39:27-05:00,2167598,CREDIT CARDS,,,$150 cash rewards offer
Exploding Kittens: A Card Game (NSFW Edition),https://www.dealnews.com/Exploding-Kittens-A-Card-Game-NSFW-Edition-for-16-free-shipping-w-Prime/2168879.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/efilmwwlx8aoeiz42psz",2017-12-30T12:06:55-05:00,"Exploding Kittens via Amazon offers Prime members <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168879"">Exploding Kittens: A Card Game (NSFW Edition)</a> for <strong>$15.99</strong> with <strong>free shipping</strong>. That's tied with our Black Friday week mention and the lowest price we could find by $3. This edition of the cult game includes 56 cards and accommodates two to five players.",,,2168879,CARD AND BOARD GAMES,free shipping w/ Prime,3,$16
Waring Pro 4-Slice Toaster,https://www.dealnews.com/Waring-Pro-4-Slice-Toaster-for-35-free-shipping/2168888.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/axytstfaexmh6bsmtpgh",2017-12-30T12:01:59-05:00,"As one of its daily deals, Best Buy via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168888"">Waring Pro 4-Slice Toaster</a> in Black/Stainless Steel for <strong>$34.99</strong> with <strong>free shipping</strong>. That's $35 off list and the lowest price we could find. It features a slide-out crumb tray and a defrost function. Deal ends today.",,,2168888,SMALL APPLIANCES,free shipping,3,$35
180-Degree Full Face Snorkel Mask,https://www.dealnews.com/180-Degree-Full-Face-Snorkel-Mask-for-15-free-shipping-w-Prime/2168882.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o5vtdyvkon9soeujbk6q",2017-12-30T11:54:09-05:00,"ZSport via Amazon offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168882"">ZSport 180° Full Face Snorkel Mask</a> in several colors (Black pictured) with prices starting from $19.99. Coupon code "" KZA9HVXZ"" cuts that to <strong>$15</strong>. Plus, Prime members receive <strong>free shipping</strong>. That's tied with our mention from a week ago and the lowest price we've seen. (It's the best deal now by $3.) It's available in sizes S/M or L/XL. Deal ends December 31.",,,2168882,SWIM,free shipping w/ Prime,4,$15
Oneida Uncork It Premium Corkscrew,https://www.dealnews.com/Oneida-Uncork-It-Premium-Corkscrew-for-10-free-shipping/2168876.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/g9p7hza4sld2ljm5z70b",2017-12-30T11:50:22-05:00,"Oneida offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168876"">Oneida Uncork It Premium Corkscrew</a> for $11.99. Coupon code ""DEALNEWSFREE"" drops it to <b>$9.59</b> and bags <b>free shipping</b>. That's the lowest price we could find by $13. It includes an extra spiral. Deal ends today.",,,2168876,KITCHEN,free shipping,3,$10
Used Alien: Covenant on Blu-ray,https://www.dealnews.com/Used-Alien-Covenant-on-Blu-ray-for-4-at-Redbox-locations/2168867.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cug8emdlve7g26csf1fd",,"With stock varying by ZIP code, Redbox offers used copies of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168867"">Alien: Covenant on Blu-ray</a> for <strong>$3.99</strong> at participating locations. That's $13 under the best deal we could find for a sealed copy.<br>
<br>
You can also get it as a used <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089898,2168867"">DVD</a> for <strong>$4.99</strong>.",True,2017-12-30T15:37:20-05:00,2168867,BLU-RAY DISC MOVIES,at Redbox locations,3,$4
Anchor Hocking 4-Bottle Wire Wine Rack,https://www.dealnews.com/Anchor-Hocking-4-Bottle-Wire-Wine-Rack-for-7-free-shipping/2168873.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h8fedmd200kgdisvn63i",2017-12-30T11:39:49-05:00,"Ending today, Oneida offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168873"">Anchor Hocking 4-Bottle Wire Wine Rack</a> for $8.99. Coupon code ""DEALNEWSFREE"" cuts the price to <strong>$7.19</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $15.",,,2168873,KITCHEN,free shipping,3,$7
Used Star Wars: Rogue One on Blu-ray,https://www.dealnews.com/Used-Star-Wars-Rogue-One-on-Blu-ray-for-4-at-Redbox-locations/2168870.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/caokxuel9k81lottwp5u",,"With stock varying by ZIP code, Redbox offers used copies of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168870"">Star Wars: Rogue One on Blu-ray</a> for <strong>$3.99</strong> at participating locations. That's $16 under our March mention and the lowest price we've seen. (It's the best deal now by $19.)<br>
<br>
Note that the copy you receive likely won't include the DVD and digital code a factory-sealed Blu-ray edition would.",True,2017-12-30T15:36:29-05:00,2168870,BLU-RAY DISC MOVIES,at Redbox locations,4,$4
"Stanley Hand Tools 8"" Linesman's Pliers",https://www.dealnews.com/Stanley-Hand-Tools-8-Linesmans-Pliers-for-5-pickup-at-Walmart/2168858.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gzscvs2xsbltckjj2ekx",2017-12-30T11:31:36-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168858"">Stanley Hand Tools 8"" Linesman's Pliers</a> for <b>$4.98</b>. Opt for in-store <b>pickup</b> to dodge the $5.99 shipping charge. That's the lowest price we could find by about a buck, although several stores charge at least $10. They feature double-dipped handles.",,,2168858,HAND TOOLS,pickup at Walmart,3,$5
Cuisinart All-Purpose Pan & Lid,https://www.dealnews.com/Cuisinart-All-Purpose-Pan-Lid-for-19-free-s-h-w-beauty-item/2168840.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lgli1yepvdw3hnlknxwp",2017-12-30T11:30:01-05:00,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168840"">Cuisinart All-Purpose Pan &amp; Lid</a> in Onyx Black & Rose Gold for <b>$19.19</b>, via the directions below. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089859,2168840"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $6 under last week's mention, $61 off list, and the lowest price we could find. It features an aluminum-encapsulated base, tapered rims, and a glass lid, and is compatible with gas, electric, glass, and halogen cooktops. Deal ends today. To get this price:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168840"">Cuisinart All-Purpose Pan &amp; Lid</a> for $29.99
 </li>
 <li>add it to your cart to drop it to $23.99
 </li>
 <li>apply coupon code ""FIT"" for a final price of <strong>$19.19</strong>
 </li>
</ol>",,,2168840,KITCHEN,free s&h w/beauty item,4,$19
Wells Fargo Cash Wise Visa® Card,"https://www.dealnews.com/lw/click.html?20,2,2168609","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ttmjwoteco6cqmdv7rzz",2017-12-30T00:01:00-05:00,"At Wells Fargo, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168609"">Wells Fargo Cash Wise Visa® Card</a> and receive a <strong>$200 Cash Rewards Bonus</strong> after you spend at least $1,000 on purchases in the first 3 months of account opening. Plus, you'll earn <strong>unlimited 1.5% Cash Rewards</strong> with no category limitations or quarterly activations. Also, earn <strong>1.8% Cash Rewards</strong> on Android Pay™ or Apple Pay® mobile wallet purchases during the first 12 months from account opening. Enjoy a <strong>0% Intro APR</strong> on purchases and balance transfers for 12 months. After that your variable APR will be 14.24% to 26.24%. Balance transfer fees apply. Finally, there's <strong>no annual fee</strong>. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089667,2168609"">click here</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,,2168609,CREDIT CARDS,,,$200 Cash Rewards Bonus
H&M Best Sellers Sale,https://www.dealnews.com/H-M-Best-Sellers-Sale-Up-to-70-off-free-shipping-w-40/2168864.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hjlxhxzcl7elufa6f6yy",,"Today only, H&M takes <strong>up to 70% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168864"">best-selling men's, women's, kids', and home items</a>. (Prices are as marked.) Shipping adds <strong>$5.99</strong>, but orders of $40 receive free shipping via code ""0040"". Home decor starts at <strong>$1.70</strong>, kids' clothes at <strong>$1.99</strong>, women's accessories at <strong>$1.99</strong>, and men's shirts at <strong>$6.99</strong>.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s2604/H-M/"">H&amp;M Coupons</a>.</p>",,2017-12-30T15:27:53-05:00,2168864,CLOTHING & ACCESSORIES,free shipping w/ $40,5,Up to 70% off
Winter Styles at Columbia,https://www.dealnews.com/Winter-Styles-at-Columbia-60-off-free-shipping/2168861.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zh8wqrhcpr2fxy9yok4n",,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168861"">Columbia</a> takes <strong>60% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089892,2168861"">winter styles</a> via coupon code ""COLDEC60"". Plus, Greater Rewards members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089895,2168861"">sign up</a>.) That's tied as the best percent-off coupon we've seen this year. Deal ends December 31.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s38814/Columbia/"">Columbia Coupons</a>.</p>",True,2017-12-30T15:25:41-05:00,2168861,CLOTHING & ACCESSORIES,free shipping,5,60% off
Jos. A. Bank Lowest Prices of the Year Event,https://www.dealnews.com/Jos.-A.-Bank-Lowest-Prices-of-the-Year-Event-Up-to-85-off-sitewide-free-shipping/2168852.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jlha9scawyebdusfnxyi",,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089883,2168852"">Jos. A. Bank</a> takes <strong>up to 85% off</strong> sitewide during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089877,2168852"">Lowest Prices of the Year Event</a>. (Prices are as marked.) Plus, all orders receive <strong>free shipping</strong>. Sale ends January 1. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089880,2168852"">Jos. A. Bank Men's Traveler Merino Wool Polo Sweater</a> for <strong>$23.99</strong> ($86 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168852"">Jos. A. Bank Men's Signature Tailored Fit Check Sportcoat</a> for <b>$79.20</b> (pictured, $419 off)
 </li>
</ul>",,2017-12-30T15:52:14-05:00,2168852,CLOTHING & ACCESSORIES,free shipping,4,Up to 85% off sitewide
Jos. A. Bank Men's Executive Corduroy Pants,https://www.dealnews.com/Jos.-A.-Bank-Mens-Executive-Corduroy-Pants-for-20-free-shipping/2168849.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wtx256vs7tcvxaogmdzw",2017-12-30T11:04:19-05:00,"Jos. A. Bank offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168849"">Jos. A. Bank Men's Executive Flat-Front Corduroy Pants</a> in Tan or Brown for <strong>$19.99</strong>. Plus, Bank Account Rewards members get <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089868,2168849"">join</a>.) That's tied with last week's mention, $80 off list, and the lowest price we could find. They're available in select sizes from 30x30"" to 42x32.",,,2168849,PANTS,free shipping,3,$20
Loot Crate LootVault Sale,https://www.dealnews.com/Loot-Crate-Loot-Vault-Sale-70-off-25-off-free-shipping-w-50/2168855.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ulwt4ipciszva53pnf22",,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168855"">Loot Crate</a> takes <b>70% off</b> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089871,2168855"">Loot Vault items</a>. Plus, coupon code ""MAG25"" cuts an <strong>extra 25% off</strong>. That beats their Cyber Monday sale, which lacked the extra discount, and is the best discount we've seen on Loot Vault items. Shipping adds <strong>$5</strong>, but orders of $50 or more qualify for free shipping.",True,2017-12-30T15:24:56-05:00,2168855,AFTER CHRISTMAS SALES,free shipping w/ $50,5,70% off + 25% off
Olaxer Professional Hair Straightener,https://www.dealnews.com/Olaxer-Professional-Hair-Straightener-for-20-free-shipping/2168843.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ylrc0sbnzqhnqhmhk4id",2017-12-30T11:02:07-05:00,"SkySeaCloud via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168843"">Olaxer Professional Wide Flat-Iron Hair Straightener</a> for $27.99. Coupon code ""4F28R8O3"" cuts that to <strong>$19.99</strong>. With <strong>free shipping</strong>, that's tied with our mention from three weeks ago, $15 off list, and the lowest price we could find. It features 11 temperature settings (from 265°F to 450°F), a 1.7"" ceramic plate, and auto-shut off. Deal ends December 31.",,,2168843,HAIR CARE,free shipping,2,$20
"Women's Beauty Sample Box, $8 Amazon Credit",https://www.dealnews.com/Womens-Beauty-Sample-Box-8-Amazon-Credit-for-8-w-Prime-free-shipping/2168846.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kor66ug3wo7z9u6x6qkl",,"Exclusively for Prime members, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168846"">Women's Daily Beauty Sample Box</a> bundled with an <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089862,2168846"">$7.99 Amazon Credit</a> for <strong>$7.99</strong> with <strong>free shipping</strong>. (The credit must be used towards purchases of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089865,2168846"">similar beauty products</a>.) Assuming you'll use the credit, that ties last week's mention and makes the sample box essentially free. Each box includes 10 or more beauty items. It's limited to one box per customer.<br>
<br>
Note: This item ships in one to two weeks.",True,2017-12-30T15:36:01-05:00,2168846,SKIN CARE,free shipping,4,$8 w/ Prime
Purina Cat Food Sample Box w/ $7 Amazon GC,https://www.dealnews.com/Purina-Cat-Food-Sample-Box-w-7-Amazon-GC-for-7-w-Prime-free-shipping/2168834.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gvliiupgkjfo3mfiblju",,"Exclusively for Prime members, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168834"">Purina Cat Food Sample Box</a> bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089847,2168834"">$6.99 Amazon Credit</a> for <strong>$6.99</strong> with <strong>free shipping</strong>. (The credit must be used towards purchases of select Purina cat products.) That's tied with our mention from three weeks ago, and assuming you'll use the credit, makes the sample box essentially free. Each box contains six or more samples of dry and wet cat food.<br>
<br>
Note: It's expected to ship in one to two weeks.",True,2017-12-30T15:35:33-05:00,2168834,PET FOOD,free shipping,3,$7 w/ Prime
Amazon Echo Dot,https://www.dealnews.com/Amazon-Echo-Dot-for-30-free-shipping/2168837.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gn8yknyd66qithrnwemq",2017-12-30T10:43:02-05:00,"Amazon offers the second-generation <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168837"">Amazon Echo Dot</a> in Black for <strong>$29.99</strong> with <b>free shipping</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089850,2168837"">Best Buy</a>, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089853,2168837"">Bed Bath &amp; Beyond</a>, and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089856,2168837"">Newegg</a> all have it for the same price.) That's tied with our mention from three weeks ago as the lowest price we've seen. (It's the best deal now by $5.) It features Alexa voice control, 802.11n dual-band wireless, Bluetooth, and a 3.5mm audio output.",,,2168837,PORTABLE SPEAKERS,free shipping,3,$30
Bank of America® Travel Rewards Credit Card,"https://www.dealnews.com/lw/click.html?20,2,2168498","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bv3urdvfxvmwirwdv9qm",2017-12-29T15:40:39-05:00,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168498"">Bank of America® Travel Rewards credit card</a> and receive <strong>20,000 bonus points</strong> if you make at least $1,000 in purchases in the first 90 days of account opening – that can be redeemed for a <strong>$200 Statement Credit towards travel purchases</strong>. Plus, earn <strong>1.5 points</strong> per $1 spent on all purchases, with <strong>no annual fee</strong> and <strong>no foreign transaction fees</strong>. Redeem points for a statement credit to pay for flights, hotels, vacation packages, cruises, rental cars, or baggage fees with no blackout dates. There's no limit to the total number of points you can earn and points don't expire.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,,2168498,CREDIT CARDS,,,"20,000 bonus points offer"
Outdoor Theatre Total Home FX Kit,https://www.dealnews.com/Outdoor-Theatre-Total-Home-FX-Kit-for-150-free-shipping/2168828.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/icgcpianmxg6myimrmtk",,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168828"">Outdoor Theatre Total Home FX Kit</a> for <b>$149.75</b> with <b>free shipping</b>. That's the lowest price we could find by $193. The kit includes a 96"" screen, 24-watt speaker, and projector with Bluetooth and one HDMI port.",True,2017-12-30T15:22:21-05:00,2168828,PROJECTORS,free shipping,5,$150
Dick's Sporting Goods Clearance Sale,https://www.dealnews.com/Dicks-Sporting-Goods-Clearance-Sale-Extra-25-to-40-off-free-shipping-w-25/2168831.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gfakcl9vyd4afpicl3ew",,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168831"">Dick's Sporting Goods</a> cuts an <strong>extra 25% to 40% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089838,2168831"">clearance items</a>, already marked <strong>up to 60% off</strong>. (Discount applies in-cart; alas, not all marked items are eligible.) Shipping adds <strong>$5.99</strong>, but orders of $25 or more bag free shipping. A couple of best bets, with prices after all discounts and $5.99 for shipping:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089841,2168831"">Reebok Women's T-Back Tank Top</a> for <strong>$5.98</strong> ($19 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089844,2168831"">adidas Men's Phenom Embossed Tech 3/4-Sleeve Shirt</a> for <strong>$14.38</strong> ($16 off)
 </li>
</ul>",,2017-12-30T15:22:04-05:00,2168831,CLOTHING & ACCESSORIES,free shipping w/ $25,5,Extra 25% to 40% off
Bacon-Opoly Game,https://www.dealnews.com/Bacon-Opoly-Game-for-17-pickup-at-Walmart/2168825.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ul9acid1vifpshmyrvbl",2017-12-30T10:26:41-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168825"">Bacon-Opoly Game</a> for <b>$17.28</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089835,2168825"">Amazon</a> charges the same with free shipping for Prime members.) Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's the lowest price we could find by $3, although we saw it for a buck less in September. It features play for two to six people.",,,2168825,CARD AND BOARD GAMES,pickup at Walmart,3,$17
